date,feature,mean_ic,std_ic,ir
2026-03-31,alt_pc_ratio_zscore,-0.1106,0.1565,-0.7068
2026-03-31,alt_fear_flag,-0.0247,0.1609,-0.1533
2026-03-31,alt_greed_flag,-0.0035,0.159,-0.0219
2026-03-31,flow_inst_net_buy,-0.0697,0.0941,-0.7408
2026-03-31,flow_foreign_net_buy,0.0517,0.2252,0.2294
2026-03-31,flow_foreign_ratio,-0.2155,0.2515,-0.8571
2026-03-31,flow_inst_foreign_sum,0.0281,0.2097,0.1338
2026-03-31,flow_flow_momentum_5d,-0.0071,0.3148,-0.0225
2026-03-31,flow_short_proxy_score,-0.0032,0.1931,-0.0168
2026-03-31,bear_bb_breach,0.1155,0.1149,1.0055
2026-03-31,flow_foreign_net_5d,0.0097,0.2338,0.0414
2026-03-31,flow_foreign_net_20d,-0.0392,0.2135,-0.1836
2026-03-31,flow_inst_net_5d,0.0097,0.2338,0.0414
2026-03-31,flow_inst_net_20d,-0.0392,0.2135,-0.1836
2026-03-31,flow_flow_momentum,0.0244,0.2112,0.1156
2026-03-31,flow_foreign_streak,0.0098,0.158,0.0622
2026-03-31,flow_supply_demand_score,0.02,0.2381,0.0842
2026-03-31,flow_foreign_accel,0.0034,0.0531,0.0642
2026-03-31,flow_fi_ratio,0.0122,0.2313,0.0529
2026-03-31,trend_golden_cross,-0.1276,0.2384,-0.5352
2026-05-04,zscore_30,-0.232,0.214,-1.0845
2026-05-04,trend_price_position,-0.3237,0.1996,-1.6218
2026-05-04,mtf_vs_ma100,-0.3793,0.174,-2.1795
2026-05-04,trend_dist_high_52w,-0.3389,0.2042,-1.6595
2026-05-04,opt_pcr_open_interest,-0.2713,0.2395,-1.1327
2026-05-04,mtf_weekly_rsi,-0.1945,0.2099,-0.9266
2026-05-04,price_ma_ratio_30,-0.258,0.1941,-1.3293
2026-05-04,flow_flow_momentum_5d,-0.0256,0.2798,-0.0914
2026-05-04,bear_downside_vol_ratio,0.1464,0.2184,0.67
2026-05-04,bb_x_vol,-0.2774,0.2079,-1.3341
2026-05-04,mtf_3w_position,-0.1923,0.2232,-0.8614
2026-05-04,bb_pctb,-0.2098,0.2188,-0.9592
2026-05-04,price_ma_ratio_14,-0.2121,0.2131,-0.9953
2026-05-04,rmean_3,-0.4158,0.211,-1.9704
2026-05-04,opt_pcr_extreme,-0.253,0.1639,-1.5437
2026-05-04,zscore_14,-0.1809,0.2196,-0.8239
2026-05-04,mtf_cross_signal,-0.0691,0.2704,-0.2556
2026-05-04,rsi_14,-0.2082,0.2152,-0.9674
2026-05-04,macd_hist,-0.1533,0.2587,-0.5926
2026-05-04,ma_spread,-0.2365,0.199,-1.1884
2026-05-04,opt_iv_skew,0.2232,0.1934,1.1543
2026-05-04,lag_1,-0.3634,0.2035,-1.7862
2026-05-04,lag_2,-0.3445,0.2068,-1.6656
2026-05-04,roc_7,-0.1652,0.2018,-0.8189
2026-05-04,mom_7,-0.1699,0.2033,-0.8355
2026-05-04,opt_pcr_volume,-0.1954,0.1732,-1.1284
2026-05-04,rmean_7,-0.4016,0.2133,-1.8827
2026-05-04,bear_rsi_below50,0.1701,0.2102,0.8089
2026-05-04,lag_3,-0.3375,0.213,-1.5849
2026-05-04,news_sentiment_std,-0.0597,0.1997,-0.2988
2026-05-04,trend_alignment,-0.1593,0.2098,-0.7593
2026-05-04,trend_breakout_20d,-0.057,0.2192,-0.26
2026-05-04,log_ret_skew_20,0.043,0.2865,0.1502
2026-05-04,bear_down_mom_5d,-0.0632,0.2313,-0.2733
2026-05-04,price_ma_ratio_7,-0.1042,0.2124,-0.4906
2026-05-04,opt_pcr_chg_5d,-0.0997,0.1882,-0.5297
2026-05-04,month,0.2398,0.2443,0.9815
2026-05-04,atr_7,-0.0185,0.273,-0.0678
2026-05-04,realized_vol_5,0.0006,0.2556,0.0022
2026-05-04,lag_4,-0.325,0.2115,-1.5365
2026-05-04,flow_inst_foreign_sum,-0.0198,0.1821,-0.109
2026-05-04,flow_foreign_net_buy,0.0609,0.1813,0.3362
2026-05-04,mtf_weekly_mom,-0.2326,0.2231,-1.0426
2026-05-04,rstd_7,-0.0838,0.2634,-0.318
2026-05-04,ema_30,-0.3304,0.25,-1.3217
2026-05-04,bear_bb_breach,0.1577,0.1021,1.5448
2026-05-04,rstd_30,-0.1334,0.2949,-0.4525
2026-05-04,rmean_14,-0.3163,0.2341,-1.3513
2026-05-04,lag_5,-0.3204,0.2104,-1.5228
2026-05-04,log_ret_kurt_20,-0.0962,0.2716,-0.3542
2026-05-04,atr_14,-0.103,0.2852,-0.361
2026-05-04,rmean_30,-0.2371,0.2495,-0.9505
2026-05-04,mtf_alignment,0.0127,0.2251,0.0563
2026-05-04,mom_rsi_cross,-0.0825,0.125,-0.6596
2026-05-04,rstd_14,-0.1267,0.2893,-0.4381
2026-05-04,log_ret,-0.0722,0.1332,-0.5418
2026-05-04,mom_1,-0.0712,0.1353,-0.5265
2026-05-04,earn_earnings_momentum,0.0512,0.3529,0.1449
2026-05-04,earn_earnings_surprise,0.1407,0.3286,0.4283
2026-05-04,trend_adx_14,-0.033,0.3079,-0.1072
2026-05-04,alt_fear_flag,-0.1272,0.1986,-0.6407
2026-05-04,opt_avg_iv,-0.0017,0.1972,-0.0088
2026-05-04,flow_inst_net_buy,-0.0989,0.1934,-0.5112
2026-05-04,alt_pc_ratio_5d_avg,-0.1036,0.2346,-0.4415
2026-05-04,flow_short_proxy_score,-0.0038,0.1628,-0.0231
2026-05-04,bear_rsi_slope,-0.0478,0.2027,-0.2358
2026-05-04,news_momentum_3d,-0.2427,0.1979,-1.2265
2026-05-04,alt_pc_ratio_zscore,-0.2501,0.2043,-1.2239
2026-05-04,news_sentiment_mean,-0.2191,0.1963,-1.1164
2026-05-04,opt_iv_zscore,0.1351,0.221,0.6113
2026-05-04,rsi_x_vol,-0.2248,0.251,-0.8959
2026-05-04,flow_foreign_ratio,-0.1048,0.2943,-0.3559
2026-05-04,earn_revenue_yoy,0.0791,0.3686,0.2145
2026-05-04,alt_pc_ratio_proxy,-0.1426,0.2164,-0.659
2026-05-04,bear_consec_down,0.0623,0.1582,0.3938
2026-05-04,news_consensus,0.174,0.2235,0.7783
2026-05-04,news_volume_surge,0.0251,0.2413,0.1039
2026-05-04,bear_drop_bounce_ratio,-0.0474,0.1223,-0.3875
2026-05-04,news_shock,0.0126,0.1771,0.0714
2026-05-04,vol_trend,0.0462,0.2844,0.1625
2026-05-04,news_count,0.1794,0.246,0.7292
2026-05-04,opt_iv_chg_5d,0.0639,0.1891,0.3379
2026-05-04,flow_inst_net_5d,-0.0398,0.2668,-0.149
2026-05-04,flow_foreign_net_5d,-0.041,0.2682,-0.1529
2026-05-04,flow_foreign_net_20d,-0.0451,0.2999,-0.1502
2026-05-04,flow_inst_net_20d,-0.0462,0.3015,-0.1534
2026-05-04,flow_supply_demand_score,-0.0455,0.2671,-0.1705
2026-05-04,flow_flow_momentum,-0.0506,0.2591,-0.1954
2026-05-04,flow_fi_ratio,-0.0116,0.2725,-0.0425
2026-05-04,flow_foreign_streak,-0.1078,0.1909,-0.565
2026-05-04,flow_foreign_accel,0.0045,0.272,0.0165
2026-05-04,dow,-0.0109,0.0912,-0.12
2026-05-04,trend_golden_cross,-0.1862,0.2553,-0.7296
2026-05-06,price_ma_ratio_14,-0.0931,0.1397,-0.6668
2026-05-06,bb_pctb,-0.084,0.1405,-0.5982
2026-05-06,mom_7,-0.0797,0.1327,-0.6002
2026-05-06,flow_flow_momentum_5d,0.0059,0.1634,0.0361
2026-05-06,roc_7,-0.0733,0.1352,-0.5417
2026-05-06,macd_hist,-0.0515,0.1601,-0.3215
2026-05-06,zscore_14,-0.0667,0.1367,-0.4881
2026-05-06,mtf_3w_position,-0.0768,0.1375,-0.5587
2026-05-06,price_ma_ratio_7,-0.0334,0.1237,-0.2696
2026-05-06,bear_down_mom_5d,-0.0261,0.1402,-0.1864
2026-05-06,bear_rsi_below50,0.0808,0.1341,0.6027
2026-05-06,trend_alignment,-0.0775,0.1329,-0.5836
2026-05-06,trend_breakout_20d,-0.0153,0.1252,-0.1226
2026-05-06,opt_pcr_chg_5d,-0.0403,0.1112,-0.3623
2026-05-06,bear_downside_vol_ratio,0.0865,0.1429,0.6052
2026-05-06,mtf_cross_signal,-0.0251,0.1592,-0.1574
2026-05-06,atr_7,0.0065,0.1485,0.0439
2026-05-06,flow_foreign_net_buy,0.0375,0.1137,0.3298
2026-05-06,flow_inst_foreign_sum,0.0026,0.1037,0.0254
2026-05-06,realized_vol_5,0.0112,0.1442,0.0779
2026-05-06,rstd_7,-0.0468,0.148,-0.3159
2026-05-06,opt_pcr_volume,0.0593,0.1731,0.3425
2026-05-06,bear_bb_breach,0.0588,0.0953,0.6168
2026-05-06,mtf_alignment,0.0256,0.1184,0.2162
2026-05-06,mom_rsi_cross,-0.0247,0.073,-0.3384
2026-05-06,rstd_14,-0.0785,0.1602,-0.4898
2026-05-06,opt_iv_zscore,0.0217,0.1427,0.1517
2026-05-06,news_sentiment_mean,-0.1219,0.1653,-0.7376
2026-05-06,atr_14,-0.0495,0.1716,-0.2886
2026-05-06,news_sentiment_std,-0.0601,0.1704,-0.353
2026-05-06,log_ret,-0.0235,0.0766,-0.3074
2026-05-06,mom_1,-0.0236,0.0762,-0.31
2026-05-06,news_momentum_3d,-0.1296,0.1686,-0.7686
2026-05-06,opt_iv_chg_5d,0.0446,0.1309,0.3404
2026-05-06,flow_foreign_ratio,-0.0326,0.1467,-0.2224
2026-05-06,log_ret_skew_20,-0.0009,0.1656,-0.0052
2026-05-06,trend_adx_14,-0.04,0.174,-0.2302
2026-05-06,news_consensus,0.1081,0.2022,0.5346
2026-05-06,opt_pcr_open_interest,0.0532,0.1585,0.3355
2026-05-06,vol_trend,0.0407,0.1598,0.2543
2026-05-06,log_ret_kurt_20,-0.0468,0.1775,-0.2635
2026-05-06,bear_consec_down,0.0198,0.0924,0.2148
2026-05-06,alt_pc_ratio_5d_avg,0.0101,0.1566,0.0643
2026-05-06,news_count,0.136,0.2256,0.6028
2026-05-06,month,-0.0694,0.1576,-0.4408
2026-05-06,flow_inst_net_buy,-0.04,0.1135,-0.3522
2026-05-06,bear_rsi_slope,-0.0102,0.1183,-0.0861
2026-05-06,news_shock,0.0121,0.1293,0.0933
2026-05-06,flow_short_proxy_score,-0.0076,0.1143,-0.0663
2026-05-06,alt_pc_ratio_proxy,-0.0036,0.1652,-0.022
2026-05-06,alt_fear_flag,-0.0761,0.1258,-0.6046
2026-05-06,earn_revenue_yoy,0.0373,0.2108,0.177
2026-05-06,earn_earnings_surprise,0.0805,0.1956,0.4114
2026-05-06,earn_earnings_momentum,0.0253,0.2077,0.1218
2026-05-06,news_volume_surge,0.0057,0.177,0.032
2026-05-06,trend_golden_cross,-0.0309,0.1515,-0.2042
2026-05-06,bear_drop_bounce_ratio,-0.0186,0.0647,-0.2875
2026-05-06,opt_avg_iv,0.0679,0.1608,0.4223
2026-05-06,flow_foreign_accel,0.0138,0.1731,0.0799
2026-05-06,flow_foreign_net_20d,-0.0109,0.1633,-0.0666
2026-05-06,flow_inst_net_20d,-0.0109,0.1633,-0.0666
2026-05-06,flow_flow_momentum,0.0073,0.1587,0.046
2026-05-06,flow_foreign_streak,-0.0192,0.1056,-0.182
2026-05-06,dow,0.0197,0.0419,0.4695
2026-05-06,flow_supply_demand_score,0.015,0.1596,0.094
2026-05-06,idx_vwap_rsi,0.1081,0.1557,0.6945
2026-05-06,flow_fi_ratio,0.0231,0.1523,0.1515
2026-05-06,flow_foreign_net_5d,0.0185,0.1578,0.1171
2026-05-06,flow_inst_net_5d,0.0185,0.1578,0.1171
2026-05-06,id_opening_mom,0.1031,0.079,1.3047
2026-05-06,lag_1,0.2057,0.1519,1.3544
2026-05-06,lag_2,0.1958,0.1514,1.2935
2026-05-06,lag_3,0.1926,0.1481,1.3005
2026-05-06,lag_4,0.1868,0.1475,1.2662
2026-05-06,lag_5,0.1772,0.1483,1.1946
2026-05-06,rmean_3,0.2187,0.1551,1.4104
2026-05-06,rmean_7,0.21,0.1542,1.3615
2026-05-06,rmean_14,0.1753,0.1567,1.1187
2026-05-06,rmean_30,0.1268,0.1571,0.8073
2026-05-06,rstd_30,0.0906,0.153,0.5925
2026-05-06,ema_30,0.1618,0.1634,0.99
2026-05-06,rsi_14,0.095,0.1415,0.671
2026-05-06,price_ma_ratio_30,0.1263,0.1362,0.9267
2026-05-06,zscore_30,0.0998,0.142,0.703
2026-05-06,trend_dist_high_52w,0.1704,0.1504,1.1325
2026-05-06,trend_price_position,0.1556,0.1443,1.0782
2026-05-06,mtf_weekly_mom,0.1263,0.1464,0.863
2026-05-06,mtf_vs_ma100,0.2062,0.1383,1.4904
2026-05-06,mtf_weekly_rsi,0.1073,0.1406,0.7631
2026-05-06,rsi_x_vol,0.1047,0.1483,0.706
2026-05-06,ma_spread,0.1236,0.1394,0.887
2026-05-06,bb_x_vol,0.123,0.1396,0.8812
2026-05-06,alt_pc_ratio_zscore,0.0963,0.1352,0.7122
2026-05-06,alt_greed_flag,0.009,0.1108,0.0813
2026-05-06,opt_iv_skew,0.1045,0.1658,0.63
2026-05-06,opt_pcr_extreme,0.1151,0.1024,1.1247
2026-05-06,id_vwap_ratio,0.1401,0.1258,1.1137
2026-05-06,id_vol_climax,0.1362,0.1281,1.0633
2026-05-06,id_closing_mom,0.0726,0.0822,0.8832
2026-05-06,idx_climax_trend,0.125,0.1054,1.1867
2026-05-06,idx_intraday_reversal,-0.0985,0.0678,-1.4514
2026-05-07,alt_greed_flag,0.009,0.1107,0.0815
2026-05-07,id_vwap_ratio,0.1379,0.1034,1.3332
2026-05-07,id_vol_climax,0.1394,0.1097,1.2708
2026-05-07,id_closing_mom,0.084,0.0746,1.126
2026-05-07,idx_climax_trend,0.1249,0.0841,1.4861
2026-05-07,idx_intraday_reversal,-0.0741,0.0369,-2.0094
2026-05-07,zscore_30,-0.1053,0.1458,-0.7223
2026-05-07,price_ma_ratio_30,-0.135,0.1366,-0.9887
2026-05-07,price_ma_ratio_14,-0.0928,0.1396,-0.6646
2026-05-07,bb_pctb,-0.0842,0.1405,-0.5995
2026-05-07,mom_7,-0.0793,0.1331,-0.5956
2026-05-07,flow_flow_momentum_5d,0.0107,0.1659,0.0643
2026-05-07,roc_7,-0.0711,0.1352,-0.5259
2026-05-07,macd_hist,-0.0548,0.1608,-0.3409
2026-05-07,zscore_14,-0.0663,0.1359,-0.4876
2026-05-07,mtf_3w_position,-0.0779,0.1367,-0.57
2026-05-07,bb_x_vol,-0.1319,0.1393,-0.9471
2026-05-07,price_ma_ratio_7,-0.0344,0.1233,-0.2793
2026-05-07,bear_down_mom_5d,-0.0273,0.1413,-0.1933
2026-05-07,trend_price_position,-0.1632,0.1458,-1.1192
2026-05-07,mtf_weekly_rsi,-0.1149,0.1448,-0.7938
2026-05-07,opt_pcr_extreme,-0.1223,0.1007,-1.2141
2026-05-07,bear_rsi_below50,0.0806,0.1339,0.602
2026-05-07,trend_alignment,-0.077,0.133,-0.5789
2026-05-07,rsi_14,-0.1001,0.1468,-0.6816
2026-05-07,mtf_vs_ma100,-0.2086,0.1378,-1.5134
2026-05-07,trend_breakout_20d,-0.0176,0.1256,-0.14
2026-05-07,ma_spread,-0.1326,0.1403,-0.9448
2026-05-07,opt_pcr_chg_5d,-0.0394,0.1112,-0.3542
2026-05-07,bear_downside_vol_ratio,0.0853,0.1433,0.5952
2026-05-07,mtf_cross_signal,-0.0242,0.1595,-0.1518
2026-05-07,trend_dist_high_52w,-0.1798,0.1519,-1.1834
2026-05-07,atr_7,0.0052,0.1481,0.0353
2026-05-07,flow_foreign_net_buy,0.0357,0.1134,0.3146
2026-05-07,flow_inst_foreign_sum,0.0032,0.1045,0.0304
2026-05-07,realized_vol_5,0.0129,0.1438,0.0897
2026-05-07,rstd_7,-0.0461,0.149,-0.3097
2026-05-07,opt_pcr_volume,0.0539,0.1712,0.3148
2026-05-07,rmean_3,-0.2264,0.1539,-1.471
2026-05-07,bear_bb_breach,0.0599,0.0938,0.6389
2026-05-07,lag_1,-0.2105,0.1516,-1.3891
2026-05-07,mtf_alignment,0.0253,0.1185,0.2138
2026-05-07,mom_rsi_cross,-0.0245,0.0738,-0.3317
2026-05-07,rstd_14,-0.079,0.1613,-0.4895
2026-05-07,opt_iv_zscore,0.0225,0.1434,0.1571
2026-05-07,news_sentiment_mean,-0.1197,0.1655,-0.7228
2026-05-07,lag_2,-0.2015,0.1504,-1.34
2026-05-07,atr_14,-0.0506,0.1723,-0.2939
2026-05-07,news_sentiment_std,-0.0626,0.1709,-0.3663
2026-05-07,mtf_weekly_mom,-0.1389,0.148,-0.938
2026-05-07,log_ret,-0.0227,0.0771,-0.294
2026-05-07,mom_1,-0.0238,0.0766,-0.3106
2026-05-07,rstd_30,-0.0983,0.1546,-0.636
2026-05-07,news_momentum_3d,-0.1284,0.1693,-0.7584
2026-05-07,opt_iv_chg_5d,0.0432,0.1312,0.3297
2026-05-07,flow_foreign_ratio,-0.0348,0.1466,-0.2375
2026-05-07,log_ret_skew_20,-0.0012,0.1637,-0.0073
2026-05-07,lag_3,-0.1994,0.1471,-1.3559
2026-05-07,trend_adx_14,-0.0364,0.1736,-0.21
2026-05-07,rmean_7,-0.2159,0.153,-1.4108
2026-05-07,news_consensus,0.106,0.2057,0.5156
2026-05-07,opt_pcr_open_interest,0.0509,0.1608,0.3166
2026-05-07,vol_trend,0.039,0.1598,0.2442
2026-05-07,log_ret_kurt_20,-0.0464,0.178,-0.2608
2026-05-07,alt_pc_ratio_zscore,-0.101,0.139,-0.7266
2026-05-07,bear_consec_down,0.0211,0.092,0.2289
2026-05-07,alt_pc_ratio_5d_avg,0.0119,0.1567,0.076
2026-05-07,news_count,0.1249,0.224,0.5573
2026-05-07,month,-0.0712,0.1566,-0.4548
2026-05-07,opt_iv_skew,0.1153,0.1712,0.6736
2026-05-07,flow_inst_net_buy,-0.0408,0.1147,-0.356
2026-05-07,bear_rsi_slope,-0.0106,0.1183,-0.0896
2026-05-07,news_shock,0.0075,0.1291,0.0583
2026-05-07,lag_4,-0.1957,0.1456,-1.3442
2026-05-07,flow_short_proxy_score,-0.0113,0.1162,-0.0968
2026-05-07,rmean_14,-0.1818,0.1561,-1.1648
2026-05-07,lag_5,-0.1864,0.147,-1.268
2026-05-07,rsi_x_vol,-0.1165,0.1481,-0.7863
2026-05-07,ema_30,-0.1723,0.1626,-1.0594
2026-05-07,rmean_30,-0.1407,0.1562,-0.9009
2026-05-07,alt_pc_ratio_proxy,-0.0029,0.1637,-0.0178
2026-05-07,alt_fear_flag,-0.0761,0.1266,-0.6012
2026-05-07,earn_revenue_yoy,0.0378,0.2109,0.1793
2026-05-07,earn_earnings_surprise,0.0817,0.195,0.4189
2026-05-07,earn_earnings_momentum,0.0269,0.208,0.1292
2026-05-07,news_volume_surge,0.0063,0.1788,0.0351
2026-05-07,trend_golden_cross,-0.0327,0.1497,-0.2182
2026-05-07,bear_drop_bounce_ratio,-0.0179,0.0655,-0.2727
2026-05-07,opt_avg_iv,0.0662,0.1604,0.4124
2026-05-07,flow_foreign_accel,-0.0126,0.1634,-0.0771
2026-05-07,flow_foreign_net_20d,-0.0044,0.1801,-0.0244
2026-05-07,flow_inst_net_20d,-0.0055,0.181,-0.0302
2026-05-07,flow_flow_momentum,-0.0102,0.155,-0.0659
2026-05-07,flow_foreign_streak,-0.0306,0.1026,-0.2982
2026-05-07,dow,0.0185,0.0422,0.4384
2026-05-07,flow_supply_demand_score,-0.0027,0.1597,-0.0167
2026-05-07,idx_vwap_rsi,0.0987,0.162,0.6091
2026-05-07,flow_fi_ratio,0.0098,0.157,0.0624
2026-05-07,flow_foreign_net_5d,0.003,0.1611,0.0189
2026-05-07,flow_inst_net_5d,0.0024,0.1601,0.0152
2026-05-07,id_opening_mom,0.0917,0.0629,1.4582
2026-05-08,atr_14,-0.0241,0.1759,-0.137
2026-05-08,earn_earnings_surprise,-0.045,0.2018,-0.223
2026-05-08,earn_earnings_momentum,0.0156,0.2066,0.0756
2026-05-08,rstd_14,-0.073,0.1711,-0.4267
2026-05-08,bear_down_mom_5d,-0.017,0.1606,-0.1057
2026-05-08,macd_hist,-0.0539,0.1572,-0.3432
2026-05-08,alt_pc_ratio_proxy,0.0395,0.172,0.2297
2026-05-08,news_consensus,-0.041,0.2223,-0.1845
2026-05-08,log_ret_kurt_20,0.0252,0.1855,0.1358
2026-05-08,mom_7,-0.0417,0.1409,-0.2962
2026-05-08,price_ma_ratio_7,-0.0384,0.1402,-0.2736
