date,title,sentiment_score,positive_count,negative_count,source
2026-04-15,"[경제소식] 신한투자증권, C-Level 연금컨설팅 강화",0.0,0,0,http://www.4th.kr/news/articleView.html?idxno=2110465
2026-04-15,"더존비즈온, 이사회서 공개매수 찬성…자진 상폐 수순 [시그널]",0.0,0,0,https://www.sedaily.com/article/20032809?ref=naver
2026-04-15,"신한은행, 더존비즈온과 ‘뱅크인 플랫폼’ 기반 협업 확대",0.0,0,0,https://www.sentv.co.kr/article/view/sentv202604150102
2026-04-15,"신한銀, 더존비즈온 ‘위하고’에 뱅크인 플랫폼 적용",0.0,0,0,https://news.dealsitetv.com/articles/168687
2026-04-15,"신한은행, 더존비즈온 '위하고'에 뱅크인 플랫폼 적용…급여이체 편의성...",0.0,0,0,https://www.etnews.com/20260415000241
2026-04-15,"EQT, 더존비즈온 상장폐지 추진 가속…이사회 찬성으로 마무리 국면",0.0,0,0,http://www.seouleconews.com/news/articleView.html?idxno=90635
2026-04-15,상법 개정에 ‘포괄적 주식교환’ 법적 다툼 늘어난다 [줌-인 딜리전시...,0.0,0,0,https://biz.heraldcorp.com/article/10717731?ref=naver
2026-04-15,"“12만원에 나가라”…더존비즈온, 호실적 속 상폐 수순 본격화",0.583,1,0,https://www.ddaily.co.kr/page/view/2026041510563965036
2026-04-15,"EQT, 더존비즈온 상장폐지 속도…이사회, 특위 심의 후 '찬성'",0.0,0,0,https://www.newsis.com/view/NISX20260415_0003591726
2026-04-15,"VR에서 메타버스, 그리고 디지털 트윈으로…더픽트가 준비하는 피지컬 ...",0.0,0,0,https://www.venturesquare.net/1056414/
2026-04-15,"더존비즈온, 상장폐지 순항…이사회, 공개매수 찬성·참여 권고",0.0,0,0,https://www.etoday.co.kr/news/view/2575846
2026-04-15,"EQT 더존비즈온 공개매수, 주주 보호 모범 사례 '주목'",0.0,0,0,https://www.bloter.net/news/articleView.html?idxno=659496
2026-04-15,"더존비즈온 이사회, EQT 2차 공개매수 찬성 의견 표명",0.0,0,0,https://view.asiae.co.kr/article/2026041508510217251
2026-04-15,"더존, ERP에 은행 심었다…금융 플랫폼 확장 본격화",0.0,0,0,https://dealsite.co.kr/articles/160102
2026-04-14,[데이터 뉴스룸] 정보통신業 매출 성적표에 희비 교차…네이버·KT 웃고...,0.0,0,0,https://www.greened.kr/news/articleView.html?idxno=339255
2026-04-16,"한국서비스경영학회, '서비스 산업 AX' 전략 모색…춘계학술대회 개최",0.0,0,0,https://www.mt.co.kr/future/2026/04/16/2026041614463957431
