날짜,Utilities,Open,High,Low,Close,Volume,거래대금,상장시가총액,open,high,low,close,volume
2019-09-18,4554.79,,,,,,,,,,,,
2019-09-19,4547.8,,,,,,,,,,,,
2019-09-20,4579.48,,,,,,,,,,,,
2019-09-23,4551.19,,,,,,,,,,,,
2019-09-24,4594.99,,,,,,,,,,,,
2019-09-25,4486.12,,,,,,,,,,,,
2019-09-26,4461.99,,,,,,,,,,,,
2019-09-27,4463.01,,,,,,,,,,,,
2019-09-30,4461.52,,,,,,,,,,,,
2019-10-01,4493.77,,,,,,,,,,,,
2019-10-02,4416.19,,,,,,,,,,,,
2019-10-04,4397.35,,,,,,,,,,,,
2019-10-07,4388.93,,,,,,,,,,,,
2019-10-08,4475.44,,,,,,,,,,,,
2019-10-10,4422.77,,,,,,,,,,,,
2019-10-11,4455.74,,,,,,,,,,,,
2019-10-14,4513.69,,,,,,,,,,,,
2019-10-15,4501.46,,,,,,,,,,,,
2019-10-16,4508.18,,,,,,,,,,,,
2019-10-17,4503.43,,,,,,,,,,,,
2019-10-18,4470.68,,,,,,,,,,,,
2019-10-21,4446.01,,,,,,,,,,,,
2019-10-22,4505.81,,,,,,,,,,,,
2019-10-23,4473.11,,,,,,,,,,,,
2019-10-24,4508.68,,,,,,,,,,,,
2019-10-25,4478.66,,,,,,,,,,,,
2019-10-28,4476.92,,,,,,,,,,,,
2019-10-29,4469.63,,,,,,,,,,,,
2019-10-30,4531.92,,,,,,,,,,,,
2019-10-31,4559.73,,,,,,,,,,,,
2019-11-01,4588.05,,,,,,,,,,,,
2019-11-04,4622.92,,,,,,,,,,,,
2019-11-05,4666.4,,,,,,,,,,,,
2019-11-06,4645.82,,,,,,,,,,,,
2019-11-07,4640.96,,,,,,,,,,,,
2019-11-08,4650.65,,,,,,,,,,,,
2019-11-11,4585.54,,,,,,,,,,,,
2019-11-12,4598.28,,,,,,,,,,,,
2019-11-13,4534.01,,,,,,,,,,,,
2019-11-14,4576.67,,,,,,,,,,,,
2019-11-15,4596.3,,,,,,,,,,,,
2019-11-18,4569.92,,,,,,,,,,,,
2019-11-19,4540.99,,,,,,,,,,,,
2019-11-20,4476.74,,,,,,,,,,,,
2019-11-21,4458.93,,,,,,,,,,,,
2019-11-22,4450.55,,,,,,,,,,,,
2019-11-25,4503.78,,,,,,,,,,,,
2019-11-26,4490.67,,,,,,,,,,,,
2019-11-27,4515.32,,,,,,,,,,,,
2019-11-28,4524.24,,,,,,,,,,,,
2019-11-29,4479.44,,,,,,,,,,,,
2019-12-02,4498.28,,,,,,,,,,,,
2019-12-03,4495.81,,,,,,,,,,,,
2019-12-04,4416.05,,,,,,,,,,,,
2019-12-05,4362.33,,,,,,,,,,,,
2019-12-06,4386.98,,,,,,,,,,,,
2019-12-09,4387.22,,,,,,,,,,,,
2019-12-10,4414.69,,,,,,,,,,,,
2019-12-11,4432.07,,,,,,,,,,,,
2019-12-12,4486.14,,,,,,,,,,,,
2019-12-13,4513.8,,,,,,,,,,,,
2019-12-16,4536.58,,,,,,,,,,,,
2019-12-17,4554.44,,,,,,,,,,,,
2019-12-18,4564.14,,,,,,,,,,,,
2019-12-19,4583.03,,,,,,,,,,,,
2019-12-20,4631.85,,,,,,,,,,,,
2019-12-23,4613.35,,,,,,,,,,,,
2019-12-24,4608.48,,,,,,,,,,,,
2019-12-26,4589.54,,,,,,,,,,,,
2019-12-27,4570.86,,,,,,,,,,,,
2019-12-30,4591.69,,,,,,,,,,,,
2020-01-02,,4603.01,4603.65,4533.85,4560.54,17283765.0,455062154498.0,149010566120990.0,,,,,
2020-01-03,,4583.04,4610.66,4544.39,4561.24,116555646.0,692361033028.0,149039790407085.0,,,,,
2020-01-06,,4546.05,4562.3,4497.23,4500.55,183132247.0,750149498848.0,147082911230985.0,,,,,
2020-01-07,,4527.02,4610.25,4523.16,4603.37,203498646.0,1109011851753.0,150473156532205.0,,,,,
2020-01-08,,4522.31,4536.69,4452.7,4473.58,306991125.0,1545481999284.0,146246478323825.0,,,,,
2020-01-09,,4528.97,4537.0,4474.61,4497.71,62958279.0,710744217937.0,147039900315040.0,,,,,
2020-01-10,,4503.13,4578.74,4493.57,4575.16,67990317.0,1020711625550.0,149596403818390.0,,,,,
2020-01-13,,4587.12,4692.37,4587.12,4668.98,55586810.0,1093714450498.0,152752299211975.0,,,,,
2020-01-14,,4712.17,4736.65,4676.5,4700.37,33571588.0,826924122183.0,153750356227520.0,,,,,
2020-01-15,,4691.62,4711.33,4666.04,4694.49,23339063.0,536280335497.0,153579743704805.0,,,,,
2020-01-16,,4688.19,4688.19,4646.22,4676.48,19191064.0,546667281566.0,153010576590215.0,,,,,
2020-01-17,,4684.5,4713.64,4669.09,4682.55,19337323.0,555846588637.0,153251452268820.0,,,,,
2020-01-20,,4704.66,4753.0,4683.16,4698.6,40832227.0,864563392450.0,153725466081175.0,,,,,
2020-01-21,,4708.21,4713.38,4623.34,4623.75,115246085.0,896699020478.0,150883127584915.0,,,,,
2020-01-22,,4637.55,4671.57,4615.58,4671.54,51909655.0,666989842031.0,152451011443735.0,,,,,
2020-01-23,,4611.09,4631.28,4565.36,4575.39,36398479.0,694660157765.0,149378221988675.0,,,,,
2020-01-28,,4400.89,4418.88,4324.93,4334.88,93381001.0,1201474897885.0,141416136817215.0,,,,,
2020-01-29,,4367.91,4401.55,4313.92,4378.28,60074646.0,999824719480.0,142881427349690.0,,,,,
2020-01-30,,4381.19,4406.64,4304.59,4323.25,49736466.0,946296617790.0,141107869956010.0,,,,,
2020-01-31,,4351.35,4357.51,4259.75,4267.39,39955345.0,890861280325.0,139259144994185.0,,,,,
2020-02-03,,4172.81,4276.05,4159.24,4262.42,45285952.0,918683727769.0,139111939848990.0,,,,,
2020-02-04,,4302.61,4402.19,4301.71,4389.29,51785374.0,1161514336347.0,143273910432175.0,,,,,
2020-02-05,,4440.18,4469.17,4375.79,4402.03,52439773.0,1416621956985.0,143697317445915.0,,,,,
2020-02-06,,4420.25,4526.91,4412.56,4525.75,34687888.0,1091686489395.0,147644423600215.0,,,,,
2020-02-07,,4502.72,4526.73,4473.15,4501.58,35554191.0,843393522536.0,146880903686815.0,,,,,
2020-02-10,,4461.34,4530.87,4452.34,4526.25,22640909.0,610321109032.0,147678185694355.0,,,,,
2020-02-11,,4563.87,4651.51,4563.87,4640.8,50540457.0,1246571054600.0,151373097868025.0,,,,,
2020-02-12,,4626.92,4662.88,4595.86,4656.88,34686401.0,934741752349.0,151953711627905.0,,,,,
2020-02-13,,4661.92,4698.83,4630.09,4639.68,26137744.0,826928575732.0,151477631589515.0,,,,,
2020-02-14,,4647.84,4652.55,4605.67,4614.61,26756409.0,661320199872.0,150684032970525.0,,,,,
2020-02-17,,4617.65,4667.63,4581.2,4650.87,22441023.0,765445127465.0,151835293470225.0,,,,,
2020-02-18,,4623.8,4667.78,4604.58,4617.86,21331863.0,605060222432.0,150763889414125.0,,,,,
2020-02-19,,4649.82,4655.24,4553.99,4572.79,31855666.0,802513547938.0,149339032448000.0,,,,,
2020-02-20,,4603.36,4621.83,4530.02,4561.56,98534995.0,1058790585090.0,148946722230920.0,,,,,
2020-02-21,,4497.94,4543.62,4472.23,4477.08,74515529.0,1028529341083.0,146125913073055.0,,,,,
2020-02-24,,4364.85,4381.94,4278.79,4279.61,47508033.0,923341652610.0,139685471284895.0,,,,,
2020-02-25,,4289.41,4316.83,4256.6,4314.99,32611721.0,804636146742.0,140831405066460.0,,,,,
2020-02-26,,4240.66,4295.55,4225.34,4272.13,43160558.0,752303835944.0,139420891208240.0,,,,,
2020-02-27,,4259.02,4287.71,4173.54,4194.61,29135573.0,705265835300.0,136915478975590.0,,,,,
2020-02-28,,4106.9,4130.14,4018.57,4037.85,39000244.0,996203896593.0,131796754256560.0,,,,,
2020-03-02,,4053.09,4116.79,4004.67,4076.79,22714819.0,731268852843.0,133113742811190.0,,,,,
2020-03-03,,4181.93,4206.3,4109.0,4116.45,31352727.0,789017242081.0,134407093697400.0,,,,,
2020-03-04,,4115.02,4190.83,4115.02,4174.39,28815238.0,760499141463.0,136291114553070.0,,,,,
2020-03-05,,4235.95,4265.34,4208.49,4250.53,25402047.0,802442529297.0,138789163673065.0,,,,,
2020-03-06,,4193.24,4205.13,4127.52,4153.48,25760216.0,655039824704.0,135629815127510.0,,,,,
