날짜,Energy,Open,High,Low,Close,Volume,거래대금,상장시가총액,open,high,low,close,volume
2010-04-29,299.24,,,,,,,,,,,,
2010-04-30,299.8,,,,,,,,,,,,
2010-05-03,299.57,,,,,,,,,,,,
2010-05-04,302.36,,,,,,,,,,,,
2010-05-06,299.62,,,,,,,,,,,,
2010-05-07,291.77,,,,,,,,,,,,
2010-05-10,295.39,,,,,,,,,,,,
2010-05-11,300.56,,,,,,,,,,,,
2010-05-12,303.52,,,,,,,,,,,,
2010-05-13,308.09,,,,,,,,,,,,
2010-05-14,309.53,,,,,,,,,,,,
2010-05-17,305.51,,,,,,,,,,,,
2010-05-18,299.35,,,,,,,,,,,,
2010-05-19,298.07,,,,,,,,,,,,
2010-05-20,293.38,,,,,,,,,,,,
2010-05-24,287.85,,,,,,,,,,,,
2010-05-25,271.77,,,,,,,,,,,,
2010-05-26,279.89,,,,,,,,,,,,
2010-05-27,282.01,,,,,,,,,,,,
2010-05-28,284.79,,,,,,,,,,,,
2010-05-31,291.47,,,,,,,,,,,,
2010-06-01,292.17,,,,,,,,,,,,
2010-06-03,294.12,,,,,,,,,,,,
2010-06-04,291.92,,,,,,,,,,,,
2010-06-07,289.32,,,,,,,,,,,,
2010-06-08,293.66,,,,,,,,,,,,
2010-06-09,293.22,,,,,,,,,,,,
2010-06-10,293.68,,,,,,,,,,,,
2010-06-11,294.92,,,,,,,,,,,,
2010-06-14,297.07,,,,,,,,,,,,
2010-06-15,297.64,,,,,,,,,,,,
2010-06-16,299.74,,,,,,,,,,,,
2010-06-17,307.41,,,,,,,,,,,,
2010-06-18,306.82,,,,,,,,,,,,
2010-06-21,306.26,,,,,,,,,,,,
2010-06-22,305.01,,,,,,,,,,,,
2010-06-23,304.44,,,,,,,,,,,,
2010-06-24,306.04,,,,,,,,,,,,
2010-06-25,305.33,,,,,,,,,,,,
2010-06-28,303.25,,,,,,,,,,,,
2010-06-29,301.26,,,,,,,,,,,,
2010-06-30,302.46,,,,,,,,,,,,
2010-07-01,306.78,,,,,,,,,,,,
2010-07-02,303.85,,,,,,,,,,,,
2010-07-05,302.37,,,,,,,,,,,,
2010-07-06,297.13,,,,,,,,,,,,
2010-07-07,296.43,,,,,,,,,,,,
2010-07-08,300.44,,,,,,,,,,,,
2010-07-09,302.35,,,,,,,,,,,,
2010-07-12,300.1,,,,,,,,,,,,
2010-07-13,298.97,,,,,,,,,,,,
2010-07-14,304.06,,,,,,,,,,,,
2010-07-15,302.83,,,,,,,,,,,,
2010-07-16,307.46,,,,,,,,,,,,
2010-07-19,309.79,,,,,,,,,,,,
2010-07-20,308.63,,,,,,,,,,,,
2010-07-21,305.46,,,,,,,,,,,,
2010-07-22,305.39,,,,,,,,,,,,
2010-07-23,310.2,,,,,,,,,,,,
2010-07-26,309.71,,,,,,,,,,,,
2010-07-27,306.9,,,,,,,,,,,,
2010-07-28,304.89,,,,,,,,,,,,
2010-07-29,305.2,,,,,,,,,,,,
2010-07-30,305.75,,,,,,,,,,,,
2010-08-02,303.72,,,,,,,,,,,,
2010-08-03,305.05,,,,,,,,,,,,
2010-08-04,300.39,,,,,,,,,,,,
2010-08-05,301.74,,,,,,,,,,,,
2010-08-06,300.89,,,,,,,,,,,,
2010-08-09,301.29,,,,,,,,,,,,
2010-08-10,299.08,,,,,,,,,,,,
2010-08-11,294.69,,,,,,,,,,,,
2010-08-12,291.28,,,,,,,,,,,,
2010-08-13,293.83,,,,,,,,,,,,
2010-08-16,292.1,,,,,,,,,,,,
2010-08-17,292.35,,,,,,,,,,,,
2010-08-18,293.5,,,,,,,,,,,,
2010-08-19,295.93,,,,,,,,,,,,
2010-08-20,294.69,,,,,,,,,,,,
2010-08-23,291.27,,,,,,,,,,,,
2010-08-24,287.71,,,,,,,,,,,,
2010-08-25,286.98,,,,,,,,,,,,
2010-08-26,287.93,,,,,,,,,,,,
2010-08-27,287.21,,,,,,,,,,,,
2010-08-30,288.55,,,,,,,,,,,,
2010-08-31,289.21,,,,,,,,,,,,
2010-09-01,289.27,,,,,,,,,,,,
2010-09-02,292.03,,,,,,,,,,,,
2010-09-03,293.78,,,,,,,,,,,,
2010-09-06,291.21,,,,,,,,,,,,
2010-09-07,290.38,,,,,,,,,,,,
2010-09-08,292.19,,,,,,,,,,,,
2010-09-09,296.02,,,,,,,,,,,,
2010-09-10,298.73,,,,,,,,,,,,
2010-09-13,299.02,,,,,,,,,,,,
2010-09-14,297.38,,,,,,,,,,,,
2010-09-15,293.88,,,,,,,,,,,,
2010-09-16,292.96,,,,,,,,,,,,
2010-09-17,295.04,,,,,,,,,,,,
2010-09-20,294.88,,,,,,,,,,,,
2010-09-24,298.49,,,,,,,,,,,,
2010-09-27,298.58,,,,,,,,,,,,
2010-09-28,297.67,,,,,,,,,,,,
2010-09-29,298.02,,,,,,,,,,,,
2010-09-30,300.26,,,,,,,,,,,,
2010-10-01,306.16,,,,,,,,,,,,
2010-10-04,309.67,,,,,,,,,,,,
2010-10-05,310.64,,,,,,,,,,,,
2010-10-06,312.29,,,,,,,,,,,,
2010-10-07,311.86,,,,,,,,,,,,
2010-10-08,314.03,,,,,,,,,,,,
2010-10-11,315.07,,,,,,,,,,,,
2010-10-12,314.13,,,,,,,,,,,,
2010-10-13,318.51,,,,,,,,,,,,
2010-10-14,320.69,,,,,,,,,,,,
2010-10-15,322.25,,,,,,,,,,,,
2010-10-18,327.11,,,,,,,,,,,,
2010-10-19,322.67,,,,,,,,,,,,
2010-10-20,323.63,,,,,,,,,,,,
2010-10-21,324.48,,,,,,,,,,,,
2010-10-22,324.62,,,,,,,,,,,,
2010-10-25,325.67,,,,,,,,,,,,
2010-10-26,327.61,,,,,,,,,,,,
2010-10-27,325.79,,,,,,,,,,,,
2010-10-28,325.52,,,,,,,,,,,,
2010-10-29,311.0,,,,,,,,,,,,
2010-11-01,314.29,,,,,,,,,,,,
2010-11-02,317.74,,,,,,,,,,,,
2010-11-03,318.48,,,,,,,,,,,,
2010-11-04,315.14,,,,,,,,,,,,
2010-11-05,315.22,,,,,,,,,,,,
2010-11-08,317.22,,,,,,,,,,,,
2010-11-09,315.9,,,,,,,,,,,,
2010-11-10,313.98,,,,,,,,,,,,
2010-11-11,309.21,,,,,,,,,,,,
2010-11-12,300.22,,,,,,,,,,,,
2010-11-15,295.12,,,,,,,,,,,,
2010-11-16,294.81,,,,,,,,,,,,
2010-11-17,297.74,,,,,,,,,,,,
2010-11-18,303.33,,,,,,,,,,,,
2010-11-19,302.79,,,,,,,,,,,,
2010-11-22,298.61,,,,,,,,,,,,
2010-11-23,298.01,,,,,,,,,,,,
2010-11-24,293.89,,,,,,,,,,,,
2010-11-25,295.74,,,,,,,,,,,,
2010-11-26,288.56,,,,,,,,,,,,
2010-11-29,288.45,,,,,,,,,,,,
2010-11-30,289.54,,,,,,,,,,,,
2010-12-01,290.75,,,,,,,,,,,,
2010-12-02,292.32,,,,,,,,,,,,
2010-12-03,292.51,,,,,,,,,,,,
2010-12-06,296.91,,,,,,,,,,,,
2010-12-07,299.34,,,,,,,,,,,,
2010-12-08,297.22,,,,,,,,,,,,
2010-12-09,301.55,,,,,,,,,,,,
2010-12-10,309.36,,,,,,,,,,,,
2010-12-13,309.62,,,,,,,,,,,,
2010-12-14,313.37,,,,,,,,,,,,
2010-12-15,312.05,,,,,,,,,,,,
2010-12-16,309.29,,,,,,,,,,,,
2010-12-17,307.58,,,,,,,,,,,,
2010-12-20,300.95,,,,,,,,,,,,
2010-12-21,307.42,,,,,,,,,,,,
2010-12-22,310.06,,,,,,,,,,,,
2010-12-23,310.18,,,,,,,,,,,,
2010-12-24,309.06,,,,,,,,,,,,
2010-12-27,310.08,,,,,,,,,,,,
2010-12-28,309.59,,,,,,,,,,,,
2010-12-29,305.29,,,,,,,,,,,,
2010-12-30,304.13,,,,,,,,,,,,
2011-01-03,305.22,,,,,,,,,,,,
2011-01-04,304.03,,,,,,,,,,,,
2011-01-05,303.29,,,,,,,,,,,,
2011-01-06,305.77,,,,,,,,,,,,
2011-01-07,307.21,,,,,,,,,,,,
2011-01-10,306.62,,,,,,,,,,,,
2011-01-11,309.21,,,,,,,,,,,,
2011-01-12,307.05,,,,,,,,,,,,
2011-01-13,303.39,,,,,,,,,,,,
2011-01-14,305.88,,,,,,,,,,,,
2011-01-17,305.06,,,,,,,,,,,,
2011-01-18,300.94,,,,,,,,,,,,
2011-01-19,299.89,,,,,,,,,,,,
2011-01-20,299.61,,,,,,,,,,,,
2011-01-21,297.02,,,,,,,,,,,,
2011-01-24,296.63,,,,,,,,,,,,
2011-01-25,302.48,,,,,,,,,,,,
2011-01-26,304.47,,,,,,,,,,,,
2011-01-27,305.34,,,,,,,,,,,,
2011-01-28,302.47,,,,,,,,,,,,
2011-01-31,302.06,,,,,,,,,,,,
2011-02-01,302.3,,,,,,,,,,,,
2011-02-07,299.51,,,,,,,,,,,,
2011-02-08,297.81,,,,,,,,,,,,
2011-02-09,293.87,,,,,,,,,,,,
2011-02-10,291.42,,,,,,,,,,,,
2011-02-11,284.31,,,,,,,,,,,,
2011-02-14,282.65,,,,,,,,,,,,
2011-02-15,274.36,,,,,,,,,,,,
2011-02-16,272.48,,,,,,,,,,,,
2011-02-17,269.35,,,,,,,,,,,,
2011-02-18,275.17,,,,,,,,,,,,
2011-02-21,272.51,,,,,,,,,,,,
2011-02-22,265.11,,,,,,,,,,,,
2011-02-23,264.42,,,,,,,,,,,,
2011-02-24,266.84,,,,,,,,,,,,
2011-02-25,266.52,,,,,,,,,,,,
2011-02-28,263.26,,,,,,,,,,,,
2011-03-02,260.32,,,,,,,,,,,,
2011-03-03,264.64,,,,,,,,,,,,
2011-03-04,271.93,,,,,,,,,,,,
2011-03-07,271.09,,,,,,,,,,,,
2011-03-08,273.79,,,,,,,,,,,,
2011-03-09,270.85,,,,,,,,,,,,
2011-03-10,270.73,,,,,,,,,,,,
2011-03-11,273.1,,,,,,,,,,,,
2011-03-14,267.21,,,,,,,,,,,,
2011-03-15,258.76,,,,,,,,,,,,
2011-03-16,261.53,,,,,,,,,,,,
2011-03-17,258.32,,,,,,,,,,,,
2011-03-18,262.06,,,,,,,,,,,,
2011-03-21,270.13,,,,,,,,,,,,
2011-03-22,269.08,,,,,,,,,,,,
2011-03-23,269.45,,,,,,,,,,,,
2011-03-24,269.82,,,,,,,,,,,,
2011-03-25,271.86,,,,,,,,,,,,
2011-03-28,273.4,,,,,,,,,,,,
2011-03-29,273.96,,,,,,,,,,,,
2011-03-30,278.07,,,,,,,,,,,,
2011-03-31,278.51,,,,,,,,,,,,
2011-04-01,280.15,,,,,,,,,,,,
2011-04-04,282.89,,,,,,,,,,,,
2011-04-05,287.66,,,,,,,,,,,,
2011-04-06,286.42,,,,,,,,,,,,
2011-04-07,285.19,,,,,,,,,,,,
2011-04-08,291.78,,,,,,,,,,,,
2011-04-11,291.63,,,,,,,,,,,,
2011-04-12,292.05,,,,,,,,,,,,
2011-04-13,293.77,,,,,,,,,,,,
2011-04-14,289.54,,,,,,,,,,,,
2011-04-15,288.79,,,,,,,,,,,,
2011-04-18,288.89,,,,,,,,,,,,
2011-04-19,288.37,,,,,,,,,,,,
2011-04-20,287.68,,,,,,,,,,,,
2011-04-21,285.91,,,,,,,,,,,,
2011-04-22,284.61,,,,,,,,,,,,
2011-04-25,283.16,,,,,,,,,,,,
2011-04-26,281.93,,,,,,,,,,,,
2011-04-27,281.64,,,,,,,,,,,,
2011-04-28,280.21,,,,,,,,,,,,
2011-04-29,280.13,,,,,,,,,,,,
2011-05-02,281.26,,,,,,,,,,,,
2011-05-03,280.19,,,,,,,,,,,,
2011-05-04,275.27,,,,,,,,,,,,
2011-05-06,271.12,,,,,,,,,,,,
2011-05-09,265.67,,,,,,,,,,,,
2011-05-11,263.78,,,,,,,,,,,,
2011-05-12,259.55,,,,,,,,,,,,
2011-05-13,261.09,,,,,,,,,,,,
2011-05-16,259.55,,,,,,,,,,,,
2011-05-17,258.6,,,,,,,,,,,,
2011-05-18,258.99,,,,,,,,,,,,
2011-05-19,256.05,,,,,,,,,,,,
2011-05-20,257.49,,,,,,,,,,,,
2011-05-23,254.48,,,,,,,,,,,,
2011-05-24,256.72,,,,,,,,,,,,
2011-05-25,253.15,,,,,,,,,,,,
2011-05-26,252.27,,,,,,,,,,,,
2011-05-27,251.4,,,,,,,,,,,,
2011-05-30,251.12,,,,,,,,,,,,
2011-05-31,251.52,,,,,,,,,,,,
2011-06-01,247.2,,,,,,,,,,,,
2011-06-02,243.14,,,,,,,,,,,,
2011-06-03,240.87,,,,,,,,,,,,
2011-06-07,238.99,,,,,,,,,,,,
2011-06-08,237.15,,,,,,,,,,,,
2011-06-09,239.98,,,,,,,,,,,,
2011-06-10,240.27,,,,,,,,,,,,
2011-06-13,237.6,,,,,,,,,,,,
2011-06-14,235.94,,,,,,,,,,,,
2011-06-15,241.7,,,,,,,,,,,,
2011-06-16,241.4,,,,,,,,,,,,
2011-06-17,246.44,,,,,,,,,,,,
2011-06-20,249.93,,,,,,,,,,,,
2011-06-21,250.25,,,,,,,,,,,,
2011-06-22,251.29,,,,,,,,,,,,
2011-06-23,252.69,,,,,,,,,,,,
2011-06-24,257.52,,,,,,,,,,,,
2011-06-27,257.21,,,,,,,,,,,,
2011-06-28,260.53,,,,,,,,,,,,
2011-06-29,260.02,,,,,,,,,,,,
2011-06-30,259.93,,,,,,,,,,,,
2011-07-01,260.43,,,,,,,,,,,,
2011-07-04,262.24,,,,,,,,,,,,
2011-07-05,263.94,,,,,,,,,,,,
2011-07-06,262.76,,,,,,,,,,,,
2011-07-07,264.55,,,,,,,,,,,,
2011-07-08,265.41,,,,,,,,,,,,
2011-07-11,261.67,,,,,,,,,,,,
2011-07-12,257.46,,,,,,,,,,,,
2011-07-13,259.26,,,,,,,,,,,,
2011-07-14,259.36,,,,,,,,,,,,
2011-07-15,262.07,,,,,,,,,,,,
2011-07-18,272.05,,,,,,,,,,,,
2011-07-19,273.22,,,,,,,,,,,,
2011-07-20,277.0,,,,,,,,,,,,
2011-07-21,277.93,,,,,,,,,,,,
2011-07-22,281.99,,,,,,,,,,,,
2011-07-25,281.41,,,,,,,,,,,,
2011-07-26,280.24,,,,,,,,,,,,
2011-07-27,281.62,,,,,,,,,,,,
2011-07-28,282.41,,,,,,,,,,,,
2011-07-29,278.7,,,,,,,,,,,,
2011-08-01,279.19,,,,,,,,,,,,
2011-08-02,275.0,,,,,,,,,,,,
2011-08-03,271.74,,,,,,,,,,,,
2011-08-04,268.66,,,,,,,,,,,,
2011-08-05,263.53,,,,,,,,,,,,
2011-08-08,251.72,,,,,,,,,,,,
2011-08-09,240.43,,,,,,,,,,,,
2011-08-10,249.56,,,,,,,,,,,,
2011-08-11,251.62,,,,,,,,,,,,
2011-08-12,251.26,,,,,,,,,,,,
2011-08-16,259.8,,,,,,,,,,,,
2011-08-17,270.71,,,,,,,,,,,,
2011-08-18,271.45,,,,,,,,,,,,
2011-08-19,262.67,,,,,,,,,,,,
2011-08-22,261.28,,,,,,,,,,,,
2011-08-23,265.19,,,,,,,,,,,,
2011-08-24,260.1,,,,,,,,,,,,
2011-08-25,261.05,,,,,,,,,,,,
2011-08-26,259.7,,,,,,,,,,,,
2011-08-29,265.04,,,,,,,,,,,,
2011-08-30,275.52,,,,,,,,,,,,
2011-08-31,279.0,,,,,,,,,,,,
2011-09-01,277.69,,,,,,,,,,,,
2011-09-02,279.69,,,,,,,,,,,,
2011-09-05,273.8,,,,,,,,,,,,
2011-09-06,264.84,,,,,,,,,,,,
2011-09-07,270.82,,,,,,,,,,,,
2011-09-08,266.27,,,,,,,,,,,,
2011-09-09,261.75,,,,,,,,,,,,
2011-09-14,253.64,,,,,,,,,,,,
2011-09-15,249.66,,,,,,,,,,,,
2011-09-16,254.2,,,,,,,,,,,,
2011-09-19,250.57,,,,,,,,,,,,
2011-09-20,254.56,,,,,,,,,,,,
2011-09-21,256.42,,,,,,,,,,,,
2011-09-22,250.48,,,,,,,,,,,,
2011-09-23,233.81,,,,,,,,,,,,
2011-09-26,216.67,,,,,,,,,,,,
2011-09-27,220.91,,,,,,,,,,,,
2011-09-28,224.69,,,,,,,,,,,,
2011-09-29,225.93,,,,,,,,,,,,
2011-09-30,229.78,,,,,,,,,,,,
2011-10-04,221.31,,,,,,,,,,,,
2011-10-05,218.06,,,,,,,,,,,,
2011-10-06,222.02,,,,,,,,,,,,
2011-10-07,224.94,,,,,,,,,,,,
2011-10-10,228.13,,,,,,,,,,,,
2011-10-11,230.4,,,,,,,,,,,,
2011-10-12,230.89,,,,,,,,,,,,
2011-10-13,234.25,,,,,,,,,,,,
2011-10-14,236.76,,,,,,,,,,,,
2011-10-17,238.63,,,,,,,,,,,,
2011-10-18,238.89,,,,,,,,,,,,
2011-10-19,239.81,,,,,,,,,,,,
2011-10-20,234.47,,,,,,,,,,,,
2011-10-21,236.4,,,,,,,,,,,,
2011-10-24,239.44,,,,,,,,,,,,
2011-10-25,241.15,,,,,,,,,,,,
2011-10-26,242.81,,,,,,,,,,,,
2011-10-27,246.25,,,,,,,,,,,,
2011-10-28,246.39,,,,,,,,,,,,
2011-10-31,247.13,,,,,,,,,,,,
2011-11-01,244.59,,,,,,,,,,,,
2011-11-02,240.7,,,,,,,,,,,,
2011-11-03,240.59,,,,,,,,,,,,
2011-11-04,242.6,,,,,,,,,,,,
2011-11-07,242.17,,,,,,,,,,,,
2011-11-08,241.67,,,,,,,,,,,,
2011-11-09,245.37,,,,,,,,,,,,
2011-11-10,234.31,,,,,,,,,,,,
2011-11-11,239.26,,,,,,,,,,,,
2011-11-14,247.11,,,,,,,,,,,,
2011-11-15,245.96,,,,,,,,,,,,
2011-11-16,242.3,,,,,,,,,,,,
2011-11-17,247.89,,,,,,,,,,,,
2011-11-18,245.62,,,,,,,,,,,,
2011-11-21,241.22,,,,,,,,,,,,
2011-11-22,240.63,,,,,,,,,,,,
2011-11-23,235.08,,,,,,,,,,,,
2011-11-24,236.45,,,,,,,,,,,,
2011-11-25,234.9,,,,,,,,,,,,
2011-11-28,236.91,,,,,,,,,,,,
2011-11-29,239.14,,,,,,,,,,,,
2011-11-30,240.16,,,,,,,,,,,,
2011-12-01,243.47,,,,,,,,,,,,
2011-12-02,247.13,,,,,,,,,,,,
2011-12-05,245.03,,,,,,,,,,,,
2011-12-06,242.56,,,,,,,,,,,,
2011-12-07,245.94,,,,,,,,,,,,
2011-12-08,244.52,,,,,,,,,,,,
2011-12-09,242.26,,,,,,,,,,,,
2011-12-12,249.65,,,,,,,,,,,,
2011-12-13,249.99,,,,,,,,,,,,
2011-12-14,252.5,,,,,,,,,,,,
2011-12-15,251.11,,,,,,,,,,,,
2011-12-16,253.61,,,,,,,,,,,,
2011-12-19,242.54,,,,,,,,,,,,
2011-12-20,245.72,,,,,,,,,,,,
2011-12-21,248.53,,,,,,,,,,,,
2011-12-22,249.15,,,,,,,,,,,,
2011-12-23,249.65,,,,,,,,,,,,
2011-12-26,251.83,,,,,,,,,,,,
2011-12-27,251.1,,,,,,,,,,,,
2011-12-28,250.41,,,,,,,,,,,,
2011-12-29,251.22,,,,,,,,,,,,
2012-01-02,248.97,,,,,,,,,,,,
2012-01-03,248.44,,,,,,,,,,,,
2012-01-04,248.2,,,,,,,,,,,,
2012-01-05,248.67,,,,,,,,,,,,
2012-01-06,247.56,,,,,,,,,,,,
2012-01-09,243.43,,,,,,,,,,,,
2012-01-10,247.56,,,,,,,,,,,,
2012-01-11,245.74,,,,,,,,,,,,
2012-01-12,248.08,,,,,,,,,,,,
2012-01-13,247.17,,,,,,,,,,,,
2012-01-16,246.0,,,,,,,,,,,,
2012-01-17,247.32,,,,,,,,,,,,
2012-01-18,247.12,,,,,,,,,,,,
2012-01-19,248.47,,,,,,,,,,,,
2012-01-20,250.28,,,,,,,,,,,,
2012-01-25,252.6,,,,,,,,,,,,
2012-01-26,256.86,,,,,,,,,,,,
2012-01-27,257.23,,,,,,,,,,,,
2012-01-30,255.34,,,,,,,,,,,,
2012-01-31,257.49,,,,,,,,,,,,
2012-02-01,257.66,,,,,,,,,,,,
2012-02-02,262.29,,,,,,,,,,,,
2012-02-03,263.26,,,,,,,,,,,,
2012-02-06,265.95,,,,,,,,,,,,
2012-02-07,269.74,,,,,,,,,,,,
2012-02-08,276.96,,,,,,,,,,,,
2012-02-09,280.29,,,,,,,,,,,,
2012-02-10,276.56,,,,,,,,,,,,
2012-02-13,275.48,,,,,,,,,,,,
2012-02-14,275.46,,,,,,,,,,,,
2012-02-15,274.94,,,,,,,,,,,,
2012-02-16,275.06,,,,,,,,,,,,
2012-02-17,279.33,,,,,,,,,,,,
2012-02-20,281.96,,,,,,,,,,,,
2012-02-21,288.25,,,,,,,,,,,,
2012-02-22,289.85,,,,,,,,,,,,
2012-02-23,285.85,,,,,,,,,,,,
2012-02-24,289.99,,,,,,,,,,,,
2012-02-27,286.36,,,,,,,,,,,,
2012-02-28,287.52,,,,,,,,,,,,
2012-02-29,288.03,,,,,,,,,,,,
2012-03-02,286.75,,,,,,,,,,,,
2012-03-05,285.21,,,,,,,,,,,,
2012-03-06,280.89,,,,,,,,,,,,
2012-03-07,281.44,,,,,,,,,,,,
2012-03-08,278.93,,,,,,,,,,,,
2012-03-09,279.63,,,,,,,,,,,,
2012-03-12,275.28,,,,,,,,,,,,
2012-03-13,275.78,,,,,,,,,,,,
2012-03-14,279.12,,,,,,,,,,,,
2012-03-15,277.22,,,,,,,,,,,,
2012-03-16,276.61,,,,,,,,,,,,
2012-03-19,277.97,,,,,,,,,,,,
2012-03-20,277.35,,,,,,,,,,,,
2012-03-21,274.91,,,,,,,,,,,,
2012-03-22,271.25,,,,,,,,,,,,
2012-03-23,272.13,,,,,,,,,,,,
2012-03-26,274.0,,,,,,,,,,,,
2012-03-27,272.86,,,,,,,,,,,,
2012-03-28,272.39,,,,,,,,,,,,
2012-03-29,269.84,,,,,,,,,,,,
2012-03-30,272.16,,,,,,,,,,,,
2012-04-02,275.15,,,,,,,,,,,,
2012-04-03,271.77,,,,,,,,,,,,
2012-04-04,268.98,,,,,,,,,,,,
2012-04-05,267.17,,,,,,,,,,,,
2012-04-06,266.41,,,,,,,,,,,,
2012-04-09,256.31,,,,,,,,,,,,
2012-04-10,256.65,,,,,,,,,,,,
2012-04-12,258.53,,,,,,,,,,,,
2012-04-13,260.6,,,,,,,,,,,,
2012-04-16,260.76,,,,,,,,,,,,
2012-04-17,262.28,,,,,,,,,,,,
2012-04-18,261.7,,,,,,,,,,,,
2012-04-19,262.7,,,,,,,,,,,,
2012-04-20,263.78,,,,,,,,,,,,
2012-04-23,265.69,,,,,,,,,,,,
2012-04-24,261.28,,,,,,,,,,,,
2012-04-25,259.6,,,,,,,,,,,,
2012-04-26,256.28,,,,,,,,,,,,
2012-04-27,255.44,,,,,,,,,,,,
2012-04-30,255.06,,,,,,,,,,,,
2012-05-02,259.1,,,,,,,,,,,,
2012-05-03,256.88,,,,,,,,,,,,
2012-05-04,256.41,,,,,,,,,,,,
2012-05-07,254.34,,,,,,,,,,,,
2012-05-08,255.12,,,,,,,,,,,,
2012-05-09,255.98,,,,,,,,,,,,
2012-05-10,257.1,,,,,,,,,,,,
2012-05-11,251.51,,,,,,,,,,,,
2012-05-14,251.19,,,,,,,,,,,,
2012-05-15,249.69,,,,,,,,,,,,
2012-05-16,246.72,,,,,,,,,,,,
2012-05-17,246.95,,,,,,,,,,,,
2012-05-18,237.66,,,,,,,,,,,,
2012-05-21,238.57,,,,,,,,,,,,
2012-05-22,242.27,,,,,,,,,,,,
2012-05-23,240.26,,,,,,,,,,,,
2012-05-24,239.72,,,,,,,,,,,,
2012-05-25,240.53,,,,,,,,,,,,
2012-05-29,242.74,,,,,,,,,,,,
2012-05-30,241.79,,,,,,,,,,,,
2012-05-31,242.6,,,,,,,,,,,,
2012-06-01,243.82,,,,,,,,,,,,
2012-06-04,234.14,,,,,,,,,,,,
