날짜,Healthcare,Open,High,Low,Close,Volume,거래대금,상장시가총액,open,high,low,close,volume
2010-06-10,171.42,,,,,,,,,,,,
2010-06-11,173.46,,,,,,,,,,,,
2010-06-14,175.5,,,,,,,,,,,,
2010-06-15,175.33,,,,,,,,,,,,
2010-06-16,176.25,,,,,,,,,,,,
2010-06-17,177.95,,,,,,,,,,,,
2010-06-18,176.17,,,,,,,,,,,,
2010-06-21,178.88,,,,,,,,,,,,
2010-06-22,180.21,,,,,,,,,,,,
2010-06-23,178.76,,,,,,,,,,,,
2010-06-24,179.63,,,,,,,,,,,,
2010-06-25,181.29,,,,,,,,,,,,
2010-06-28,182.27,,,,,,,,,,,,
2010-06-29,178.8,,,,,,,,,,,,
2010-06-30,181.33,,,,,,,,,,,,
2010-07-01,181.94,,,,,,,,,,,,
2010-07-02,183.94,,,,,,,,,,,,
2010-07-05,184.48,,,,,,,,,,,,
2010-07-06,183.69,,,,,,,,,,,,
2010-07-07,181.31,,,,,,,,,,,,
2010-07-08,182.42,,,,,,,,,,,,
2010-07-09,185.29,,,,,,,,,,,,
2010-07-12,184.87,,,,,,,,,,,,
2010-07-13,185.43,,,,,,,,,,,,
2010-07-14,188.66,,,,,,,,,,,,
2010-07-15,187.69,,,,,,,,,,,,
2010-07-16,187.76,,,,,,,,,,,,
2010-07-19,187.91,,,,,,,,,,,,
2010-07-20,187.75,,,,,,,,,,,,
2010-07-21,185.7,,,,,,,,,,,,
2010-07-22,186.64,,,,,,,,,,,,
2010-07-23,188.64,,,,,,,,,,,,
2010-07-26,187.59,,,,,,,,,,,,
2010-07-27,186.32,,,,,,,,,,,,
2010-07-28,186.88,,,,,,,,,,,,
2010-07-29,185.8,,,,,,,,,,,,
2010-07-30,185.37,,,,,,,,,,,,
2010-08-02,184.63,,,,,,,,,,,,
2010-08-03,184.44,,,,,,,,,,,,
2010-08-04,185.86,,,,,,,,,,,,
2010-08-05,189.41,,,,,,,,,,,,
2010-08-06,192.22,,,,,,,,,,,,
2010-08-09,191.44,,,,,,,,,,,,
2010-08-10,190.69,,,,,,,,,,,,
2010-08-11,186.51,,,,,,,,,,,,
2010-08-12,184.47,,,,,,,,,,,,
2010-08-13,185.04,,,,,,,,,,,,
2010-08-16,184.29,,,,,,,,,,,,
2010-08-17,184.31,,,,,,,,,,,,
2010-08-18,185.69,,,,,,,,,,,,
2010-08-19,187.41,,,,,,,,,,,,
2010-08-20,190.49,,,,,,,,,,,,
2010-08-23,190.1,,,,,,,,,,,,
2010-08-24,189.05,,,,,,,,,,,,
2010-08-25,187.62,,,,,,,,,,,,
2010-08-26,187.69,,,,,,,,,,,,
2010-08-27,187.15,,,,,,,,,,,,
2010-08-30,188.98,,,,,,,,,,,,
2010-08-31,190.02,,,,,,,,,,,,
2010-09-01,192.4,,,,,,,,,,,,
2010-09-02,195.53,,,,,,,,,,,,
2010-09-03,196.44,,,,,,,,,,,,
2010-09-06,196.54,,,,,,,,,,,,
2010-09-07,194.54,,,,,,,,,,,,
2010-09-08,192.44,,,,,,,,,,,,
2010-09-09,193.37,,,,,,,,,,,,
2010-09-10,196.3,,,,,,,,,,,,
2010-09-13,194.58,,,,,,,,,,,,
2010-09-14,191.35,,,,,,,,,,,,
2010-09-15,191.72,,,,,,,,,,,,
2010-09-16,190.4,,,,,,,,,,,,
2010-09-17,192.83,,,,,,,,,,,,
2010-09-20,195.45,,,,,,,,,,,,
2010-09-24,195.82,,,,,,,,,,,,
2010-09-27,195.49,,,,,,,,,,,,
2010-09-28,195.43,,,,,,,,,,,,
2010-09-29,196.02,,,,,,,,,,,,
2010-09-30,195.74,,,,,,,,,,,,
2010-10-01,194.82,,,,,,,,,,,,
2010-10-04,194.24,,,,,,,,,,,,
2010-10-05,195.59,,,,,,,,,,,,
2010-10-06,196.71,,,,,,,,,,,,
2010-10-07,199.02,,,,,,,,,,,,
2010-10-08,199.66,,,,,,,,,,,,
2010-10-11,198.21,,,,,,,,,,,,
2010-10-12,194.81,,,,,,,,,,,,
2010-10-13,197.66,,,,,,,,,,,,
2010-10-14,195.64,,,,,,,,,,,,
2010-10-15,197.55,,,,,,,,,,,,
2010-10-18,197.19,,,,,,,,,,,,
2010-10-19,198.24,,,,,,,,,,,,
2010-10-20,200.84,,,,,,,,,,,,
2010-10-21,200.7,,,,,,,,,,,,
2010-10-22,201.35,,,,,,,,,,,,
2010-10-25,201.5,,,,,,,,,,,,
2010-10-26,202.19,,,,,,,,,,,,
2010-10-27,204.06,,,,,,,,,,,,
2010-10-28,205.35,,,,,,,,,,,,
2010-10-29,202.99,,,,,,,,,,,,
2010-11-01,204.58,,,,,,,,,,,,
2010-11-02,206.63,,,,,,,,,,,,
2010-11-03,207.35,,,,,,,,,,,,
2010-11-04,206.43,,,,,,,,,,,,
2010-11-05,205.71,,,,,,,,,,,,
2010-11-08,205.28,,,,,,,,,,,,
2010-11-09,205.86,,,,,,,,,,,,
2010-11-10,208.85,,,,,,,,,,,,
2010-11-11,207.27,,,,,,,,,,,,
2010-11-12,204.41,,,,,,,,,,,,
2010-11-15,202.01,,,,,,,,,,,,
2010-11-16,200.53,,,,,,,,,,,,
2010-11-17,201.84,,,,,,,,,,,,
2010-11-18,204.69,,,,,,,,,,,,
2010-11-19,205.91,,,,,,,,,,,,
2010-11-22,204.78,,,,,,,,,,,,
2010-11-23,200.54,,,,,,,,,,,,
2010-11-24,197.51,,,,,,,,,,,,
2010-11-25,200.12,,,,,,,,,,,,
2010-11-26,195.42,,,,,,,,,,,,
2010-11-29,196.97,,,,,,,,,,,,
2010-11-30,197.56,,,,,,,,,,,,
2010-12-01,199.13,,,,,,,,,,,,
2010-12-02,200.49,,,,,,,,,,,,
2010-12-03,196.68,,,,,,,,,,,,
2010-12-06,196.01,,,,,,,,,,,,
2010-12-07,196.21,,,,,,,,,,,,
2010-12-08,196.78,,,,,,,,,,,,
2010-12-09,196.72,,,,,,,,,,,,
2010-12-10,197.3,,,,,,,,,,,,
2010-12-13,197.35,,,,,,,,,,,,
2010-12-14,197.81,,,,,,,,,,,,
2010-12-15,197.65,,,,,,,,,,,,
2010-12-16,198.55,,,,,,,,,,,,
2010-12-17,197.73,,,,,,,,,,,,
2010-12-20,195.26,,,,,,,,,,,,
2010-12-21,197.48,,,,,,,,,,,,
2010-12-22,196.0,,,,,,,,,,,,
2010-12-23,195.35,,,,,,,,,,,,
2010-12-24,194.73,,,,,,,,,,,,
2010-12-27,195.59,,,,,,,,,,,,
2010-12-28,197.91,,,,,,,,,,,,
2010-12-29,199.09,,,,,,,,,,,,
2010-12-30,201.46,,,,,,,,,,,,
2011-01-03,200.69,,,,,,,,,,,,
2011-01-04,200.17,,,,,,,,,,,,
2011-01-05,199.79,,,,,,,,,,,,
2011-01-06,199.81,,,,,,,,,,,,
2011-01-07,199.19,,,,,,,,,,,,
2011-01-10,202.29,,,,,,,,,,,,
2011-01-11,205.22,,,,,,,,,,,,
2011-01-12,204.94,,,,,,,,,,,,
2011-01-13,202.83,,,,,,,,,,,,
2011-01-14,204.24,,,,,,,,,,,,
2011-01-17,202.25,,,,,,,,,,,,
2011-01-18,202.68,,,,,,,,,,,,
2011-01-19,203.92,,,,,,,,,,,,
2011-01-20,205.0,,,,,,,,,,,,
2011-01-21,203.59,,,,,,,,,,,,
2011-01-24,204.76,,,,,,,,,,,,
2011-01-25,203.4,,,,,,,,,,,,
2011-01-26,203.91,,,,,,,,,,,,
2011-01-27,205.53,,,,,,,,,,,,
2011-01-28,203.93,,,,,,,,,,,,
2011-01-31,201.73,,,,,,,,,,,,
2011-02-01,200.75,,,,,,,,,,,,
2011-02-07,200.6,,,,,,,,,,,,
2011-02-08,199.92,,,,,,,,,,,,
2011-02-09,200.95,,,,,,,,,,,,
2011-02-10,198.91,,,,,,,,,,,,
2011-02-11,194.99,,,,,,,,,,,,
2011-02-14,197.02,,,,,,,,,,,,
2011-02-15,196.34,,,,,,,,,,,,
2011-02-16,198.9,,,,,,,,,,,,
2011-02-17,197.7,,,,,,,,,,,,
2011-02-18,200.65,,,,,,,,,,,,
2011-02-21,198.57,,,,,,,,,,,,
2011-02-22,194.81,,,,,,,,,,,,
2011-02-23,194.43,,,,,,,,,,,,
2011-02-24,195.22,,,,,,,,,,,,
2011-02-25,196.06,,,,,,,,,,,,
2011-02-28,193.58,,,,,,,,,,,,
2011-03-02,193.44,,,,,,,,,,,,
2011-03-03,197.67,,,,,,,,,,,,
2011-03-04,199.31,,,,,,,,,,,,
2011-03-07,198.35,,,,,,,,,,,,
2011-03-08,201.79,,,,,,,,,,,,
2011-03-09,200.23,,,,,,,,,,,,
2011-03-10,199.0,,,,,,,,,,,,
2011-03-11,197.68,,,,,,,,,,,,
2011-03-14,194.65,,,,,,,,,,,,
2011-03-15,191.52,,,,,,,,,,,,
2011-03-16,190.71,,,,,,,,,,,,
2011-03-17,187.34,,,,,,,,,,,,
2011-03-18,190.85,,,,,,,,,,,,
2011-03-21,195.25,,,,,,,,,,,,
2011-03-22,196.1,,,,,,,,,,,,
2011-03-23,196.68,,,,,,,,,,,,
2011-03-24,197.96,,,,,,,,,,,,
2011-03-25,199.46,,,,,,,,,,,,
2011-03-28,199.36,,,,,,,,,,,,
2011-03-29,201.63,,,,,,,,,,,,
2011-03-30,203.5,,,,,,,,,,,,
2011-03-31,206.62,,,,,,,,,,,,
2011-04-01,207.03,,,,,,,,,,,,
2011-04-04,206.75,,,,,,,,,,,,
2011-04-05,207.41,,,,,,,,,,,,
2011-04-06,209.85,,,,,,,,,,,,
2011-04-07,209.17,,,,,,,,,,,,
2011-04-08,211.14,,,,,,,,,,,,
2011-04-11,210.67,,,,,,,,,,,,
2011-04-12,208.9,,,,,,,,,,,,
2011-04-13,210.35,,,,,,,,,,,,
2011-04-14,212.89,,,,,,,,,,,,
2011-04-15,214.27,,,,,,,,,,,,
2011-04-18,217.52,,,,,,,,,,,,
2011-04-19,215.17,,,,,,,,,,,,
2011-04-20,218.12,,,,,,,,,,,,
2011-04-21,219.43,,,,,,,,,,,,
2011-04-22,218.6,,,,,,,,,,,,
2011-04-25,216.5,,,,,,,,,,,,
2011-04-26,215.47,,,,,,,,,,,,
2011-04-27,219.35,,,,,,,,,,,,
2011-04-28,218.29,,,,,,,,,,,,
2011-04-29,216.75,,,,,,,,,,,,
2011-05-02,220.09,,,,,,,,,,,,
2011-05-03,217.63,,,,,,,,,,,,
2011-05-04,217.6,,,,,,,,,,,,
2011-05-06,215.09,,,,,,,,,,,,
2011-05-09,213.15,,,,,,,,,,,,
2011-05-11,215.61,,,,,,,,,,,,
2011-05-12,214.13,,,,,,,,,,,,
2011-05-13,216.82,,,,,,,,,,,,
2011-05-16,225.13,,,,,,,,,,,,
2011-05-17,224.87,,,,,,,,,,,,
2011-05-18,224.59,,,,,,,,,,,,
2011-05-19,226.42,,,,,,,,,,,,
2011-05-20,229.99,,,,,,,,,,,,
2011-05-23,221.93,,,,,,,,,,,,
2011-05-24,224.44,,,,,,,,,,,,
2011-05-25,222.29,,,,,,,,,,,,
2011-05-26,223.86,,,,,,,,,,,,
2011-05-27,226.4,,,,,,,,,,,,
2011-05-30,231.19,,,,,,,,,,,,
2011-05-31,231.77,,,,,,,,,,,,
2011-06-01,230.88,,,,,,,,,,,,
2011-06-02,227.55,,,,,,,,,,,,
2011-06-03,227.41,,,,,,,,,,,,
2011-06-07,228.52,,,,,,,,,,,,
2011-06-08,226.42,,,,,,,,,,,,
2011-06-09,223.78,,,,,,,,,,,,
2011-06-10,221.12,,,,,,,,,,,,
2011-06-13,220.04,,,,,,,,,,,,
2011-06-14,221.65,,,,,,,,,,,,
2011-06-15,227.1,,,,,,,,,,,,
2011-06-16,224.23,,,,,,,,,,,,
2011-06-17,227.65,,,,,,,,,,,,
2011-06-20,226.3,,,,,,,,,,,,
2011-06-21,226.15,,,,,,,,,,,,
2011-06-22,228.85,,,,,,,,,,,,
2011-06-23,226.73,,,,,,,,,,,,
2011-06-24,231.25,,,,,,,,,,,,
2011-06-27,231.72,,,,,,,,,,,,
2011-06-28,231.49,,,,,,,,,,,,
2011-06-29,237.08,,,,,,,,,,,,
2011-06-30,237.98,,,,,,,,,,,,
2011-07-01,236.42,,,,,,,,,,,,
2011-07-04,233.41,,,,,,,,,,,,
2011-07-05,235.6,,,,,,,,,,,,
2011-07-06,236.25,,,,,,,,,,,,
2011-07-07,235.64,,,,,,,,,,,,
2011-07-08,232.6,,,,,,,,,,,,
2011-07-11,235.36,,,,,,,,,,,,
2011-07-12,232.99,,,,,,,,,,,,
2011-07-13,235.4,,,,,,,,,,,,
2011-07-14,238.39,,,,,,,,,,,,
2011-07-15,242.65,,,,,,,,,,,,
2011-07-18,245.01,,,,,,,,,,,,
2011-07-19,247.88,,,,,,,,,,,,
2011-07-20,251.22,,,,,,,,,,,,
2011-07-21,250.71,,,,,,,,,,,,
2011-07-22,253.01,,,,,,,,,,,,
2011-07-25,252.29,,,,,,,,,,,,
2011-07-26,255.21,,,,,,,,,,,,
2011-07-27,255.94,,,,,,,,,,,,
2011-07-28,256.26,,,,,,,,,,,,
2011-07-29,254.63,,,,,,,,,,,,
2011-08-01,257.02,,,,,,,,,,,,
2011-08-02,257.89,,,,,,,,,,,,
2011-08-03,254.32,,,,,,,,,,,,
2011-08-04,252.22,,,,,,,,,,,,
2011-08-05,247.12,,,,,,,,,,,,
2011-08-08,235.77,,,,,,,,,,,,
2011-08-09,225.72,,,,,,,,,,,,
2011-08-10,231.92,,,,,,,,,,,,
2011-08-11,242.14,,,,,,,,,,,,
2011-08-12,244.23,,,,,,,,,,,,
2011-08-16,255.77,,,,,,,,,,,,
2011-08-17,254.85,,,,,,,,,,,,
2011-08-18,256.39,,,,,,,,,,,,
2011-08-19,253.17,,,,,,,,,,,,
2011-08-22,244.81,,,,,,,,,,,,
2011-08-23,242.42,,,,,,,,,,,,
2011-08-24,243.28,,,,,,,,,,,,
2011-08-25,238.16,,,,,,,,,,,,
2011-08-26,231.48,,,,,,,,,,,,
2011-08-29,233.26,,,,,,,,,,,,
2011-08-30,242.48,,,,,,,,,,,,
2011-08-31,246.01,,,,,,,,,,,,
2011-09-01,244.55,,,,,,,,,,,,
2011-09-02,246.34,,,,,,,,,,,,
2011-09-05,240.72,,,,,,,,,,,,
2011-09-06,230.57,,,,,,,,,,,,
2011-09-07,236.46,,,,,,,,,,,,
2011-09-08,234.08,,,,,,,,,,,,
2011-09-09,234.88,,,,,,,,,,,,
2011-09-14,229.89,,,,,,,,,,,,
2011-09-15,228.43,,,,,,,,,,,,
2011-09-16,236.84,,,,,,,,,,,,
2011-09-19,232.59,,,,,,,,,,,,
2011-09-20,232.77,,,,,,,,,,,,
2011-09-21,232.46,,,,,,,,,,,,
2011-09-22,228.39,,,,,,,,,,,,
2011-09-23,218.7,,,,,,,,,,,,
2011-09-26,206.26,,,,,,,,,,,,
2011-09-27,213.9,,,,,,,,,,,,
2011-09-28,208.14,,,,,,,,,,,,
2011-09-29,205.34,,,,,,,,,,,,
2011-09-30,208.26,,,,,,,,,,,,
2011-10-04,199.73,,,,,,,,,,,,
2011-10-05,191.38,,,,,,,,,,,,
2011-10-06,193.48,,,,,,,,,,,,
2011-10-07,198.4,,,,,,,,,,,,
2011-10-10,201.55,,,,,,,,,,,,
2011-10-11,207.61,,,,,,,,,,,,
2011-10-12,210.75,,,,,,,,,,,,
2011-10-13,216.13,,,,,,,,,,,,
2011-10-14,217.83,,,,,,,,,,,,
2011-10-17,224.91,,,,,,,,,,,,
2011-10-18,224.18,,,,,,,,,,,,
2011-10-19,225.7,,,,,,,,,,,,
2011-10-20,217.97,,,,,,,,,,,,
2011-10-21,218.62,,,,,,,,,,,,
2011-10-24,224.01,,,,,,,,,,,,
2011-10-25,222.59,,,,,,,,,,,,
2011-10-26,223.33,,,,,,,,,,,,
2011-10-27,225.03,,,,,,,,,,,,
2011-10-28,223.58,,,,,,,,,,,,
2011-10-31,221.63,,,,,,,,,,,,
2011-11-01,219.93,,,,,,,,,,,,
2011-11-02,220.04,,,,,,,,,,,,
2011-11-03,220.93,,,,,,,,,,,,
2011-11-04,224.69,,,,,,,,,,,,
2011-11-07,223.98,,,,,,,,,,,,
2011-11-08,228.69,,,,,,,,,,,,
2011-11-09,231.26,,,,,,,,,,,,
2011-11-10,223.31,,,,,,,,,,,,
2011-11-11,229.53,,,,,,,,,,,,
2011-11-14,235.1,,,,,,,,,,,,
2011-11-15,233.7,,,,,,,,,,,,
2011-11-16,227.14,,,,,,,,,,,,
2011-11-17,233.56,,,,,,,,,,,,
2011-11-18,231.58,,,,,,,,,,,,
2011-11-21,229.35,,,,,,,,,,,,
2011-11-22,229.38,,,,,,,,,,,,
2011-11-23,226.73,,,,,,,,,,,,
2011-11-24,223.63,,,,,,,,,,,,
2011-11-25,218.1,,,,,,,,,,,,
2011-11-28,220.3,,,,,,,,,,,,
2011-11-29,223.99,,,,,,,,,,,,
2011-11-30,222.8,,,,,,,,,,,,
2011-12-01,227.27,,,,,,,,,,,,
2011-12-02,225.75,,,,,,,,,,,,
2011-12-05,225.4,,,,,,,,,,,,
2011-12-06,222.42,,,,,,,,,,,,
2011-12-07,222.68,,,,,,,,,,,,
2011-12-08,223.71,,,,,,,,,,,,
2011-12-09,223.68,,,,,,,,,,,,
2011-12-12,228.18,,,,,,,,,,,,
2011-12-13,222.6,,,,,,,,,,,,
2011-12-14,223.14,,,,,,,,,,,,
2011-12-15,222.96,,,,,,,,,,,,
2011-12-16,223.93,,,,,,,,,,,,
2011-12-19,219.87,,,,,,,,,,,,
2011-12-20,225.1,,,,,,,,,,,,
2011-12-21,228.13,,,,,,,,,,,,
2011-12-22,228.8,,,,,,,,,,,,
2011-12-23,228.63,,,,,,,,,,,,
2011-12-26,227.01,,,,,,,,,,,,
2011-12-27,223.64,,,,,,,,,,,,
2011-12-28,221.7,,,,,,,,,,,,
2011-12-29,222.74,,,,,,,,,,,,
2012-01-02,226.22,,,,,,,,,,,,
2012-01-03,226.9,,,,,,,,,,,,
2012-01-04,226.75,,,,,,,,,,,,
2012-01-05,227.64,,,,,,,,,,,,
2012-01-06,228.29,,,,,,,,,,,,
2012-01-09,228.12,,,,,,,,,,,,
2012-01-10,229.42,,,,,,,,,,,,
2012-01-11,224.64,,,,,,,,,,,,
2012-01-12,224.3,,,,,,,,,,,,
2012-01-13,227.19,,,,,,,,,,,,
2012-01-16,226.8,,,,,,,,,,,,
2012-01-17,228.79,,,,,,,,,,,,
2012-01-18,229.89,,,,,,,,,,,,
2012-01-19,231.04,,,,,,,,,,,,
2012-01-20,233.22,,,,,,,,,,,,
2012-01-25,233.6,,,,,,,,,,,,
2012-01-26,234.44,,,,,,,,,,,,
2012-01-27,233.75,,,,,,,,,,,,
2012-01-30,235.96,,,,,,,,,,,,
2012-01-31,236.89,,,,,,,,,,,,
2012-02-01,241.74,,,,,,,,,,,,
2012-02-02,242.93,,,,,,,,,,,,
2012-02-03,240.57,,,,,,,,,,,,
2012-02-06,239.0,,,,,,,,,,,,
2012-02-07,241.58,,,,,,,,,,,,
2012-02-08,235.99,,,,,,,,,,,,
2012-02-09,237.17,,,,,,,,,,,,
2012-02-10,235.49,,,,,,,,,,,,
2012-02-13,237.7,,,,,,,,,,,,
2012-02-14,239.14,,,,,,,,,,,,
2012-02-15,241.98,,,,,,,,,,,,
2012-02-16,240.96,,,,,,,,,,,,
2012-02-17,241.3,,,,,,,,,,,,
2012-02-20,240.65,,,,,,,,,,,,
2012-02-21,241.99,,,,,,,,,,,,
2012-02-22,243.5,,,,,,,,,,,,
2012-02-23,245.03,,,,,,,,,,,,
2012-02-24,249.26,,,,,,,,,,,,
2012-02-27,244.1,,,,,,,,,,,,
2012-02-28,238.75,,,,,,,,,,,,
2012-02-29,239.6,,,,,,,,,,,,
2012-03-02,241.97,,,,,,,,,,,,
2012-03-05,239.01,,,,,,,,,,,,
2012-03-06,234.72,,,,,,,,,,,,
2012-03-07,235.77,,,,,,,,,,,,
2012-03-08,237.52,,,,,,,,,,,,
2012-03-09,237.64,,,,,,,,,,,,
2012-03-12,237.39,,,,,,,,,,,,
2012-03-13,238.41,,,,,,,,,,,,
2012-03-14,238.62,,,,,,,,,,,,
2012-03-15,237.86,,,,,,,,,,,,
2012-03-16,236.8,,,,,,,,,,,,
2012-03-19,237.64,,,,,,,,,,,,
2012-03-20,238.98,,,,,,,,,,,,
2012-03-21,238.6,,,,,,,,,,,,
2012-03-22,235.14,,,,,,,,,,,,
2012-03-23,233.99,,,,,,,,,,,,
2012-03-26,232.47,,,,,,,,,,,,
2012-03-27,232.76,,,,,,,,,,,,
2012-03-28,233.28,,,,,,,,,,,,
2012-03-29,229.49,,,,,,,,,,,,
2012-03-30,229.18,,,,,,,,,,,,
2012-04-02,232.58,,,,,,,,,,,,
2012-04-03,233.33,,,,,,,,,,,,
2012-04-04,226.83,,,,,,,,,,,,
2012-04-05,226.92,,,,,,,,,,,,
2012-04-06,227.44,,,,,,,,,,,,
2012-04-09,224.87,,,,,,,,,,,,
2012-04-10,226.11,,,,,,,,,,,,
2012-04-12,227.37,,,,,,,,,,,,
2012-04-13,230.13,,,,,,,,,,,,
2012-04-16,226.57,,,,,,,,,,,,
2012-04-17,227.02,,,,,,,,,,,,
2012-04-18,226.53,,,,,,,,,,,,
2012-04-19,225.96,,,,,,,,,,,,
2012-04-20,227.78,,,,,,,,,,,,
2012-04-23,226.65,,,,,,,,,,,,
2012-04-24,225.4,,,,,,,,,,,,
2012-04-25,220.44,,,,,,,,,,,,
2012-04-26,220.82,,,,,,,,,,,,
2012-04-27,221.53,,,,,,,,,,,,
2012-04-30,219.27,,,,,,,,,,,,
2012-05-02,218.59,,,,,,,,,,,,
2012-05-03,218.95,,,,,,,,,,,,
2012-05-04,216.2,,,,,,,,,,,,
2012-05-07,214.36,,,,,,,,,,,,
2012-05-08,215.58,,,,,,,,,,,,
2012-05-09,218.82,,,,,,,,,,,,
2012-05-10,217.57,,,,,,,,,,,,
2012-05-11,214.61,,,,,,,,,,,,
2012-05-14,210.04,,,,,,,,,,,,
2012-05-15,208.78,,,,,,,,,,,,
2012-05-16,207.84,,,,,,,,,,,,
2012-05-17,204.24,,,,,,,,,,,,
2012-05-18,200.07,,,,,,,,,,,,
2012-05-21,203.1,,,,,,,,,,,,
2012-05-22,204.31,,,,,,,,,,,,
2012-05-23,201.0,,,,,,,,,,,,
2012-05-24,200.4,,,,,,,,,,,,
2012-05-25,200.11,,,,,,,,,,,,
2012-05-29,200.16,,,,,,,,,,,,
2012-05-30,195.16,,,,,,,,,,,,
2012-05-31,192.85,,,,,,,,,,,,
2012-06-01,191.49,,,,,,,,,,,,
2012-06-04,186.22,,,,,,,,,,,,
