날짜,Finance,Open,High,Low,Close,Volume,거래대금,상장시가총액,open,high,low,close,volume
2010-05-14,1657.0,,,,,,,,,,,,
2010-05-17,1614.34,,,,,,,,,,,,
2010-05-18,1604.53,,,,,,,,,,,,
2010-05-19,1591.03,,,,,,,,,,,,
2010-05-20,1563.59,,,,,,,,,,,,
2010-05-24,1573.75,,,,,,,,,,,,
2010-05-25,1534.22,,,,,,,,,,,,
2010-05-26,1549.14,,,,,,,,,,,,
2010-05-27,1574.43,,,,,,,,,,,,
2010-05-28,1591.84,,,,,,,,,,,,
2010-05-31,1608.0,,,,,,,,,,,,
2010-06-01,1597.02,,,,,,,,,,,,
2010-06-03,1630.82,,,,,,,,,,,,
2010-06-04,1635.39,,,,,,,,,,,,
2010-06-07,1609.0,,,,,,,,,,,,
2010-06-08,1621.16,,,,,,,,,,,,
2010-06-09,1616.11,,,,,,,,,,,,
2010-06-10,1619.2,,,,,,,,,,,,
2010-06-11,1645.3,,,,,,,,,,,,
2010-06-14,1661.19,,,,,,,,,,,,
2010-06-15,1659.57,,,,,,,,,,,,
2010-06-16,1676.12,,,,,,,,,,,,
2010-06-17,1677.75,,,,,,,,,,,,
2010-06-18,1681.71,,,,,,,,,,,,
2010-06-21,1710.4,,,,,,,,,,,,
2010-06-22,1700.9,,,,,,,,,,,,
2010-06-23,1694.7,,,,,,,,,,,,
2010-06-24,1708.27,,,,,,,,,,,,
2010-06-25,1694.22,,,,,,,,,,,,
2010-06-28,1695.24,,,,,,,,,,,,
2010-06-29,1672.97,,,,,,,,,,,,
2010-06-30,1660.44,,,,,,,,,,,,
2010-07-01,1644.3,,,,,,,,,,,,
2010-07-02,1630.48,,,,,,,,,,,,
2010-07-05,1632.88,,,,,,,,,,,,
2010-07-06,1646.32,,,,,,,,,,,,
2010-07-07,1633.54,,,,,,,,,,,,
2010-07-08,1658.57,,,,,,,,,,,,
2010-07-09,1685.6,,,,,,,,,,,,
2010-07-12,1696.5,,,,,,,,,,,,
2010-07-13,1698.47,,,,,,,,,,,,
2010-07-14,1722.3,,,,,,,,,,,,
2010-07-15,1714.64,,,,,,,,,,,,
2010-07-16,1699.43,,,,,,,,,,,,
2010-07-19,1692.48,,,,,,,,,,,,
2010-07-20,1696.96,,,,,,,,,,,,
2010-07-21,1713.14,,,,,,,,,,,,
2010-07-22,1701.46,,,,,,,,,,,,
2010-07-23,1726.17,,,,,,,,,,,,
2010-07-26,1737.25,,,,,,,,,,,,
2010-07-27,1737.72,,,,,,,,,,,,
2010-07-28,1742.82,,,,,,,,,,,,
2010-07-29,1740.01,,,,,,,,,,,,
2010-07-30,1726.39,,,,,,,,,,,,
2010-08-02,1750.42,,,,,,,,,,,,
2010-08-03,1760.58,,,,,,,,,,,,
2010-08-04,1757.9,,,,,,,,,,,,
2010-08-05,1750.76,,,,,,,,,,,,
2010-08-06,1749.51,,,,,,,,,,,,
2010-08-09,1755.32,,,,,,,,,,,,
2010-08-10,1747.58,,,,,,,,,,,,
2010-08-11,1726.0,,,,,,,,,,,,
2010-08-12,1688.11,,,,,,,,,,,,
2010-08-13,1711.68,,,,,,,,,,,,
2010-08-16,1709.14,,,,,,,,,,,,
2010-08-17,1720.66,,,,,,,,,,,,
2010-08-18,1727.31,,,,,,,,,,,,
2010-08-19,1748.21,,,,,,,,,,,,
2010-08-20,1742.86,,,,,,,,,,,,
2010-08-23,1735.43,,,,,,,,,,,,
2010-08-24,1727.43,,,,,,,,,,,,
2010-08-25,1701.55,,,,,,,,,,,,
2010-08-26,1697.51,,,,,,,,,,,,
2010-08-27,1698.23,,,,,,,,,,,,
2010-08-30,1729.55,,,,,,,,,,,,
2010-08-31,1709.41,,,,,,,,,,,,
2010-09-01,1730.29,,,,,,,,,,,,
2010-09-02,1741.88,,,,,,,,,,,,
2010-09-03,1744.1,,,,,,,,,,,,
2010-09-06,1756.32,,,,,,,,,,,,
2010-09-07,1752.87,,,,,,,,,,,,
2010-09-08,1742.81,,,,,,,,,,,,
2010-09-09,1747.77,,,,,,,,,,,,
2010-09-10,1766.8,,,,,,,,,,,,
2010-09-13,1784.57,,,,,,,,,,,,
2010-09-14,1783.22,,,,,,,,,,,,
2010-09-15,1791.95,,,,,,,,,,,,
2010-09-16,1778.04,,,,,,,,,,,,
2010-09-17,1793.11,,,,,,,,,,,,
2010-09-20,1799.43,,,,,,,,,,,,
2010-09-24,1813.18,,,,,,,,,,,,
2010-09-27,1828.46,,,,,,,,,,,,
2010-09-28,1822.92,,,,,,,,,,,,
2010-09-29,1833.57,,,,,,,,,,,,
2010-09-30,1837.68,,,,,,,,,,,,
2010-10-01,1840.26,,,,,,,,,,,,
2010-10-04,1844.73,,,,,,,,,,,,
2010-10-05,1844.32,,,,,,,,,,,,
2010-10-06,1870.74,,,,,,,,,,,,
2010-10-07,1867.31,,,,,,,,,,,,
2010-10-08,1861.44,,,,,,,,,,,,
2010-10-11,1853.02,,,,,,,,,,,,
2010-10-12,1829.72,,,,,,,,,,,,
2010-10-13,1834.75,,,,,,,,,,,,
2010-10-14,1859.71,,,,,,,,,,,,
2010-10-15,1861.51,,,,,,,,,,,,
2010-10-18,1830.47,,,,,,,,,,,,
2010-10-19,1812.0,,,,,,,,,,,,
2010-10-20,1824.67,,,,,,,,,,,,
2010-10-21,1830.5,,,,,,,,,,,,
2010-10-22,1854.93,,,,,,,,,,,,
2010-10-25,1873.26,,,,,,,,,,,,
2010-10-26,1875.0,,,,,,,,,,,,
2010-10-27,1862.87,,,,,,,,,,,,
2010-10-28,1862.18,,,,,,,,,,,,
2010-10-29,1836.06,,,,,,,,,,,,
2010-11-01,1871.62,,,,,,,,,,,,
2010-11-02,1875.33,,,,,,,,,,,,
2010-11-03,1892.38,,,,,,,,,,,,
2010-11-04,1900.73,,,,,,,,,,,,
2010-11-05,1901.42,,,,,,,,,,,,
2010-11-08,1904.12,,,,,,,,,,,,
2010-11-09,1908.29,,,,,,,,,,,,
2010-11-10,1930.41,,,,,,,,,,,,
2010-11-11,1874.07,,,,,,,,,,,,
2010-11-12,1879.68,,,,,,,,,,,,
2010-11-15,1884.18,,,,,,,,,,,,
2010-11-16,1872.46,,,,,,,,,,,,
2010-11-17,1868.59,,,,,,,,,,,,
2010-11-18,1898.12,,,,,,,,,,,,
2010-11-19,1913.18,,,,,,,,,,,,
2010-11-22,1918.27,,,,,,,,,,,,
2010-11-23,1903.7,,,,,,,,,,,,
2010-11-24,1904.87,,,,,,,,,,,,
2010-11-25,1905.95,,,,,,,,,,,,
2010-11-26,1882.46,,,,,,,,,,,,
2010-11-29,1876.5,,,,,,,,,,,,
2010-11-30,1881.89,,,,,,,,,,,,
2010-12-01,1906.98,,,,,,,,,,,,
2010-12-02,1930.44,,,,,,,,,,,,
2010-12-03,1941.77,,,,,,,,,,,,
2010-12-06,1939.06,,,,,,,,,,,,
2010-12-07,1949.27,,,,,,,,,,,,
2010-12-08,1941.48,,,,,,,,,,,,
2010-12-09,1977.04,,,,,,,,,,,,
2010-12-10,1973.16,,,,,,,,,,,,
2010-12-13,1983.44,,,,,,,,,,,,
2010-12-14,1996.99,,,,,,,,,,,,
2010-12-15,2004.37,,,,,,,,,,,,
2010-12-16,1995.9,,,,,,,,,,,,
2010-12-17,2016.26,,,,,,,,,,,,
2010-12-20,2014.56,,,,,,,,,,,,
2010-12-21,2029.42,,,,,,,,,,,,
2010-12-22,2031.09,,,,,,,,,,,,
2010-12-23,2030.73,,,,,,,,,,,,
2010-12-24,2022.25,,,,,,,,,,,,
2010-12-27,2011.87,,,,,,,,,,,,
2010-12-28,2023.71,,,,,,,,,,,,
2010-12-29,2034.87,,,,,,,,,,,,
2010-12-30,2039.99,,,,,,,,,,,,
2011-01-03,2059.78,,,,,,,,,,,,
2011-01-04,2075.19,,,,,,,,,,,,
2011-01-05,2072.23,,,,,,,,,,,,
2011-01-06,2066.19,,,,,,,,,,,,
2011-01-07,2073.05,,,,,,,,,,,,
2011-01-10,2062.81,,,,,,,,,,,,
2011-01-11,2071.7,,,,,,,,,,,,
2011-01-12,2080.66,,,,,,,,,,,,
2011-01-13,2075.58,,,,,,,,,,,,
2011-01-14,2093.24,,,,,,,,,,,,
2011-01-17,2084.64,,,,,,,,,,,,
2011-01-18,2080.76,,,,,,,,,,,,
2011-01-19,2100.84,,,,,,,,,,,,
2011-01-20,2090.36,,,,,,,,,,,,
2011-01-21,2051.64,,,,,,,,,,,,
2011-01-24,2065.91,,,,,,,,,,,,
2011-01-25,2072.49,,,,,,,,,,,,
2011-01-26,2098.57,,,,,,,,,,,,
2011-01-27,2103.67,,,,,,,,,,,,
2011-01-28,2097.71,,,,,,,,,,,,
2011-01-31,2056.98,,,,,,,,,,,,
2011-02-01,2058.32,,,,,,,,,,,,
2011-02-07,2066.91,,,,,,,,,,,,
2011-02-08,2054.2,,,,,,,,,,,,
2011-02-09,2028.58,,,,,,,,,,,,
2011-02-10,1987.68,,,,,,,,,,,,
2011-02-11,1955.96,,,,,,,,,,,,
2011-02-14,1998.96,,,,,,,,,,,,
2011-02-15,1994.71,,,,,,,,,,,,
2011-02-16,1970.59,,,,,,,,,,,,
2011-02-17,1960.84,,,,,,,,,,,,
2011-02-18,1995.83,,,,,,,,,,,,
2011-02-21,1988.46,,,,,,,,,,,,
2011-02-22,1954.09,,,,,,,,,,,,
2011-02-23,1945.51,,,,,,,,,,,,
2011-02-24,1934.53,,,,,,,,,,,,
2011-02-25,1948.32,,,,,,,,,,,,
2011-02-28,1925.32,,,,,,,,,,,,
2011-03-02,1916.22,,,,,,,,,,,,
2011-03-03,1957.34,,,,,,,,,,,,
2011-03-04,1993.58,,,,,,,,,,,,
2011-03-07,1967.49,,,,,,,,,,,,
2011-03-08,1981.53,,,,,,,,,,,,
2011-03-09,1986.62,,,,,,,,,,,,
2011-03-10,1963.63,,,,,,,,,,,,
2011-03-11,1935.09,,,,,,,,,,,,
2011-03-14,1960.28,,,,,,,,,,,,
2011-03-15,1912.39,,,,,,,,,,,,
2011-03-16,1948.65,,,,,,,,,,,,
2011-03-17,1952.0,,,,,,,,,,,,
2011-03-18,1971.51,,,,,,,,,,,,
2011-03-21,1991.85,,,,,,,,,,,,
2011-03-22,2001.93,,,,,,,,,,,,
2011-03-23,1999.12,,,,,,,,,,,,
2011-03-24,2023.15,,,,,,,,,,,,
2011-03-25,2042.02,,,,,,,,,,,,
2011-03-28,2044.12,,,,,,,,,,,,
2011-03-29,2059.75,,,,,,,,,,,,
2011-03-30,2079.72,,,,,,,,,,,,
2011-03-31,2094.37,,,,,,,,,,,,
2011-04-01,2108.27,,,,,,,,,,,,
2011-04-04,2102.33,,,,,,,,,,,,
2011-04-05,2117.06,,,,,,,,,,,,
2011-04-06,2112.66,,,,,,,,,,,,
2011-04-07,2106.25,,,,,,,,,,,,
2011-04-08,2111.45,,,,,,,,,,,,
2011-04-11,2106.49,,,,,,,,,,,,
2011-04-12,2073.21,,,,,,,,,,,,
2011-04-13,2107.07,,,,,,,,,,,,
2011-04-14,2124.41,,,,,,,,,,,,
2011-04-15,2120.6,,,,,,,,,,,,
2011-04-18,2117.17,,,,,,,,,,,,
2011-04-19,2103.39,,,,,,,,,,,,
2011-04-20,2154.96,,,,,,,,,,,,
2011-04-21,2185.96,,,,,,,,,,,,
2011-04-22,2184.77,,,,,,,,,,,,
2011-04-25,2201.69,,,,,,,,,,,,
2011-04-26,2192.83,,,,,,,,,,,,
2011-04-27,2193.69,,,,,,,,,,,,
2011-04-28,2196.02,,,,,,,,,,,,
2011-04-29,2179.64,,,,,,,,,,,,
2011-05-02,2217.15,,,,,,,,,,,,
2011-05-03,2187.25,,,,,,,,,,,,
2011-05-04,2164.9,,,,,,,,,,,,
2011-05-06,2130.86,,,,,,,,,,,,
2011-05-09,2124.03,,,,,,,,,,,,
2011-05-11,2153.79,,,,,,,,,,,,
2011-05-12,2107.34,,,,,,,,,,,,
2011-05-13,2105.09,,,,,,,,,,,,
2011-05-16,2087.79,,,,,,,,,,,,
2011-05-17,2086.55,,,,,,,,,,,,
2011-05-18,2123.13,,,,,,,,,,,,
2011-05-19,2081.05,,,,,,,,,,,,
2011-05-20,2098.24,,,,,,,,,,,,
2011-05-23,2041.68,,,,,,,,,,,,
2011-05-24,2046.62,,,,,,,,,,,,
2011-05-25,2020.73,,,,,,,,,,,,
2011-05-26,2078.69,,,,,,,,,,,,
2011-05-27,2087.04,,,,,,,,,,,,
2011-05-30,2079.41,,,,,,,,,,,,
2011-05-31,2129.69,,,,,,,,,,,,
2011-06-01,2127.78,,,,,,,,,,,,
2011-06-02,2100.02,,,,,,,,,,,,
2011-06-03,2097.85,,,,,,,,,,,,
2011-06-07,2083.52,,,,,,,,,,,,
2011-06-08,2066.13,,,,,,,,,,,,
2011-06-09,2052.08,,,,,,,,,,,,
2011-06-10,2025.81,,,,,,,,,,,,
2011-06-13,2030.34,,,,,,,,,,,,
2011-06-14,2059.6,,,,,,,,,,,,
2011-06-15,2065.75,,,,,,,,,,,,
2011-06-16,2022.67,,,,,,,,,,,,
2011-06-17,2002.58,,,,,,,,,,,,
2011-06-20,1988.24,,,,,,,,,,,,
2011-06-21,2019.81,,,,,,,,,,,,
2011-06-22,2034.61,,,,,,,,,,,,
2011-06-23,2026.9,,,,,,,,,,,,
2011-06-24,2063.73,,,,,,,,,,,,
2011-06-27,2041.97,,,,,,,,,,,,
2011-06-28,2032.71,,,,,,,,,,,,
2011-06-29,2065.67,,,,,,,,,,,,
2011-06-30,2070.23,,,,,,,,,,,,
2011-07-01,2097.25,,,,,,,,,,,,
2011-07-04,2117.29,,,,,,,,,,,,
2011-07-05,2133.26,,,,,,,,,,,,
2011-07-06,2142.79,,,,,,,,,,,,
2011-07-07,2151.0,,,,,,,,,,,,
2011-07-08,2151.33,,,,,,,,,,,,
2011-07-11,2124.1,,,,,,,,,,,,
2011-07-12,2074.24,,,,,,,,,,,,
2011-07-13,2093.25,,,,,,,,,,,,
2011-07-14,2091.45,,,,,,,,,,,,
2011-07-15,2103.14,,,,,,,,,,,,
2011-07-18,2081.86,,,,,,,,,,,,
2011-07-19,2079.43,,,,,,,,,,,,
2011-07-20,2106.48,,,,,,,,,,,,
2011-07-21,2096.06,,,,,,,,,,,,
2011-07-22,2121.33,,,,,,,,,,,,
2011-07-25,2099.23,,,,,,,,,,,,
2011-07-26,2117.18,,,,,,,,,,,,
2011-07-27,2122.14,,,,,,,,,,,,
2011-07-28,2100.75,,,,,,,,,,,,
2011-07-29,2077.9,,,,,,,,,,,,
2011-08-01,2119.3,,,,,,,,,,,,
2011-08-02,2067.08,,,,,,,,,,,,
2011-08-03,2010.78,,,,,,,,,,,,
2011-08-04,1963.04,,,,,,,,,,,,
2011-08-05,1890.17,,,,,,,,,,,,
2011-08-08,1819.87,,,,,,,,,,,,
2011-08-09,1752.84,,,,,,,,,,,,
2011-08-10,1751.16,,,,,,,,,,,,
2011-08-11,1757.9,,,,,,,,,,,,
2011-08-12,1728.39,,,,,,,,,,,,
2011-08-16,1817.99,,,,,,,,,,,,
2011-08-17,1827.19,,,,,,,,,,,,
2011-08-18,1788.73,,,,,,,,,,,,
2011-08-19,1671.66,,,,,,,,,,,,
2011-08-22,1638.66,,,,,,,,,,,,
2011-08-23,1708.87,,,,,,,,,,,,
2011-08-24,1688.38,,,,,,,,,,,,
2011-08-25,1702.27,,,,,,,,,,,,
2011-08-26,1717.15,,,,,,,,,,,,
2011-08-29,1770.53,,,,,,,,,,,,
2011-08-30,1783.0,,,,,,,,,,,,
2011-08-31,1817.11,,,,,,,,,,,,
2011-09-01,1820.29,,,,,,,,,,,,
2011-09-02,1804.32,,,,,,,,,,,,
2011-09-05,1718.53,,,,,,,,,,,,
2011-09-06,1701.12,,,,,,,,,,,,
2011-09-07,1769.52,,,,,,,,,,,,
2011-09-08,1786.72,,,,,,,,,,,,
2011-09-09,1750.06,,,,,,,,,,,,
2011-09-14,1687.06,,,,,,,,,,,,
2011-09-15,1715.13,,,,,,,,,,,,
2011-09-16,1782.24,,,,,,,,,,,,
2011-09-19,1763.54,,,,,,,,,,,,
2011-09-20,1781.12,,,,,,,,,,,,
2011-09-21,1797.52,,,,,,,,,,,,
2011-09-22,1740.97,,,,,,,,,,,,
2011-09-23,1639.25,,,,,,,,,,,,
2011-09-26,1604.49,,,,,,,,,,,,
2011-09-27,1689.06,,,,,,,,,,,,
2011-09-28,1678.26,,,,,,,,,,,,
2011-09-29,1727.99,,,,,,,,,,,,
2011-09-30,1726.04,,,,,,,,,,,,
2011-10-04,1660.45,,,,,,,,,,,,
2011-10-05,1622.97,,,,,,,,,,,,
2011-10-06,1673.65,,,,,,,,,,,,
2011-10-07,1723.66,,,,,,,,,,,,
2011-10-10,1727.73,,,,,,,,,,,,
2011-10-11,1757.17,,,,,,,,,,,,
2011-10-12,1770.49,,,,,,,,,,,,
2011-10-13,1781.49,,,,,,,,,,,,
2011-10-14,1793.7,,,,,,,,,,,,
2011-10-17,1821.87,,,,,,,,,,,,
2011-10-18,1793.8,,,,,,,,,,,,
2011-10-19,1810.52,,,,,,,,,,,,
2011-10-20,1760.81,,,,,,,,,,,,
2011-10-21,1794.71,,,,,,,,,,,,
2011-10-24,1857.21,,,,,,,,,,,,
2011-10-25,1848.03,,,,,,,,,,,,
2011-10-26,1851.9,,,,,,,,,,,,
2011-10-27,1880.36,,,,,,,,,,,,
2011-10-28,1889.78,,,,,,,,,,,,
2011-10-31,1869.15,,,,,,,,,,,,
2011-11-01,1870.97,,,,,,,,,,,,
2011-11-02,1858.16,,,,,,,,,,,,
2011-11-03,1828.54,,,,,,,,,,,,
2011-11-04,1890.46,,,,,,,,,,,,
2011-11-07,1881.02,,,,,,,,,,,,
2011-11-08,1862.44,,,,,,,,,,,,
2011-11-09,1865.88,,,,,,,,,,,,
2011-11-10,1767.82,,,,,,,,,,,,
2011-11-11,1819.77,,,,,,,,,,,,
2011-11-14,1860.29,,,,,,,,,,,,
2011-11-15,1842.74,,,,,,,,,,,,
2011-11-16,1813.25,,,,,,,,,,,,
2011-11-17,1831.75,,,,,,,,,,,,
2011-11-18,1791.86,,,,,,,,,,,,
2011-11-21,1771.43,,,,,,,,,,,,
2011-11-22,1779.53,,,,,,,,,,,,
2011-11-23,1734.47,,,,,,,,,,,,
2011-11-24,1748.46,,,,,,,,,,,,
2011-11-25,1731.75,,,,,,,,,,,,
2011-11-28,1774.0,,,,,,,,,,,,
2011-11-29,1816.79,,,,,,,,,,,,
2011-11-30,1805.89,,,,,,,,,,,,
2011-12-01,1882.34,,,,,,,,,,,,
2011-12-02,1880.54,,,,,,,,,,,,
2011-12-05,1887.0,,,,,,,,,,,,
2011-12-06,1867.04,,,,,,,,,,,,
2011-12-07,1883.26,,,,,,,,,,,,
2011-12-08,1873.77,,,,,,,,,,,,
2011-12-09,1833.6,,,,,,,,,,,,
2011-12-12,1860.47,,,,,,,,,,,,
2011-12-13,1822.95,,,,,,,,,,,,
2011-12-14,1814.49,,,,,,,,,,,,
2011-12-15,1773.11,,,,,,,,,,,,
2011-12-16,1797.19,,,,,,,,,,,,
2011-12-19,1737.8,,,,,,,,,,,,
2011-12-20,1751.69,,,,,,,,,,,,
2011-12-21,1810.11,,,,,,,,,,,,
2011-12-22,1808.91,,,,,,,,,,,,
2011-12-23,1829.18,,,,,,,,,,,,
2011-12-26,1817.02,,,,,,,,,,,,
2011-12-27,1802.97,,,,,,,,,,,,
2011-12-28,1784.48,,,,,,,,,,,,
2011-12-29,1783.06,,,,,,,,,,,,
2012-01-02,1785.92,,,,,,,,,,,,
2012-01-03,1838.84,,,,,,,,,,,,
2012-01-04,1827.49,,,,,,,,,,,,
2012-01-05,1822.95,,,,,,,,,,,,
2012-01-06,1800.92,,,,,,,,,,,,
2012-01-09,1782.88,,,,,,,,,,,,
2012-01-10,1810.18,,,,,,,,,,,,
2012-01-11,1802.49,,,,,,,,,,,,
2012-01-12,1823.66,,,,,,,,,,,,
2012-01-13,1836.16,,,,,,,,,,,,
2012-01-16,1819.48,,,,,,,,,,,,
2012-01-17,1855.37,,,,,,,,,,,,
2012-01-18,1856.73,,,,,,,,,,,,
2012-01-19,1881.73,,,,,,,,,,,,
2012-01-20,1921.33,,,,,,,,,,,,
2012-01-25,1924.43,,,,,,,,,,,,
2012-01-26,1927.55,,,,,,,,,,,,
2012-01-27,1935.76,,,,,,,,,,,,
2012-01-30,1908.64,,,,,,,,,,,,
2012-01-31,1923.53,,,,,,,,,,,,
2012-02-01,1924.88,,,,,,,,,,,,
2012-02-02,1951.0,,,,,,,,,,,,
2012-02-03,1937.49,,,,,,,,,,,,
2012-02-06,1939.04,,,,,,,,,,,,
2012-02-07,1946.42,,,,,,,,,,,,
2012-02-08,1970.59,,,,,,,,,,,,
2012-02-09,1982.97,,,,,,,,,,,,
2012-02-10,1958.33,,,,,,,,,,,,
2012-02-13,1970.34,,,,,,,,,,,,
2012-02-14,1966.47,,,,,,,,,,,,
2012-02-15,1992.07,,,,,,,,,,,,
2012-02-16,1962.27,,,,,,,,,,,,
2012-02-17,1990.44,,,,,,,,,,,,
2012-02-20,1991.31,,,,,,,,,,,,
2012-02-21,1991.12,,,,,,,,,,,,
2012-02-22,1995.63,,,,,,,,,,,,
2012-02-23,1972.73,,,,,,,,,,,,
2012-02-24,1985.43,,,,,,,,,,,,
2012-02-27,1955.73,,,,,,,,,,,,
2012-02-28,1972.26,,,,,,,,,,,,
2012-02-29,2000.68,,,,,,,,,,,,
2012-03-02,2003.32,,,,,,,,,,,,
2012-03-05,1984.27,,,,,,,,,,,,
2012-03-06,1969.97,,,,,,,,,,,,
2012-03-07,1950.83,,,,,,,,,,,,
2012-03-08,1972.14,,,,,,,,,,,,
2012-03-09,1991.43,,,,,,,,,,,,
2012-03-12,1974.93,,,,,,,,,,,,
2012-03-13,1998.67,,,,,,,,,,,,
2012-03-14,2020.81,,,,,,,,,,,,
2012-03-15,2019.99,,,,,,,,,,,,
2012-03-16,2009.31,,,,,,,,,,,,
2012-03-19,2023.76,,,,,,,,,,,,
2012-03-20,2019.96,,,,,,,,,,,,
2012-03-21,2005.31,,,,,,,,,,,,
2012-03-22,2008.12,,,,,,,,,,,,
2012-03-23,2008.35,,,,,,,,,,,,
2012-03-26,2002.51,,,,,,,,,,,,
2012-03-27,2026.63,,,,,,,,,,,,
2012-03-28,2018.59,,,,,,,,,,,,
2012-03-29,2001.63,,,,,,,,,,,,
2012-03-30,1999.77,,,,,,,,,,,,
2012-04-02,2016.87,,,,,,,,,,,,
2012-04-03,2042.47,,,,,,,,,,,,
2012-04-04,2011.86,,,,,,,,,,,,
2012-04-05,2024.26,,,,,,,,,,,,
2012-04-06,2024.87,,,,,,,,,,,,
2012-04-09,1995.81,,,,,,,,,,,,
2012-04-10,1991.65,,,,,,,,,,,,
2012-04-12,1981.87,,,,,,,,,,,,
2012-04-13,2002.38,,,,,,,,,,,,
2012-04-16,1984.5,,,,,,,,,,,,
2012-04-17,1974.96,,,,,,,,,,,,
2012-04-18,1996.87,,,,,,,,,,,,
2012-04-19,1992.47,,,,,,,,,,,,
2012-04-20,1965.81,,,,,,,,,,,,
2012-04-23,1965.0,,,,,,,,,,,,
2012-04-24,1958.26,,,,,,,,,,,,
2012-04-25,1958.69,,,,,,,,,,,,
2012-04-26,1962.78,,,,,,,,,,,,
