날짜,Materials,Open,High,Low,Close,Volume,거래대금,상장시가총액,open,high,low,close,volume
2012-08-30,2033.19,,,,,,,,,,,,
2012-08-31,2031.43,,,,,,,,,,,,
2012-09-03,2040.2,,,,,,,,,,,,
2012-09-04,2035.64,,,,,,,,,,,,
2012-09-05,2008.29,,,,,,,,,,,,
2012-09-06,2018.2,,,,,,,,,,,,
2012-09-07,2045.05,,,,,,,,,,,,
2012-09-10,2039.23,,,,,,,,,,,,
2012-09-11,2031.11,,,,,,,,,,,,
2012-09-12,2054.3,,,,,,,,,,,,
2012-09-13,2058.04,,,,,,,,,,,,
2012-09-14,2102.12,,,,,,,,,,,,
2012-09-17,2110.02,,,,,,,,,,,,
2012-09-18,2119.53,,,,,,,,,,,,
2012-09-19,2140.54,,,,,,,,,,,,
2012-09-20,2135.12,,,,,,,,,,,,
2012-09-21,2160.65,,,,,,,,,,,,
2012-09-24,2165.04,,,,,,,,,,,,
2012-09-25,2147.38,,,,,,,,,,,,
2012-09-26,2133.95,,,,,,,,,,,,
2012-09-27,2143.43,,,,,,,,,,,,
2012-09-28,2147.4,,,,,,,,,,,,
2012-10-02,2144.86,,,,,,,,,,,,
2012-10-04,2133.97,,,,,,,,,,,,
2012-10-05,2140.69,,,,,,,,,,,,
2012-10-08,2135.93,,,,,,,,,,,,
2012-10-09,2138.77,,,,,,,,,,,,
2012-10-10,2109.3,,,,,,,,,,,,
2012-10-11,2096.47,,,,,,,,,,,,
2012-10-12,2122.39,,,,,,,,,,,,
2012-10-15,2119.68,,,,,,,,,,,,
2012-10-16,2128.61,,,,,,,,,,,,
2012-10-17,2129.47,,,,,,,,,,,,
2012-10-18,2104.44,,,,,,,,,,,,
2012-10-19,2095.31,,,,,,,,,,,,
2012-10-22,2105.01,,,,,,,,,,,,
2012-10-23,2103.92,,,,,,,,,,,,
2012-10-24,2116.47,,,,,,,,,,,,
2012-10-25,2093.0,,,,,,,,,,,,
2012-10-26,2061.27,,,,,,,,,,,,
2012-10-29,2043.63,,,,,,,,,,,,
2012-10-30,2054.35,,,,,,,,,,,,
2012-10-31,2075.03,,,,,,,,,,,,
2012-11-01,2072.45,,,,,,,,,,,,
2012-11-02,2076.0,,,,,,,,,,,,
2012-11-05,2083.22,,,,,,,,,,,,
2012-11-06,2092.73,,,,,,,,,,,,
2012-11-07,2090.18,,,,,,,,,,,,
2012-11-08,2081.45,,,,,,,,,,,,
2012-11-09,2080.21,,,,,,,,,,,,
2012-11-12,2089.42,,,,,,,,,,,,
2012-11-13,2064.79,,,,,,,,,,,,
2012-11-14,2049.68,,,,,,,,,,,,
2012-11-15,2025.87,,,,,,,,,,,,
2012-11-16,2009.71,,,,,,,,,,,,
2012-11-19,2043.43,,,,,,,,,,,,
2012-11-20,2048.01,,,,,,,,,,,,
2012-11-21,2026.23,,,,,,,,,,,,
2012-11-22,2024.27,,,,,,,,,,,,
2012-11-23,2031.07,,,,,,,,,,,,
2012-11-26,2034.1,,,,,,,,,,,,
2012-11-27,2025.31,,,,,,,,,,,,
2012-11-28,2015.99,,,,,,,,,,,,
2012-11-29,2043.1,,,,,,,,,,,,
2012-11-30,2048.81,,,,,,,,,,,,
2012-12-03,2041.61,,,,,,,,,,,,
2012-12-04,2048.41,,,,,,,,,,,,
2012-12-05,2050.07,,,,,,,,,,,,
2012-12-06,2040.13,,,,,,,,,,,,
2012-12-07,2040.05,,,,,,,,,,,,
2012-12-10,2027.04,,,,,,,,,,,,
2012-12-11,2023.55,,,,,,,,,,,,
2012-12-12,2036.68,,,,,,,,,,,,
2012-12-13,2059.43,,,,,,,,,,,,
2012-12-14,2063.98,,,,,,,,,,,,
2012-12-17,2055.39,,,,,,,,,,,,
2012-12-18,2067.24,,,,,,,,,,,,
2012-12-20,2068.19,,,,,,,,,,,,
2012-12-21,2068.09,,,,,,,,,,,,
2012-12-24,2073.57,,,,,,,,,,,,
2012-12-26,2080.89,,,,,,,,,,,,
2012-12-27,2086.1,,,,,,,,,,,,
2012-12-28,2096.98,,,,,,,,,,,,
2013-01-02,2108.22,,,,,,,,,,,,
2013-01-03,2105.56,,,,,,,,,,,,
2013-01-04,2116.04,,,,,,,,,,,,
2013-01-07,2122.63,,,,,,,,,,,,
2013-01-08,2120.71,,,,,,,,,,,,
2013-01-09,2124.92,,,,,,,,,,,,
2013-01-10,2132.78,,,,,,,,,,,,
2013-01-11,2135.03,,,,,,,,,,,,
2013-01-14,2139.26,,,,,,,,,,,,
2013-01-15,2117.96,,,,,,,,,,,,
2013-01-16,2096.99,,,,,,,,,,,,
2013-01-17,2091.6,,,,,,,,,,,,
2013-01-18,2112.65,,,,,,,,,,,,
2013-01-21,2126.44,,,,,,,,,,,,
2013-01-22,2121.8,,,,,,,,,,,,
2013-01-23,2105.77,,,,,,,,,,,,
2013-01-24,2096.4,,,,,,,,,,,,
2013-01-25,2094.23,,,,,,,,,,,,
2013-01-28,2095.79,,,,,,,,,,,,
2013-01-29,2098.63,,,,,,,,,,,,
2013-01-30,2108.84,,,,,,,,,,,,
2013-01-31,2102.81,,,,,,,,,,,,
2013-02-01,2094.27,,,,,,,,,,,,
2013-02-04,2091.88,,,,,,,,,,,,
2013-02-05,2071.71,,,,,,,,,,,,
2013-02-06,2080.46,,,,,,,,,,,,
2013-02-07,2066.52,,,,,,,,,,,,
2013-02-08,2074.6,,,,,,,,,,,,
2013-02-12,2057.58,,,,,,,,,,,,
2013-02-13,2075.97,,,,,,,,,,,,
2013-02-14,2081.93,,,,,,,,,,,,
2013-02-15,2084.58,,,,,,,,,,,,
2013-02-18,2089.88,,,,,,,,,,,,
2013-02-19,2097.08,,,,,,,,,,,,
2013-02-20,2113.99,,,,,,,,,,,,
2013-02-21,2100.12,,,,,,,,,,,,
2013-02-22,2110.81,,,,,,,,,,,,
2013-02-25,2102.59,,,,,,,,,,,,
2013-02-26,2102.58,,,,,,,,,,,,
2013-02-27,2112.6,,,,,,,,,,,,
2013-02-28,2138.47,,,,,,,,,,,,
2013-03-04,2129.95,,,,,,,,,,,,
2013-03-05,2140.16,,,,,,,,,,,,
2013-03-06,2143.43,,,,,,,,,,,,
2013-03-07,2135.95,,,,,,,,,,,,
2013-03-08,2154.3,,,,,,,,,,,,
2013-03-11,2160.41,,,,,,,,,,,,
2013-03-12,2168.39,,,,,,,,,,,,
2013-03-13,2172.88,,,,,,,,,,,,
2013-03-14,2186.9,,,,,,,,,,,,
2013-03-15,2196.05,,,,,,,,,,,,
2013-03-18,2177.88,,,,,,,,,,,,
