티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
032680,소프트센,630730317,632833405,2103088,1430569230329,1437046257723,6477027394
032685,소프트센우,5651241,5653683,2442,254583661750,254894653400,310991650
032750,삼진,16852542,16914541,61999,164680356630,164992570010,312213380
032790,엠젠솔루션,7037599,6972814,-64785,6067163109,6169541400,102378291
032800,판타지오,654498750,653262567,-1236183,601168397172,600451753820,-716643352
032820,우리기술,1328159017,1335535536,7376519,1706044908101,1714815158209,8770250108
032850,비트컴퓨터,748317310,748554602,237292,8258896231070,8265474950015,6578718945
032860,글로스퍼랩스,891567241,893164335,1597094,556714491523,558113777307,1399285784
032940,원익,26902715,26538359,-364356,98733079470,96281380055,-2451699415
032960,동일기연,6744548,6721845,-22703,74954202830,74701117040,-253085790
032980,바이온,273785063,275456602,1671539,417111092807,420155631350,3044538543
033050,제이엠아이,284190924,284506619,315695,531560090645,532913445688,1353355043
033100,제룡전기,45142601,45187454,44853,249036258615,249542032520,505773905
033110,코너스톤네트웍스,137252091,160230204,22978113,67184823050,75727357107,8542534057
033130,디지틀조선,471986768,472921446,934678,1309936745170,1312833178070,2896432900
033160,엠케이전자,90991182,91595268,604086,865678582940,871392856650,5714273710
033170,시그네틱스,277259961,280775375,3515414,230432666887,233855320340,3422653453
033200,모아텍,31986716,32117232,130516,371001465275,371865917510,864452235
033230,인성정보,252722640,254280228,1557588,1074653709880,1081958995290,7305285410
033290,코웰패션,76550836,75638620,-912216,445657745325,440710880590,-4946864735
033310,엠투엔,129174033,130709609,1535576,869298222880,880235830435,10937607555
033320,제이씨현시스템,460000650,459610896,-389754,3306018032810,3304060600925,-1957431885
033340,좋은사람들,528141116,528114291,-26825,1207409539070,1208031823670,622284600
033430,디에스티,135622031,142287949,6665918,61830532157,64484820230,2654288073
033500,동성화인텍,109112818,111762417,2649599,1118544185925,1143374918050,24830732125
033540,파라텍,98879354,100588492,1709138,729749480635,746051832085,16302351450
033560,블루콤,39837938,40239074,401136,230932865195,232677473700,1744608505
033600,럭슬,152460471,151858885,-601586,49469074441,49699403000,230328559
033640,네패스,237885781,236269231,-1616550,7480408407650,7412963941900,-67444465750
033790,스카이문스테크놀로지,108262937,109266186,1003249,139741985810,140857898957,1115913147
033830,티비씨,544887776,543804696,-1083080,565241765953,564659214188,-582551765
034230,파라다이스,184314270,188217188,3902918,2751575423800,2798957687250,47382263450
034810,해성산업,16427482,16997314,569832,189869847000,196118398280,6248551280
03481K,해성산업1우,152348,155958,3610,1287751125,1318589750,30838625
034940,조아제약,808709577,811649081,2939504,4348541354255,4368660980500,20119626245
034950,한국기업평가,1798216,1923184,124968,148293080600,158272912300,9979831700
035080,인터파크,147456878,152414533,4957655,327408510442,338123861525,10715351083
035200,프럼파스트,133224838,132948269,-276569,631015224580,631062208175,46983595
035290,골드앤에스,18180043,17941419,-238624,14228817695,14129211482,-99606213
035460,기산텔레콤,91181595,91200327,18732,265534219720,265892367530,358147810
035600,KG이니시스,80383277,82390776,2007499,1748655612300,1792994867450,44339255150
035610,솔본,193599969,193431937,-168032,1069755922110,1070190314675,434392565
035620,바른손이앤에이,1461452610,1463795952,2343342,3704801371850,3711576025995,6774654145
035760,CJ ENM,21307695,22653670,1345975,2776032841300,2950808901500,174776060200
035810,이지홀딩스,504794224,507561852,2767628,2945166190970,2965288177980,20121987010
035890,서희건설,326972744,310803642,-16169102,366873525871,348602925893,-18270599978
035900,JYP Ent.,164354240,162606420,-1747820,4891210423900,4820128851700,-71081572200
036000,예림당,87476201,88402671,926470,252116063595,255198819580,3082755985
036010,아비코전자,66148986,65992159,-156827,421594453025,418241717125,-3352735900
036030,KTH,95486323,95483515,-2808,631078246805,631514877180,436630375
036090,위지트,1370893951,1377167950,6273999,1803000199313,1810819711673,7819512360
036120,SCI평가정보,697925472,698184493,259021,3601268919655,3607587226510,6318306855
036170,라이브파이낸셜,448557442,450842370,2284928,761110482075,765943028144,4832546069
036180,에이프런티어,29596868,28711321,-885547,124336025695,122028389730,-2307635965
036190,금화피에스시,963080,1010976,47896,25917073650,26915568750,998495100
036200,유니셈,197416687,196994610,-422077,1334727192325,1331371405025,-3355787300
036220,오상헬스케어,266954,267300,346,2921784555,2922714790,930235
036480,대성미생물,30383448,30388577,5129,505043384180,505607968680,564584500
036490,SK머티리얼즈,7809428,7685140,-124288,1645267123200,1599586385000,-45680738200
036540,SFA반도체,1053608345,1062249310,8640965,5709802278685,5761999376595,52197097910
036560,영풍정밀,30994621,33012034,2017413,253006968475,268225999245,15219030770
036620,버추얼텍,89050708,90083936,1033228,73784334748,74838701850,1054367102
036630,세종텔레콤,1897754045,1879682827,-18071218,761092929880,753856688233,-7236241647
036640,HRS,147806948,146933089,-873859,481859225215,480684859140,-1174366075
036670,KCI,18200349,18559554,359205,184401177100,188050715110,3649538010
036690,코맥스,118704817,118847712,142895,632449085930,633260108270,811022340
036710,심텍홀딩스,124996707,127501720,2505013,293797622314,299063031456,5265409142
036800,나이스정보통신,7547056,8596585,1049529,204413315550,232031354350,27618038800
036810,에프에스티,178854512,179712130,857618,3284606596070,3302319029540,17712433470
036830,솔브레인홀딩스,41197127,43226440,2029313,3022983702250,3139386078700,116402376450
036890,진성티이씨,136038871,136132703,93832,1314284354090,1310698591945,-3585762145
036930,주성엔지니어링,270619475,273709880,3090405,1983304967170,2000278604735,16973637565
037030,파워넷,398319798,400947071,2627273,2145025234205,2160534435985,15509201780
037070,파세코,126733624,127262431,528807,1773501098085,1779395586945,5894488860
037230,한국팩키지,1043256060,1043280241,24181,4875650903355,4878009839385,2358936030
037330,인지디스플레,484735597,485913439,1177842,1458094735087,1461644423263,3549688176
037350,성도이엔지,59058593,59938295,879702,233744562705,237444320335,3699757630
037370,EG,23330195,23367482,37287,205645405635,206213524975,568119340
037400,우리조명,132230364,131819944,-410420,218006328894,217553088170,-453240724
037440,희림,7320051,7239772,-80279,28188000550,28004380780,-183619770
037460,삼지전자,60069017,59821239,-247778,665356199210,663946397350,-1409801860
037760,쎄니트,60136276,58168929,-1967347,112803591223,109570939171,-3232652052
037950,엘컴텍,1705694007,1708952918,3258911,3590449544860,3600324358980,9874814120
038010,제일테크노스,191713230,191795653,82423,1282791633435,1284059002155,1267368720
038060,루멘스,127712566,131317356,3604790,295951418310,302948063290,6996644980
038070,서린바이오,240792187,240818177,25990,3117498186210,3120450535980,2952349770
038110,에코플라스틱,121282674,121113858,-168816,206416693012,206560111527,143418515
038160,팍스넷,37460663,36863278,-597385,129550806105,128200468450,-1350337655
038290,마크로젠,150770838,151272601,501763,5398764546400,5414697720200,15933173800
038340,UCI,121318066,127624707,6306641,323455359845,339845792595,16390432750
038390,레드캡투어,15253920,15287192,33272,273629224540,275038112770,1408888230
038460,바이오스마트,191017865,190153642,-864223,1794901461590,1793572165925,-1329295665
038500,삼표시멘트,263377533,264175001,797468,990484262835,992640080690,2155817855
038530,골드퍼시픽,648183799,668269967,20086168,1160804796426,1198543904607,37739108181
038540,상상인,94411860,96012424,1600564,678962252380,693362850040,14400597660
038620,위즈코프,369075868,369502308,426440,460884367834,462085351794,1200983960
038680,에스넷,97533582,97442557,-91025,683926588775,684105680190,179091415
038870,에코바이오,176932300,177114622,182322,1587349866475,1590114971010,2765104535
038880,아이에이,2358538370,2392374111,33835741,1691985002745,1714643009583,22658006838
038950,파인디지털,24267575,23707157,-560418,153385947220,151789136620,-1596810600
039010,현대통신,8079831,8159841,80010,54518121205,55491339945,973218740
039020,이건홀딩스,69311637,69616667,305030,196123837895,197078228725,954390830
039030,이오테크닉스,26829238,26507576,-321662,2408073141450,2372585144750,-35487996700
039200,오스코텍,108960442,108296284,-664158,3871106108050,3839560480450,-31545627600
039230,에이아이비트,650880839,653437538,2556699,218579719998,219530356021,950636023
039240,경남스틸,34720494,34641325,-79169,61303498865,61290570740,-12928125
039290,인포뱅크,101249344,101392437,143093,896791201550,898321314900,1530113350
039310,세중,66483836,67246209,762373,177652792125,179547354125,1894562000
039340,한국경제TV,32465088,32580455,115367,166850433545,167858049245,1007615700
039420,케이엘넷,203691173,203823418,132245,543214433881,544430152156,1215718275
039440,에스티아이,72912245,74464399,1552154,1234077684560,1261109549040,27031864480
039560,다산네트웍스,249860469,255183019,5322550,2568079618510,2630501868540,62422250030
039610,화성밸브,47589586,47553265,-36321,276045550275,276490016790,444466515
039740,한국정보공학,18451372,18413836,-37536,59425908895,59331477985,-94430910
039830,오로라,45099146,46001085,901939,461785268910,471882663050,10097394140
039840,디오,17368819,17656585,287766,507085967600,516073250750,8987283150
039860,나노엔텍,457573585,457542578,-31007,5039292287770,5042399807260,3107519490
039980,리노스,182165690,182020148,-145542,250781490441,251036107745,254617304
040160,누리텔레콤,89186168,88711381,-474787,698172713690,695910514425,-2262199265
040300,YTN,70496610,70367773,-128837,164717952330,165086681225,368728895
040350,큐로컴,339865998,339188285,-677713,796671373565,797796744425,1125370860
040420,정상제이엘에스,6359053,7915486,1556433,41128193520,51111771430,9983577910
040610,SG&G,143544784,143970679,425895,236953308183,237560520681,607212498
040910,아이씨디,105301502,108854531,3553029,1665700075860,1720833250080,55133174220
041020,인프라웨어,300699836,302971158,2271322,693271835028,696529781779,3257946751
041140,넥슨지티,339422035,339487902,65867,4237202960515,4235857926075,-1345034440
041190,우리기술투자,2149115822,2147796025,-1319797,8875961176590,8878197909955,2236733365
041440,에버다임,26438221,26593589,155368,116362047560,117078332975,716285415
041460,한국전자인증,349074016,348541521,-532495,2377468408640,2377547606715,79198075
041510,에스엠,77704648,82887520,5182872,2374771791100,2519526945500,144755154400
041520,이라이콤,42410269,43178392,768123,363076878575,367727240010,4650361435
041590,젬백스지오,185356068,185834144,478076,182243774078,183634672748,1390898670
041830,인바디,17024638,18599234,1574596,302205776900,329944492300,27738715400
041910,에스텍파마,136354309,136096827,-257482,1687906329230,1686520373860,-1385955370
041920,메디아나,113225843,113410936,185093,1836269133180,1841091299610,4822166430
041930,동아화성,280913262,281492049,578787,2345501548000,2353716513080,8214965080
041960,코미팜,316855448,317020197,164749,6266666804750,6272574140100,5907335350
042000,카페24,60310367,60681601,371234,3374068910800,3392659794400,18590883600
042040,케이피엠테크,4272077510,4281272649,9195139,12505426374291,12527637745029,22211370738
042110,에스씨디,544702892,544473169,-229723,928550964771,928046989658,-503975113
042370,비츠로테크,133080841,132936772,-144069,1159910032365,1158223952565,-1686079800
042420,네오위즈홀딩스,9803645,9181587,-622058,154109433750,145237214080,-8872219670
042500,링네트,559539844,561061863,1522019,3859878943530,3868383974355,8505030825
042510,라온시큐어,702642582,704627572,1984990,2738678282245,2747701470045,9023187800
042520,한스바이오메드,63323652,65332344,2008692,1187793815600,1223753936400,35960120800
042600,새로닉스,127371597,128065426,693829,979676021335,984761739735,5085718400
042940,상지카일룸,332828090,343863774,11035684,540017273955,558490724995,18473451040
043090,큐브앤컴퍼니,119056040,119705905,649865,274281604270,276565768435,2284164165
043100,솔고바이오,63735075,63641887,-93188,10725628478,10759999548,34371070
043150,바텍,22282491,23811267,1528776,532317778100,566380891400,34063113300
043200,파루,1203316039,1206138332,2822293,3804581494065,3819146457110,14564963045
043220,에이치엘비파워,721493933,723457967,1964034,995122111497,999844258012,4722146515
043260,성호전자,462107815,470901826,8794011,671943589460,684987689260,13044099800
043290,케이맥,140324807,145272795,4947988,266873117955,275859591310,8986473355
043340,에쎈테크,266712475,266762668,50193,348194789213,348610268579,415479366
043360,디지아이,11051856,11144817,92961,25744577510,25961915130,217337620
043370,평화정공,32486268,33808166,1321898,257680779975,267334718615,9653938640
043590,웰킵스하이텍,23689542,23704850,15308,24916634143,25004634052,87999909
043610,지니뮤직,301204735,302578386,1373651,1177180176465,1181875602400,4695425935
043650,국순당,11341244,10111124,-1230120,47895917850,43421862520,-4474055330
043710,서울리거,125746734,126823310,1076576,169469462188,171176664787,1707202599
