날짜,시가,고가,저가,종가,거래량
2016-08-03,19970.78593486064,20216.236935177363,19658.393752639357,19814.58984375,77842.0
2016-08-04,19903.846644810266,20193.925127301896,19859.2191859654,19993.1015625,41096.0
2016-08-05,19993.097352941175,19993.097352941175,18520.391521139707,18966.666015625,164546.0
2016-08-08,18832.782869773768,19524.508306933705,18609.645631980242,19479.880859375,117246.0
2016-08-09,19680.70889611095,19792.277540646726,19212.12058906069,19256.748046875,73762.0
2016-08-10,19212.12172737249,20082.357206312707,19212.12172737249,20015.416015625,102166.0
2016-08-11,19993.099539700805,20060.04072119534,19279.060270425776,19390.62890625,121832.0
2016-08-12,19279.05999713959,19725.334534110414,19279.05999713959,19502.197265625,64118.0
2016-08-16,19412.941366208714,20126.980588873863,19412.941366208714,19591.451171875,64822.0
2016-08-17,19970.783050115206,19970.783050115206,19323.685051843317,19368.3125,66164.0
2016-08-18,19368.31449854651,19636.07921511628,19189.8046875,19189.8046875,56898.0
2016-08-19,19145.175103113852,19390.626065974287,18743.5280729786,18765.841796875,89380.0
2016-08-22,18877.41148846681,19011.293839448845,18297.254634211327,18319.568359375,85774.0
2016-08-23,18163.372437686012,19078.23517717634,18163.372437686012,18743.529296875,86432.0
2016-08-24,18922.03786414982,19078.233931424646,18743.5280729786,18765.841796875,56384.0
2016-08-25,18832.78376588983,19011.293564618645,18364.195544226695,18431.13671875,43960.0
2016-08-26,18252.626920021186,18855.097490730932,18252.626920021186,18431.13671875,45074.0
2016-08-29,18364.19681140988,18765.843886264534,18141.059547601744,18230.314453125,46524.0
2016-08-30,17984.863462936046,18431.137990552324,17984.863462936046,18230.314453125,42496.0
2016-08-31,18118.746242465102,18297.2560576618,17427.020708577886,17583.216796875,125330.0
2016-09-01,17605.531193636292,17984.864565362295,17471.648827144763,17784.041015625,97802.0
2016-09-02,17873.29411764706,19970.78431372549,17873.29411764706,19346.0,276816.0
2016-09-05,19546.822681633574,19569.136406155987,18453.45018003535,18542.705078125,146368.0
2016-09-06,18565.02240420272,18944.355794673207,18029.492911773796,18051.806640625,155622.0
2016-09-07,18185.68714040826,18297.255773171502,17650.157703144705,17694.78515625,147378.0
2016-09-08,17717.098425587672,18096.431767193455,17493.961165819568,17560.90234375,113560.0
2016-09-09,17784.039519769613,17917.921875,17449.333631693647,17917.921875,76804.0
2016-09-12,17516.27628264194,18007.178293110886,17516.27628264194,17784.041015625,53034.0
