date,US_M1
2003-12-01,1306.2
2004-01-01,1306.0
2004-02-01,1321.4
2004-03-01,1328.7
2004-04-01,1332.8
2004-05-01,1333.3
2004-06-01,1342.7
2004-07-01,1340.8
2004-08-01,1354.3
2004-09-01,1362.5
2004-10-01,1362.3
2004-11-01,1374.2
2004-12-01,1376.0
2005-01-01,1367.1
2005-02-01,1371.1
2005-03-01,1370.9
2005-04-01,1358.4
2005-05-01,1366.0
2005-06-01,1380.1
2005-07-01,1369.0
2005-08-01,1377.8
2005-09-01,1378.6
2005-10-01,1376.5
2005-11-01,1376.1
2005-12-01,1374.3
2006-01-01,1379.5
2006-02-01,1378.4
2006-03-01,1383.2
2006-04-01,1381.4
2006-05-01,1387.2
2006-06-01,1375.4
2006-07-01,1372.4
2006-08-01,1372.4
2006-09-01,1364.4
2006-10-01,1370.3
2006-11-01,1370.8
2006-12-01,1366.6
2007-01-01,1371.7
2007-02-01,1363.0
2007-03-01,1366.5
2007-04-01,1378.0
2007-05-01,1380.9
2007-06-01,1368.2
2007-07-01,1371.8
2007-08-01,1376.3
2007-09-01,1375.7
2007-10-01,1379.4
2007-11-01,1371.8
2007-12-01,1373.4
2008-01-01,1377.7
2008-02-01,1380.4
2008-03-01,1388.7
2008-04-01,1391.4
2008-05-01,1393.4
2008-06-01,1404.6
2008-07-01,1421.1
2008-08-01,1407.4
2008-09-01,1462.0
2008-10-01,1473.8
2008-11-01,1514.6
2008-12-01,1601.7
2009-01-01,1582.8
2009-02-01,1567.2
2009-03-01,1578.9
2009-04-01,1611.6
2009-05-01,1617.5
2009-06-01,1658.8
2009-07-01,1662.5
2009-08-01,1660.0
2009-09-01,1664.9
2009-10-01,1677.7
2009-11-01,1683.0
2009-12-01,1692.8
2010-01-01,1674.7
2010-02-01,1699.8
2010-03-01,1711.9
2010-04-01,1699.0
2010-05-01,1710.1
2010-06-01,1731.6
2010-07-01,1724.0
2010-08-01,1748.7
2010-09-01,1766.2
2010-10-01,1780.4
2010-11-01,1828.4
2010-12-01,1836.7
2011-01-01,1846.3
2011-02-01,1870.1
2011-03-01,1896.5
2011-04-01,1897.0
2011-05-01,1941.6
2011-06-01,1963.4
2011-07-01,1996.0
2011-08-01,2115.4
2011-09-01,2120.0
2011-10-01,2128.5
2011-11-01,2182.0
2011-12-01,2165.7
2012-01-01,2201.8
2012-02-01,2207.1
2012-03-01,2227.8
2012-04-01,2237.3
2012-05-01,2256.2
2012-06-01,2275.3
2012-07-01,2315.0
2012-08-01,2354.1
2012-09-01,2386.6
2012-10-01,2420.1
2012-11-01,2441.2
2012-12-01,2460.7
2013-01-01,2476.7
2013-02-01,2468.9
2013-03-01,2476.3
2013-04-01,2504.9
2013-05-01,2523.5
2013-06-01,2521.0
2013-07-01,2542.3
2013-08-01,2551.3
2013-09-01,2585.5
2013-10-01,2631.2
2013-11-01,2638.8
2013-12-01,2674.2
2014-01-01,2714.1
2014-02-01,2730.2
2014-03-01,2749.3
2014-04-01,2774.2
2014-05-01,2785.3
2014-06-01,2817.2
2014-07-01,2837.3
2014-08-01,2787.0
2014-09-01,2861.2
2014-10-01,2880.4
2014-11-01,2888.2
2014-12-01,2955.8
2015-01-01,2955.6
2015-02-01,3025.2
2015-03-01,3001.2
2015-04-01,3002.7
2015-05-01,2978.3
2015-06-01,3014.8
2015-07-01,3035.1
2015-08-01,3014.3
2015-09-01,3038.0
2015-10-01,3017.9
2015-11-01,3074.6
2015-12-01,3106.3
2016-01-01,3107.2
2016-02-01,3142.5
2016-03-01,3157.8
2016-04-01,3200.1
2016-05-01,3236.8
2016-06-01,3242.5
2016-07-01,3242.1
2016-08-01,3310.8
2016-09-01,3319.6
2016-10-01,3332.0
2016-11-01,3347.1
2016-12-01,3345.4
2017-01-01,3399.1
2017-02-01,3409.9
2017-03-01,3455.8
2017-04-01,3454.5
2017-05-01,3517.8
2017-06-01,3525.5
2017-07-01,3546.3
2017-08-01,3581.8
2017-09-01,3563.6
2017-10-01,3603.9
2017-11-01,3622.0
2017-12-01,3612.6
2018-01-01,3659.1
2018-02-01,3621.3
2018-03-01,3667.4
2018-04-01,3664.0
2018-05-01,3655.7
2018-06-01,3655.9
2018-07-01,3679.5
2018-08-01,3686.3
2018-09-01,3694.8
2018-10-01,3722.9
2018-11-01,3697.3
2018-12-01,3761.0
2019-01-01,3754.1
2019-02-01,3762.3
2019-03-01,3738.4
2019-04-01,3789.9
2019-05-01,3789.2
2019-06-01,3832.1
2019-07-01,3862.5
2019-08-01,3847.1
2019-09-01,3894.0
2019-10-01,3926.3
2019-11-01,3942.6
2019-12-01,4003.6
2020-01-01,3989.3
2020-02-01,4001.1
2020-03-01,4266.0
2020-04-01,4804.3
2020-05-01,16231.5
2020-06-01,16554.5
2020-07-01,16761.7
2020-08-01,16879.5
2020-09-01,17159.2
2020-10-01,17360.5
2020-11-01,17618.5
2020-12-01,17827.9
2021-01-01,18088.5
2021-02-01,18349.1
2021-03-01,18607.9
2021-04-01,18969.5
2021-05-01,19258.0
2021-06-01,19318.7
2021-07-01,19488.5
2021-08-01,19686.9
2021-09-01,19867.8
2021-10-01,20046.4
2021-11-01,20234.8
2021-12-01,20398.8
2022-01-01,20520.9
2022-02-01,20641.0
2022-03-01,20684.5
2022-04-01,20727.2
2022-05-01,20669.6
2022-06-01,20593.2
2022-07-01,20531.7
2022-08-01,20435.1
2022-09-01,20281.3
2022-10-01,20092.2
2022-11-01,19923.0
2022-12-01,19671.3
2023-01-01,19527.6
2023-02-01,19384.7
2023-03-01,18925.0
2023-04-01,18615.1
2023-05-01,18549.1
2023-06-01,18435.0
2023-07-01,18342.0
2023-08-01,18226.1
2023-09-01,18124.8
2023-10-01,18022.7
2023-11-01,17957.6
2023-12-01,17915.0
2024-01-01,17943.6
2024-02-01,17984.3
2024-03-01,17980.6
2024-04-01,17970.3
2024-05-01,17995.1
2024-06-01,18026.6
2024-07-01,18023.1
2024-08-01,18077.5
2024-09-01,18142.6
2024-10-01,18199.8
2024-11-01,18311.5
2024-12-01,18341.3
2025-01-01,18422.7
2025-02-01,18481.7
2025-03-01,18504.8
2025-04-01,18618.9
2025-05-01,18649.8
2025-06-01,18745.5
2025-07-01,18798.7
2025-08-01,18836.2
2025-09-01,18912.3
2025-10-01,19004.0
2025-11-01,19025.4
2025-12-01,19111.8
