date,Close,Volume
2019-12-06,3115,99520
2019-12-09,3135,26369
2019-12-10,3140,28663
2019-12-11,3110,21333
2019-12-12,3125,27236
2019-12-13,3195,54193
2019-12-16,3280,54810
2019-12-17,3340,83452
2019-12-18,3445,153518
2019-12-19,3385,80457
2019-12-20,3370,58138
2019-12-23,3400,112986
2019-12-24,3300,111487
2019-12-26,3350,213993
2019-12-27,3430,46675
2019-12-30,3500,49198
2020-01-02,3445,52439
2020-01-03,3580,177704
2020-01-06,3505,73667
2020-01-07,3665,267070
2020-01-08,3445,168164
2020-01-09,3530,48286
2020-01-10,3520,52659
2020-01-13,3545,40666
2020-01-14,3550,93164
2020-01-15,3530,53268
2020-01-16,3555,43900
2020-01-17,3560,47102
2020-01-20,3555,71177
2020-01-21,3500,62458
2020-01-22,3535,55818
2020-01-23,3510,93827
2020-01-28,3300,150576
2020-01-29,3365,44796
2020-01-30,3240,77098
2020-01-31,3205,79455
2020-02-03,3215,59237
2020-02-04,3430,110578
2020-02-05,3540,255054
2020-02-06,3560,34742
2020-02-07,3500,61202
2020-02-10,3490,35733
2020-02-11,3550,53189
2020-02-12,3585,53017
2020-02-13,3585,123683
2020-02-14,3600,35785
2020-02-17,3560,60763
2020-02-18,3450,66215
2020-02-19,3485,26381
2020-02-20,3480,66154
2020-02-21,3385,51072
2020-02-24,3170,200132
2020-02-25,3320,78536
2020-02-26,3320,85180
2020-02-27,3190,79435
2020-02-28,3040,219684
2020-03-02,3040,73899
2020-03-03,3080,58147
2020-03-04,3140,63067
2020-03-05,3315,286376
2020-03-06,3200,61998
2020-03-09,3060,136082
2020-03-10,3065,51938
2020-03-11,2955,126561
2020-03-12,2695,189516
2020-03-13,2480,306302
2020-03-16,2300,102198
2020-03-17,2270,178742
2020-03-18,2175,154074
2020-03-19,1675,620587
2020-03-20,1880,328747
2020-03-23,1750,196571
2020-03-24,1925,155193
2020-03-25,2015,204776
2020-03-26,2145,262303
2020-03-27,2230,110842
2020-03-30,2210,147128
2020-03-31,2220,101211
2020-04-01,2165,88852
2020-04-02,2165,92496
2020-04-03,2230,66894
2020-04-06,2375,142823
2020-04-07,2440,113828
2020-04-08,2520,170594
2020-04-09,2545,94019
2020-04-10,2540,76190
2020-04-13,2520,51550
2020-04-14,2575,140542
2020-04-16,2580,39766
2020-04-17,2695,163737
2020-04-20,2685,128326
2020-04-21,2600,111450
2020-04-22,2650,53112
2020-04-23,2700,463510
2020-04-24,2680,64295
2020-04-27,2690,88994
2020-04-28,2700,58742
2020-04-29,2755,57518
