date,title,sentiment,query
"Fri, 22 May 2026","파업 리스크 벗었다… 삼성전자, 고공행진하나",0.0,삼성전자 주가
"Fri, 22 May 2026",극적 타결에 코스피 8.4%↑…역대 최대 상승폭,1.0,삼성전자 주가
"Fri, 22 May 2026","[바이블시론] 주식 열풍 시대, 칼뱅에게 묻다",0.0,삼성전자 주가
"Fri, 22 May 2026",“코스피 1만도 아니고 무려 1만1000!”…노무라의 역대급 전망 나왔다,0.0,삼성전자 주가
"Fri, 22 May 2026",반도체 호조에…5월 소비심리 석달 만에 반등,1.0,코스피 전망
"Fri, 22 May 2026",ETF 500조 시대 목전…국내주식형 ETF 비중 46% 돌파,0.0,코스피 전망
"Fri, 22 May 2026","5월 소비자 심리, 한달만에 ‘낙관’ 전환… 코스피 급등·반도체 호조...",0.0,코스피 전망
"Fri, 22 May 2026","&quot;폭등은 됐고, 우상향 흉내라도 내라&quot;…FOMO조차 사치라는 네카오 개미...",0.0,코스피 전망
"Fri, 22 May 2026","하나금융, 업비트 운영사 두나무에 ‘1조 베팅’…글로벌 디지털 금융 ...",0.0,코스피 전망
"Fri, 22 May 2026","코스피, 조정 끝?…증권가 &quot;만스피도 현실적&quot;",0.0,코스피 전망
"Fri, 22 May 2026",'112조 블랙홀' 스페이스X IPO 수혜주 '들썩'…이벤트 후 '급락장' 주의...,-1.0,코스피 전망
"Fri, 22 May 2026","반도체 호조에 증시 활황까지…소비자심리지수, 3개월 만에 ‘반등’",1.0,코스피 전망
"Fri, 22 May 2026",IMA·발행어음 5兆 끌어 모았지만… '수익 낼 수 있나' 의구심,0.0,코스피 전망
"Fri, 22 May 2026","은행권, 이탈 고객 막아라… 예금금리 줄줄이 올려",0.0,코스피 전망
"Fri, 22 May 2026",'반도체ㆍ코스피 고공행진' 5월 소비심리 반등⋯집값상승 기대 확산,1.0,코스피 전망
"Fri, 22 May 2026",반도체 호조에 5월 소비심리 석달 만에 반등…11개월내 최대폭↑,1.0,코스피 전망
"Fri, 22 May 2026","삼전의 날… 코스피 단숨에 7800, ‘30만 전자’ 터치",0.0,코스피 전망
"Fri, 22 May 2026","반도체 파업 유보에, 코스피 8% 치솟아 7800 회복",0.0,코스피 전망
"Fri, 22 May 2026","역대 최대폭 뛴 코스피, 단숨에 7800 탈환",0.0,코스피 전망
"Fri, 22 May 2026","노사 손잡자, 사라진 노심초사… '30만전자' 코앞까지 갔다",0.0,코스피 전망
"Fri, 22 May 2026",美 금리 인상론 재점화…환율 1500원 압박에 코스피 숨고르기,0.0,코스피 전망
"Fri, 22 May 2026",엔화 반등 국면 전환… 지금 일본 주식 안 사면 후회할 '3가지 이유',1.0,코스피 전망
"Fri, 22 May 2026",“코스피 1만1000까지 간다”… 59전자·400만닉스 전망도,0.0,코스피 전망
"Fri, 22 May 2026",“코스피 1만도 아니고 무려 1만1000!”…노무라의 역대급 전망 나왔다,0.0,코스피 전망
"Fri, 22 May 2026","&quot;AI만으론 부족했다&quot;…뉴욕증시, 금리·유가에 밀려 하락",-1.0,코스피 전망
"Fri, 22 May 2026","“팔자” 외국인, 지분율 더 올랐다…삼전닉스가 부른 기현상",0.0,코스피 전망
"Fri, 22 May 2026","환율 하락, 오늘(22일) 증시에는 '외국인 수급'과 '수출주 변동성' 사이...",-1.0,코스피 전망
"Fri, 22 May 2026",오늘(22일) 증시 주요 관전 포인트,0.0,코스피 전망
"Fri, 22 May 2026",삼성전자 '셧다운' 공포 걷어내자 증시 환호···8000피 돌파하나,0.0,코스피 전망
"Fri, 22 May 2026",[김대호 진단] 금리인하 &quot;아니되옵니다&quot; 뉴욕증시 베어스티프닝의 저주,0.0,코스피 전망
"Thu, 21 May 2026",지난해 퇴직연금 수익률 6.47% 역대 최고...실적배당형으로 '머니무브',0.0,코스피 전망
"Thu, 21 May 2026",[시사천국] 코스피 8천시대…포모가 시장을 움직인다?,0.0,코스피 전망
"Thu, 21 May 2026",NH투자증권 'THE C FORUM' 개최…국내 대표 C레벨 IR 플랫폼 부상,0.0,코스피 전망
"Thu, 21 May 2026","[심층분석] 삼성바이오로직스, 노사 갈등 장기화 조짐… 시총 순위·목표...",0.0,코스피 전망
"Fri, 22 May 2026",반도체 호조에…5월 소비심리 석달 만에 반등,1.0,반도체 수출
"Fri, 22 May 2026",5월 중순 수출 '역대 최대'…64.8% 증가,0.0,반도체 수출
"Fri, 22 May 2026",반도체·증시 훈풍에 소비심리 반등…5월 CCSI 상승 전환,1.0,반도체 수출
"Fri, 22 May 2026",‘1인당 6억’ 삼전 파격 합의에 “상대적 박탈감” 한숨도,0.0,반도체 수출
"Fri, 22 May 2026",반도체 호조·종전 기대감에 소비심리 개선되고 인플레 우려 진정,0.0,반도체 수출
"Fri, 22 May 2026","'있어야 할 약'이 사라진다…필수의약품, 채산성 벽에 줄줄이 퇴장",0.0,반도체 수출
"Fri, 22 May 2026",이진숙 “내가 싸움꾼? 대구 발전 위해선 투쟁도 타협도 모두 '준비 완료...,0.0,반도체 수출
"Fri, 22 May 2026",[데스크 시각] 삼성 성과급 ‘배식’의 교훈,0.0,반도체 수출
"Fri, 22 May 2026",반도체 호황·증시 활황…소비심리 한 달 만 '낙관' 전환,0.0,반도체 수출
"Fri, 22 May 2026",증시·수출 호조에 소비심리 반등…5월 CCSI 106.1,1.0,반도체 수출
"Fri, 22 May 2026",수출 호조·증시 활황에 소비심리 개선,0.0,반도체 수출
"Fri, 22 May 2026",반도체·증시 훈풍에 소비심리 반등…한 달 만에 다시 '낙관',1.0,반도체 수출
"Fri, 22 May 2026",반도체·증시 덕에 소비심리도 회복,0.0,반도체 수출
"Fri, 22 May 2026","5월 소비자 심리, 한달만에 ‘낙관’ 전환… 코스피 급등·반도체 호조...",0.0,반도체 수출
"Fri, 22 May 2026",[박승찬 칼럼] '동상이몽'의 미중정상회담…숨은 함의는?,0.0,반도체 수출
"Fri, 22 May 2026",&quot;삼전닉스에 경기 전망에도 온기&quot;···소비자심리지수 반등,1.0,반도체 수출
"Fri, 22 May 2026",반도체·증시로 5월 소비심리 개선⋯3개월 만에 상승 전환,1.0,반도체 수출
"Fri, 22 May 2026",ASCO·기술수출·정책 훈풍…바닥찍은 K-바이오 반등 시동,1.0,반도체 수출
"Fri, 22 May 2026",반도체 특수에 경기 심리 호전…집값은 ‘오른다’ 전망 크게 늘어,0.0,반도체 수출
"Fri, 22 May 2026",양도세 중과 재개에 매물 ‘뚝’...집값전망지수 올 1월 이후 최고 [Pick...,0.0,반도체 수출
"Fri, 22 May 2026","&quot;반도체·증시 활황 덕분&quot;…소비자심리, 한달 만에 반등",1.0,반도체 수출
"Fri, 22 May 2026","﻿﻿[AI로 읽는 경제] ⑤ 한국 제조업의 생존전략…법은 갖춰졌는데, 왜...",0.0,반도체 수출
"Fri, 22 May 2026","5월 소비자심리지수, 반도체·증시 호조에 106.1로 반등…6.9p 상승",1.0,반도체 수출
"Fri, 22 May 2026",'반도체ㆍ코스피 고공행진' 5월 소비심리 반등⋯집값상승 기대 확산,1.0,반도체 수출
"Fri, 22 May 2026",반도체 호조에 5월 소비심리 반등…집값 상승 기대 다시 '쑥',1.0,반도체 수출
"Fri, 22 May 2026",5월 소비자심리 6.9p 상승...수출 호조·증시 활황에 온기,1.0,반도체 수출
"Fri, 22 May 2026","반도체 호조에 증시 활황까지…소비자심리지수, 3개월 만에 ‘반등’",1.0,반도체 수출
"Fri, 22 May 2026",반도체 호조에 5월 소비심리 석달 만에 반등…11개월내 최대폭↑,1.0,반도체 수출
"Fri, 22 May 2026",한국은행 &quot;수출 호조와 증시 활황에 소비자심리 개선&quot;,0.0,반도체 수출
"Fri, 22 May 2026",소비심리 3개월 만에 반등…증시·수출 훈풍에 다시 100선 회복,1.0,반도체 수출
