티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금,기준일,데이터소스,비고
007590,동방아그로,332532,338704,6172,1967860130,2005514985,37654855,,,
007610,선도전기,35714037,35864476,150439,98668259705,99206349595,538089890,,,
007660,이수페타시스,6798336,9147454,2349118,766697881500,1011778370000,245080488500,,,
007690,국도화학,143464,104204,-39260,5514132175,3976830875,-1537301300,,,
007700,F&F홀딩스,164170,146031,-18139,3475760970,3095482660,-380278310,,,
007810,코리아써키트,5035693,5709566,673873,290672600350,329946449150,39273848800,,,
007815,코리아써우,119507,141635,22128,1969854935,2359990085,390135150,,,
00781K,코리아써키트2우B,53570,53505,-65,731869830,731003650,-866180,,,
007860,서연,1796853,1717684,-79169,19527554365,18676911655,-850642710,,,
007980,TP,5966215,6476358,510143,11962451376,13047013174,1084561798,,,
008040,사조동아원,9824615,8647514,-1177101,10829338425,9548107544,-1281230881,,,
008060,대덕,649699,475601,-174098,7302761010,5379141600,-1923619410,,,
00806K,대덕1우,123927,116623,-7304,1136572905,1070729290,-65843615,,,
008110,대동전자,4356125,4227710,-128415,18188283725,17430968005,-757315720,,,
008250,이건산업,1137177,1392660,255483,5280982073,6484334645,1203352572,,,
008260,NI스틸,1747974,1630948,-117026,6280689294,5861264262,-419425032,,,
008350,남선알미늄,35987751,34863477,-1124274,46625820833,45167165807,-1458655026,,,
008355,남선알미우,69671,69687,16,1033937160,1034220800,283640,,,
008420,문배철강,786965,831552,44587,1654087609,1748307095,94219486,,,
008490,서흥,303260,339417,36157,6967493950,7790776625,823282675,,,
008500,일정실업,758121,680228,-77893,2359820593,2117717422,-242103171,,,
008560,메리츠증권,375137235,404166463,29029228,1265585181645,1352320255775,86735074130,,,
008600,윌비스,20529822,20223078,-306744,7052852999,6964327321,-88525678,,,
008700,아남전자,4957460,5070374,112914,6571674146,6709960872,138286726,,,
008730,율촌화학,538471,535978,-2493,14939511925,14758212700,-181299225,,,
008770,호텔신라,4668662,4197723,-470939,233768655425,208204874250,-25563781175,,,
008775,호텔신라우,42274,41830,-444,1530358800,1513924425,-16434375,,,
008870,금비,16395,16476,81,805532425,810285100,4752675,,,
008930,한미사이언스,5618326,5010592,-607734,276932393300,246199697375,-30732695925,,,
008970,KBI동양철관,15163162,14854285,-308877,27777113956,27182000901,-595113055,,,
009070,KCTC,36119540,36486292,366752,269633623265,272573222435,2939599170,,,
009140,경인전자,73600,69382,-4218,1547832600,1459598030,-88234570,,,
009155,삼성전기우,462676,392472,-70204,65534297650,56087267900,-9447029750,,,
009160,SIMPAC,1076747,958028,-118719,5526379270,4910322464,-616056806,,,
009180,한솔로지스틱스,1536226,1508042,-28184,4480284651,4405153984,-75130667,,,
009190,대양금속,4955583,5305994,350411,6542362475,7003385364,461022889,,,
009200,무림페이퍼,2666714,2561461,-105253,5443838160,5224977143,-218861017,,,
