date,close,volume,inst_net_buy,foreign_net_buy,foreign_net_buy_norm,inst_net_buy_norm,foreign_ratio_feat,short_proxy_score,source,foreign_ratio,personal_net_buy,inst_net_value,foreign_net_value
2022-03-10,66603.0,795688.0,0.0,0.0,0.0,0.1,0.063749,0.0,ohlcv_proxy,,,,
2022-03-11,67104.0,534092.0,0.0,0.0,0.0,0.1,0.058678,0.0,ohlcv_proxy,,,,
2022-03-14,68105.0,584098.0,0.0,0.0,0.0,0.2,0.055172,0.0,ohlcv_proxy,,,,
2022-03-15,64850.0,504001.0,0.0,0.0,0.0,0.2,0.046115,0.0,ohlcv_proxy,,,,
2022-03-16,65351.0,479091.0,0.0,0.0,0.0,0.2,0.042799,0.0,ohlcv_proxy,,,,
2022-03-17,64350.0,422044.0,0.0,0.0,0.0,0.2,0.033163,0.0,ohlcv_proxy,,,,
2022-03-18,64099.0,265083.0,0.0,0.0,0.0,0.2,0.023119,0.0,ohlcv_proxy,,,,
2022-03-21,62847.0,304736.0,0.0,0.0,-0.0,0.2,0.000596,0.0,ohlcv_proxy,,,,
2022-03-22,64850.0,311567.0,0.0,0.0,0.0,0.2,-0.004407,0.0,ohlcv_proxy,,,,
2022-03-23,65351.0,188578.0,0.0,0.0,0.0,0.2,-0.0101,0.0,ohlcv_proxy,,,,
2022-03-24,65351.0,199942.0,0.0,0.0,0.0,0.1,-0.010075,0.0,ohlcv_proxy,,,,
2022-03-25,67104.0,1825156.0,0.0,0.0,0.0,0.2,0.009178,0.0,ohlcv_proxy,,,,
2022-03-28,67605.0,391950.0,0.0,0.0,0.0,0.1,0.0139,0.0,ohlcv_proxy,,,,
2022-03-29,65602.0,552701.0,0.0,0.0,0.0,0.1,0.012372,0.0,ohlcv_proxy,,,,
2022-03-30,66102.0,250953.0,0.0,0.0,0.0,0.1,0.011414,0.0,ohlcv_proxy,,,,
2022-03-31,66353.0,238079.0,0.0,0.0,0.0,0.1,0.011387,0.0,ohlcv_proxy,,,,
2022-04-01,66853.0,250160.0,0.0,0.0,0.0,0.1,0.005734,0.0,ohlcv_proxy,,,,
2022-04-04,66353.0,320661.0,0.0,0.0,0.0,0.1,0.000843,0.0,ohlcv_proxy,,,,
2022-04-05,65602.0,257177.0,0.0,0.0,0.0,0.1,0.002583,0.0,ohlcv_proxy,,,,
2022-04-06,65101.0,661870.0,0.0,0.0,-0.0,0.1,-0.003807,0.0,ohlcv_proxy,,,,
2022-04-07,64600.0,615785.0,0.0,0.0,-0.0,0.1,-0.007982,0.0,ohlcv_proxy,,,,
2022-04-08,63000.0,536301.0,0.0,0.0,-0.0,0.0,-0.014888,0.0,ohlcv_proxy,,,,
2022-04-11,62000.0,229044.0,0.0,0.0,-0.0,0.0,-0.018654,0.0,ohlcv_proxy,,,,
2022-04-12,60900.0,241271.0,0.0,0.0,-0.0,0.0,-0.025,0.0,ohlcv_proxy,,,,
2022-04-13,61100.0,175510.0,0.0,0.0,-0.0,0.0,-0.035364,0.0,ohlcv_proxy,,,,
