date,close,volume,inst_net_buy,foreign_net_buy,foreign_net_buy_norm,inst_net_buy_norm,foreign_ratio_feat,short_proxy_score,source,foreign_ratio
2019-06-03,83000.0,93677.0,0.0,0.0,-0.0,-0.2,-0.040156,0.0,ohlcv_proxy,
2019-06-04,83300.0,73435.0,0.0,0.0,-0.0,-0.2,-0.057682,0.0,ohlcv_proxy,
2019-06-05,83000.0,48249.0,0.0,0.0,-0.0,-0.2,-0.058334,0.0,ohlcv_proxy,
2019-06-07,83300.0,90447.0,0.0,0.0,-0.0,-0.2,-0.041361,0.0,ohlcv_proxy,
2019-06-10,77300.0,398950.0,0.0,0.0,-0.0,-0.3,-0.056183,0.1,ohlcv_proxy,
2019-06-11,75800.0,408871.0,0.0,0.0,-0.0,-0.4,-0.064695,0.1,ohlcv_proxy,
2019-06-12,76400.0,182457.0,0.0,0.0,-0.0,-0.4,-0.065372,0.1,ohlcv_proxy,
2019-06-13,74800.0,267262.0,0.0,0.0,-0.0,-0.4,-0.06504,0.1,ohlcv_proxy,
2019-06-14,73900.0,87451.0,0.0,0.0,-0.0,-0.3,-0.069228,0.1,ohlcv_proxy,
2019-06-17,72900.0,114180.0,0.0,0.0,-0.0,-0.3,-0.074869,0.1,ohlcv_proxy,
2019-06-18,73000.0,80942.0,0.0,0.0,-0.0,-0.3,-0.078533,0.1,ohlcv_proxy,
2019-06-19,72800.0,70400.0,0.0,0.0,-0.0,-0.3,-0.084014,0.1,ohlcv_proxy,
2019-06-20,73500.0,62469.0,0.0,0.0,-0.0,-0.3,-0.086407,0.1,ohlcv_proxy,
2019-06-21,73400.0,78545.0,0.0,0.0,-0.0,-0.3,-0.079539,0.1,ohlcv_proxy,
2019-06-24,72900.0,68263.0,0.0,0.0,-0.0,-0.2,-0.073881,0.0,ohlcv_proxy,
2019-06-25,73000.0,74188.0,0.0,0.0,-0.0,-0.1,-0.068788,0.0,ohlcv_proxy,
2019-06-26,71700.0,61767.0,0.0,0.0,-0.0,-0.1,-0.057813,0.0,ohlcv_proxy,
2019-06-27,72100.0,69406.0,0.0,0.0,-0.0,0.0,-0.052343,0.0,ohlcv_proxy,
2019-06-28,73300.0,80864.0,0.0,0.0,-0.0,0.0,-0.046675,0.0,ohlcv_proxy,
2019-07-01,69800.0,124898.0,0.0,0.0,-0.0,0.0,-0.051382,0.0,ohlcv_proxy,
2019-07-02,72300.0,111358.0,0.0,0.0,-0.0,0.0,-0.047065,0.0,ohlcv_proxy,
2019-07-03,71100.0,58115.0,0.0,0.0,-0.0,0.0,-0.043941,0.0,ohlcv_proxy,
2019-07-04,69100.0,103731.0,0.0,0.0,-0.0,0.0,-0.047269,0.0,ohlcv_proxy,
2019-07-05,70400.0,146762.0,0.0,0.0,-0.0,0.0,-0.047242,0.0,ohlcv_proxy,
2019-07-08,69200.0,76180.0,0.0,0.0,-0.0,0.0,-0.038142,0.0,ohlcv_proxy,
2019-07-09,67000.0,137001.0,0.0,0.0,-0.0,0.0,-0.04384,0.0,ohlcv_proxy,
2019-07-10,68700.0,89721.0,0.0,0.0,-0.0,0.0,-0.040458,0.0,ohlcv_proxy,
2019-07-11,69300.0,72125.0,0.0,0.0,-0.0,0.0,-0.032747,0.0,ohlcv_proxy,
2019-07-12,68800.0,52411.0,0.0,0.0,-0.0,0.0,-0.037372,0.0,ohlcv_proxy,
2019-07-15,68500.0,40320.0,0.0,0.0,-0.0,0.0,-0.036883,0.0,ohlcv_proxy,
2019-07-16,69500.0,52435.0,0.0,0.0,-0.0,0.0,-0.024078,0.0,ohlcv_proxy,
2019-07-17,67100.0,86257.0,0.0,0.0,-0.0,0.0,-0.026638,0.0,ohlcv_proxy,
