date,close,volume,inst_net_buy,foreign_net_buy,foreign_net_buy_norm,inst_net_buy_norm,foreign_ratio_feat,short_proxy_score,source
2024-07-08,14640.0,756,0,0,0.0,0.1,0.015872,0.0,ohlcv_proxy
2024-07-09,14635.0,748,0,0,0.0,0.1,0.016697,0.0,ohlcv_proxy
2024-07-10,14743.0,368,0,0,0.0,0.1,0.019644,0.0,ohlcv_proxy
2024-07-11,14846.0,97,0,0,0.0,0.1,0.028951,0.0,ohlcv_proxy
2024-07-12,14591.0,382,0,0,0.0,0.1,0.028556,0.0,ohlcv_proxy
2024-07-15,14724.0,2084,0,0,0.0,0.1,0.029004,0.0,ohlcv_proxy
2024-07-16,14709.0,1707,0,0,0.0,0.1,0.028749,0.0,ohlcv_proxy
2024-07-17,14596.0,499,0,0,0.0,0.1,0.024569,0.0,ohlcv_proxy
2024-07-18,14390.0,560,0,0,-0.0,0.0,0.014539,0.0,ohlcv_proxy
2024-07-19,14331.0,210,0,0,-0.0,0.0,0.012636,0.0,ohlcv_proxy
2024-07-22,14164.0,292,0,0,-0.0,0.0,0.006663,0.0,ohlcv_proxy
2024-07-23,14316.0,10,0,0,-0.0,0.0,-0.004715,0.0,ohlcv_proxy
2024-07-24,14272.0,288,0,0,-0.0,0.0,-0.011883,0.0,ohlcv_proxy
2024-07-25,13953.0,478,0,0,-0.0,0.0,-0.02302,0.0,ohlcv_proxy
2024-07-26,14051.0,965,0,0,-0.0,0.0,-0.025762,0.0,ohlcv_proxy
2024-07-29,14144.0,57,0,0,-0.0,0.0,-0.026843,0.0,ohlcv_proxy
2024-07-30,14012.0,382,0,0,-0.0,0.0,-0.027016,0.0,ohlcv_proxy
2024-07-31,14095.0,1801,0,0,-0.0,0.1,-0.025476,0.0,ohlcv_proxy
2024-08-01,14193.0,1369,0,0,-0.0,0.2,-0.022301,0.0,ohlcv_proxy
2024-08-02,13609.0,1938,0,0,-0.0,0.1,-0.025763,0.1,ohlcv_proxy
2024-08-05,12485.0,385,0,0,-1e-06,0.1,-0.028162,0.1,ohlcv_proxy
2024-08-06,12927.0,27,0,0,-1e-06,0.1,-0.027684,0.1,ohlcv_proxy
2024-08-07,13128.0,24,0,0,-0.0,0.1,-0.035857,0.1,ohlcv_proxy
2024-08-08,13040.0,4,0,0,-0.0,0.1,-0.055623,0.1,ohlcv_proxy
2024-08-09,13212.0,40,0,0,-0.0,0.1,-0.111492,0.1,ohlcv_proxy
2024-08-12,13359.0,93,0,0,-0.0,0.1,-0.060553,0.1,ohlcv_proxy
2024-08-13,13374.0,10,0,0,-0.0,0.1,-0.048848,0.1,ohlcv_proxy
2024-08-14,13389.0,53,0,0,-0.0,0.0,-0.042909,0.1,ohlcv_proxy
2024-08-16,13737.0,182,0,0,0.0,-0.1,-0.026307,0.1,ohlcv_proxy
2024-08-19,13546.0,8,0,0,-0.0,0.0,-0.022846,0.0,ohlcv_proxy
2024-08-20,13624.0,116,0,0,0.0,0.0,-0.016818,0.0,ohlcv_proxy
2024-08-21,13639.0,1541,0,0,0.0,0.1,-0.013998,0.0,ohlcv_proxy
2024-08-22,13658.0,356,0,0,0.0,0.1,-0.01198,0.0,ohlcv_proxy
2024-08-23,13673.0,53,0,0,0.0,0.1,-0.011934,0.0,ohlcv_proxy
2024-08-26,13600.0,72,0,0,-0.0,0.1,-0.009899,0.0,ohlcv_proxy
2024-08-27,13506.0,36,0,0,-0.0,0.1,-0.009742,0.0,ohlcv_proxy
2024-08-28,13575.0,665,0,0,-0.0,0.2,-0.010503,0.0,ohlcv_proxy
2024-08-29,13482.0,103,0,0,-0.0,0.2,-0.006335,0.0,ohlcv_proxy
2024-08-30,13560.0,0,0,0,-0.0,0.2,0.002665,0.0,ohlcv_proxy
2024-09-02,13565.0,106,0,0,-0.0,0.2,0.005429,0.0,ohlcv_proxy
2024-09-03,13452.0,2,0,0,-0.0,0.2,-0.002597,0.0,ohlcv_proxy
2024-09-04,12996.0,667,0,0,-0.0,0.0,-0.028311,0.1,ohlcv_proxy
2024-09-05,12893.0,11,0,0,-0.0,0.0,-0.032075,0.1,ohlcv_proxy
2024-09-06,12765.0,11,0,0,-0.0,0.0,-0.03228,0.1,ohlcv_proxy
2024-09-09,12598.0,53,0,0,-0.0,0.0,-0.039377,0.1,ohlcv_proxy
2024-09-10,12721.0,78,0,0,-0.0,0.0,-0.040355,0.1,ohlcv_proxy
2024-09-11,12662.0,12,0,0,-0.0,-0.1,-0.058602,0.1,ohlcv_proxy
2024-09-12,12898.0,138,0,0,-0.0,-0.1,-0.050664,0.1,ohlcv_proxy
2024-09-13,12991.0,288,0,0,-0.0,-0.1,-0.039695,0.1,ohlcv_proxy
2024-09-19,13020.0,24,0,0,-0.0,-0.1,-0.036961,0.1,ohlcv_proxy
2024-09-20,13158.0,36,0,0,0.0,-0.1,-0.032779,0.1,ohlcv_proxy
2024-09-23,13158.0,83,0,0,0.0,0.0,-0.020498,0.0,ohlcv_proxy
2024-09-24,13231.0,161,0,0,0.0,0.0,-0.009883,0.0,ohlcv_proxy
2024-09-25,13168.0,101,0,0,0.0,0.0,-0.002215,0.0,ohlcv_proxy
2024-09-26,13580.0,81,0,0,0.0,0.0,0.003656,0.0,ohlcv_proxy
2024-09-27,13516.0,18,0,0,0.0,0.0,0.005215,0.0,ohlcv_proxy
2024-09-30,13281.0,23,0,0,0.0,0.0,0.016505,0.0,ohlcv_proxy
2024-10-02,13089.0,193,0,0,-0.0,-0.1,0.01254,0.0,ohlcv_proxy
2024-10-04,13187.0,26,0,0,-0.0,-0.1,0.01363,0.0,ohlcv_proxy
2024-10-07,13393.0,29,0,0,0.0,-0.1,0.009266,0.0,ohlcv_proxy
2024-10-08,13285.0,3,0,0,0.0,-0.1,0.007625,0.0,ohlcv_proxy
2024-10-10,13315.0,67,0,0,0.0,-0.1,0.006712,0.0,ohlcv_proxy
2024-10-11,13320.0,8,0,0,0.0,-0.1,0.016614,0.0,ohlcv_proxy
2024-10-14,13369.0,68,0,0,0.0,-0.1,0.018643,0.0,ohlcv_proxy
2024-10-15,13457.0,20,0,0,0.0,-0.1,0.017243,0.0,ohlcv_proxy
2024-10-16,13330.0,10,0,0,0.0,-0.1,0.01535,0.0,ohlcv_proxy
2024-10-17,13359.0,346,0,0,0.0,0.0,0.012627,0.0,ohlcv_proxy
2024-10-18,13310.0,124,0,0,0.0,0.1,0.009315,0.0,ohlcv_proxy
2024-10-21,13374.0,21,0,0,0.0,0.1,0.005441,0.0,ohlcv_proxy
2024-10-22,13173.0,45,0,0,-0.0,0.1,0.003969,0.0,ohlcv_proxy
2024-10-23,13344.0,312,0,0,0.0,0.2,0.003227,0.0,ohlcv_proxy
2024-10-24,13212.0,32,0,0,-0.0,0.2,0.001197,0.0,ohlcv_proxy
2024-10-25,13241.0,168,0,0,-0.0,0.3,-0.000393,0.0,ohlcv_proxy
2024-10-28,13369.0,44,0,0,0.0,0.3,-0.000941,0.0,ohlcv_proxy
2024-10-29,13339.0,1,0,0,0.0,0.3,0.000873,0.0,ohlcv_proxy
2024-10-30,13271.0,19834,0,0,-0.0,0.2,-0.00013,0.0,ohlcv_proxy
2024-10-31,13079.0,64,0,0,-0.0,0.1,-0.000124,0.0,ohlcv_proxy
2024-11-01,13011.0,3,0,0,-0.0,0.1,-0.000231,0.0,ohlcv_proxy
2024-11-04,13168.0,63,0,0,-0.0,0.1,-0.000256,0.0,ohlcv_proxy
2024-11-05,13168.0,0,0,0,-0.0,0.1,-0.000244,0.0,ohlcv_proxy
2024-11-06,13158.0,0,0,0,-0.0,0.0,-0.011504,0.0,ohlcv_proxy
2024-11-07,13212.0,188,0,0,-0.0,0.0,-0.005566,0.0,ohlcv_proxy
2024-11-08,13153.0,7,0,0,-0.0,-0.1,-0.005491,0.0,ohlcv_proxy
2024-11-11,13158.0,253,0,0,-0.0,-0.1,-0.006805,0.0,ohlcv_proxy
2024-11-12,12996.0,100,0,0,-0.0,-0.1,-0.009235,0.0,ohlcv_proxy
2024-11-13,12564.0,31,0,0,-0.0,0.0,-0.011509,0.0,ohlcv_proxy
2024-11-14,12510.0,935,0,0,-0.0,0.0,-0.042322,0.0,ohlcv_proxy
2024-11-15,12564.0,28,0,0,-0.0,0.0,-0.042592,0.0,ohlcv_proxy
2024-11-18,12726.0,3,0,0,-0.0,0.0,-0.051068,0.0,ohlcv_proxy
2024-11-19,12746.0,949,0,0,-0.0,0.0,-0.044391,0.0,ohlcv_proxy
2024-11-20,12819.0,0,0,0,-0.0,0.0,-0.044184,0.0,ohlcv_proxy
2024-11-21,12736.0,42,0,0,-0.0,0.0,-0.035608,0.0,ohlcv_proxy
2024-11-22,12883.0,603,0,0,-0.0,0.0,-0.030659,0.0,ohlcv_proxy
2024-11-25,13094.0,223,0,0,0.0,0.0,-0.027794,0.0,ohlcv_proxy
2024-11-26,12991.0,5149,0,0,0.0,-0.1,-0.013727,0.0,ohlcv_proxy
2024-11-27,12829.0,220,0,0,-0.0,-0.1,0.00497,0.0,ohlcv_proxy
2024-11-28,12804.0,12,0,0,-0.0,-0.1,0.005176,0.0,ohlcv_proxy
2024-11-29,12603.0,15,0,0,-0.0,-0.1,0.005933,0.0,ohlcv_proxy
2024-12-02,12569.0,975,0,0,-0.0,-0.2,0.003475,0.0,ohlcv_proxy
2024-12-03,12760.0,935,0,0,-0.0,-0.1,-0.014372,0.0,ohlcv_proxy
2024-12-04,12598.0,1036,0,0,-0.0,-0.2,-0.015641,0.0,ohlcv_proxy
2024-12-05,12525.0,254,0,0,-0.0,-0.2,-0.015421,0.0,ohlcv_proxy
2024-12-06,12382.0,96,0,0,-0.0,-0.2,-0.015683,0.0,ohlcv_proxy
2024-12-09,12088.0,279,0,0,-0.0,-0.2,-0.016701,0.0,ohlcv_proxy
2024-12-10,12397.0,169,0,0,-0.0,-0.1,-0.024419,0.0,ohlcv_proxy
2024-12-11,12485.0,133,0,0,-0.0,-0.1,-0.034379,0.0,ohlcv_proxy
2024-12-12,12721.0,344,0,0,0.0,-0.1,-0.029588,0.0,ohlcv_proxy
2024-12-13,12824.0,6,0,0,0.0,-0.1,-0.029036,0.0,ohlcv_proxy
2024-12-16,12780.0,115,0,0,0.0,0.0,-0.01505,0.0,ohlcv_proxy
2024-12-17,12682.0,201,0,0,-0.0,-0.1,-0.010402,0.0,ohlcv_proxy
2024-12-18,12765.0,8,0,0,0.0,0.0,-0.0073,0.0,ohlcv_proxy
2024-12-19,12554.0,14,0,0,-0.0,0.0,-0.007837,0.0,ohlcv_proxy
2024-12-20,12324.0,82,0,0,-0.0,0.0,-0.01329,0.0,ohlcv_proxy
2024-12-23,12579.0,15,0,0,-0.0,0.0,-0.017018,0.0,ohlcv_proxy
2024-12-24,12510.0,11,0,0,-0.0,0.0,-0.014116,0.0,ohlcv_proxy
2024-12-26,12544.0,65,0,0,-0.0,0.0,-0.010999,0.0,ohlcv_proxy
2024-12-27,12412.0,337,0,0,-0.0,0.0,-0.012223,0.0,ohlcv_proxy
2024-12-30,12461.0,443,0,0,-0.0,0.1,-0.009172,0.0,ohlcv_proxy
2025-01-02,12490.0,23,0,0,-0.0,0.1,-0.009186,0.0,ohlcv_proxy
2025-01-03,12701.0,13,0,0,0.0,0.1,-0.005031,0.0,ohlcv_proxy
2025-01-06,12908.0,1023,0,0,0.0,0.2,0.007939,0.0,ohlcv_proxy
2025-01-07,13001.0,124,0,0,0.0,0.2,0.012938,0.0,ohlcv_proxy
2025-01-08,13109.0,14,0,0,0.0,0.2,0.022051,0.0,ohlcv_proxy
2025-01-09,13187.0,264,0,0,0.0,0.3,0.01954,0.0,ohlcv_proxy
