date,regime,score,vix,ret_20d
2025-12-15,NEUTRAL,0.5,0.2874,-0.001
2025-12-16,BULL,0.7,0.2725,0.0107
2025-12-17,BULL,0.7,0.2786,0.0375
2025-12-18,BULL,0.7,0.2726,0.0039
2025-12-19,BULL,0.7,0.2228,0.0534
2025-12-22,BULL,0.7,0.2335,0.0777
2025-12-23,BULL,0.7,0.2332,0.0731
2025-12-24,BULL,0.7,0.2165,0.0451
2025-12-26,BULL,0.7,0.2169,0.0467
2025-12-29,BULL,0.7,0.2242,0.0911
2025-12-30,BULL,0.7,0.2233,0.0957
2026-01-02,BULL,0.7,0.2336,0.1056
2026-01-05,BULL,0.7,0.2604,0.1352
2026-01-06,BULL,0.7,0.2612,0.1585
2026-01-07,BULL,0.7,0.2576,0.1456
2026-01-08,BULL,0.7,0.2581,0.1288
2026-01-09,BULL,0.7,0.2545,0.1444
2026-01-12,BULL,0.7,0.2531,0.1522
2026-01-13,BULL,0.7,0.2471,0.1764
2026-01-14,BULL,0.7,0.2464,0.1669
2026-01-15,BULL,0.7,0.2202,0.2144
2026-01-16,BULL,0.85,0.1861,0.2545
2026-01-19,BULL,0.85,0.1842,0.2486
2026-01-20,BULL,0.85,0.1789,0.2529
2026-01-21,BULL,0.85,0.178,0.2562
2026-01-22,BULL,0.85,0.1729,0.2414
2026-01-23,BULL,0.85,0.1711,0.2463
2026-01-26,BULL,0.85,0.1829,0.2337
2026-01-27,BULL,0.7,0.2006,0.265
2026-01-28,BULL,0.85,0.1942,0.2545
2026-01-29,BULL,0.85,0.1915,0.2664
2026-01-30,BULL,0.85,0.1827,0.235
2026-02-02,BULL,0.7,0.2868,0.119
2026-02-03,BULL,0.7,0.3801,0.1837
2026-02-04,BULL,0.7,0.3806,0.1911
2026-02-05,NEUTRAL,0.4,0.421,0.1421
2026-02-06,NEUTRAL,0.4,0.4256,0.1205
2026-02-09,NEUTRAL,0.4,0.444,0.1599
2026-02-10,NEUTRAL,0.4,0.4442,0.1468
2026-02-11,NEUTRAL,0.4,0.4442,0.1505
2026-02-12,NEUTRAL,0.4,0.4546,0.1721
2026-02-13,NEUTRAL,0.4,0.4558,0.1582
2026-02-19,NEUTRAL,0.4,0.4627,0.1769
2026-02-20,NEUTRAL,0.4,0.4608,0.2135
2026-02-23,NEUTRAL,0.4,0.4608,0.2129
2026-02-24,NEUTRAL,0.4,0.4637,0.2296
2026-02-25,NEUTRAL,0.4,0.4646,0.246
2026-02-26,NEUTRAL,0.4,0.4723,0.3156
2026-02-27,NEUTRAL,0.4,0.4733,0.26
2026-03-03,NEUTRAL,0.4,0.5708,0.1394
2026-03-04,BEAR,0.2,0.7359,-0.0147
2026-03-05,NEUTRAL,0.4,0.8178,0.081
2026-03-06,NEUTRAL,0.4,0.782,0.1494
2026-03-09,BEAR,0.2,0.7775,-0.0008
2026-03-21,BEAR,-0.6000000000000001,26.8,-9.71
2026-03-24,BEAR,-0.6000000000000001,26.1,-7.43
2026-03-25,BEAR,-0.6000000000000001,27.0,-13.53
2026-03-26,BEAR,-0.6000000000000001,25.3,-15.07
2026-03-27,BEAR,-0.6000000000000001,27.4,-20.73
2026-03-30,BEAR,-0.75,31.0,-18.0
2026-03-31,BEAR,-0.75,30.6,-12.02
2026-04-01,BEAR,-0.6000000000000001,25.2,-8.45
2026-04-02,SIDEWAYS_DOWN,-0.2,24.5,0.38
2026-04-03,BEAR,-0.6000000000000001,23.9,-3.05
2026-04-06,BEAR,-0.6000000000000001,23.9,-3.05
2026-04-07,BEAR,-0.6000000000000001,24.2,-5.94
2026-04-08,SIDEWAYS_UP,0.1499999999999999,25.8,-2.39
2026-04-09,BULL,0.55,21.0,5.43
2026-04-10,BULL,0.8500000000000001,19.5,12.79
2026-04-11,BULL,0.8500000000000001,19.2,11.74
2026-04-13,BULL,0.8500000000000001,19.2,11.74
2026-04-14,BULL,0.8500000000000001,19.1,6.11
2026-04-15,BULL,0.8500000000000001,18.2,7.25
2026-04-16,BULL,0.8500000000000001,18.2,9.89
2026-04-17,BULL,0.8500000000000001,17.9,9.38
2026-04-18,BULL,0.8500000000000001,17.5,21.11
2026-04-19,BULL,0.8500000000000001,17.5,21.11
2026-04-20,BULL,0.8500000000000001,17.5,21.11
2026-04-21,BULL,0.8500000000000001,18.9,12.17
2026-04-22,BULL,0.8500000000000001,19.5,14.01
2026-04-23,BULL,0.8500000000000001,18.9,21.97
2026-04-24,BULL,0.8500000000000001,19.3,25.5
2026-04-27,BULL,0.8500000000000001,18.7,27.76
2026-04-28,BULL,0.8500000000000001,18.0,34.61
2026-04-29,BULL,0.8500000000000001,17.8,25.49
2026-04-30,BULL,0.8500000000000001,18.8,21.98
2026-05-01,BULL,0.8500000000000001,16.9,30.84
2026-05-04,BULL,0.8500000000000001,17.0,28.63
2026-05-06,BULL,0.8500000000000001,17.4,23.85
2026-05-07,BULL,0.8500000000000001,17.4,30.65
2026-05-08,BULL,0.8500000000000001,17.1,27.41
2026-05-11,BULL,0.8500000000000001,17.2,34.67
2026-05-12,BULL,0.8500000000000001,18.4,31.48
2026-05-13,BULL,0.8500000000000001,18.0,23.17
2026-05-14,BULL,0.8500000000000001,17.9,27.91
2026-05-15,BULL,0.8500000000000001,17.3,25.07
2026-05-18,BULL,0.8500000000000001,18.4,19.17
2026-05-19,BULL,0.8500000000000001,17.8,19.97
2026-05-20,BULL,0.8500000000000001,17.8,19.97
2026-05-21,BULL,0.8500000000000001,17.8,19.97
2026-05-22,BULL,0.8500000000000001,17.8,19.97
2026-05-25,BULL,0.8500000000000001,17.8,19.97
