날짜,Open,High,Low,Close,Volume
2020-07-17,10537,10557,10527,10552,19720
2020-07-20,10542,10557,10522,10527,18576
2020-07-21,10507,10507,10473,10483,50454
2020-07-22,10448,10453,10433,10448,40357
2020-07-23,10473,10502,10468,10468,63821
2020-07-24,10512,10527,10492,10512,55237
2020-07-27,10512,10512,10453,10463,42627
2020-07-28,10453,10502,10418,10468,91498
2020-07-29,10487,10487,10433,10433,55116
2020-07-30,10423,10458,10398,10453,66434
2020-07-31,10408,10423,10388,10423,58667
2020-08-03,10428,10463,10428,10443,33502
2020-08-04,10443,10463,10428,10443,38142
2020-08-05,10438,10443,10398,10408,76626
2020-08-06,10383,10383,10349,10369,41663
2020-08-07,10364,10403,10359,10374,96868
2020-08-10,10398,10403,10364,10369,79526
2020-08-11,10398,10398,10354,10378,48618
2020-08-12,10388,10388,10369,10374,31919
2020-08-13,10359,10364,10329,10359,81291
2020-08-14,10359,10393,10359,10374,207418
2020-08-18,10374,10383,10359,10374,202987
2020-08-19,10359,10364,10329,10339,138197
2020-08-20,10354,10408,10354,10398,243660
2020-08-21,10364,10383,10354,10383,92801
2020-08-24,10423,10433,10398,10413,53031
2020-08-25,10393,10413,10364,10378,49170
2020-08-26,10388,10408,10374,10383,69323
2020-08-27,10383,10393,10364,10374,40385
2020-08-28,10374,10398,10349,10359,48244
2020-08-31,10344,10388,10309,10388,150407
2020-09-01,10383,10393,10344,10364,69340
2020-09-02,10378,10393,10364,10383,72562
2020-09-03,10398,10408,10378,10403,49573
2020-09-04,10433,10433,10398,10413,37035
2020-09-07,10413,10413,10374,10408,89076
2020-09-08,10383,10408,10374,10393,33009
2020-09-09,10418,10423,10388,10413,72525
2020-09-10,10364,10388,10364,10374,76627
2020-09-11,10398,10413,10388,10393,75515
2020-09-14,10393,10393,10359,10369,104562
2020-09-15,10354,10359,10319,10324,68681
2020-09-16,10324,10344,10294,10299,39619
2020-09-17,10289,10309,10270,10284,42488
2020-09-18,10250,10250,10161,10165,95092
2020-09-21,10180,10185,10131,10146,49702
2020-09-22,10185,10205,10175,10200,37510
2020-09-23,10185,10205,10170,10195,22181
2020-09-24,10245,10274,10225,10274,124657
2020-09-25,10230,10274,10230,10274,58610
2020-09-28,10274,10289,10260,10274,43051
2020-09-29,10235,10255,10225,10250,35262
2020-10-05,10220,10220,10175,10195,60276
2020-10-06,10131,10180,10131,10170,163553
2020-10-07,10185,10210,10146,10151,161543
2020-10-08,10141,10151,10106,10106,103526
2020-10-12,10066,10076,10042,10047,135051
2020-10-13,10047,10081,10047,10047,34814
2020-10-14,10052,10066,10002,10042,31295
2020-10-15,10042,10042,10002,10017,36732
2020-10-16,10022,10052,10017,10052,23009
2020-10-19,10012,10017,9997,10007,29931
2020-10-20,10007,10007,9972,9987,28233
2020-10-21,9977,9977,9913,9918,62356
2020-10-22,9943,9957,9923,9928,28484
2020-10-23,9952,9962,9928,9938,15351
2020-10-26,9908,9908,9868,9868,108587
2020-10-27,9908,9908,9848,9863,109509
2020-10-28,9903,9908,9873,9903,18481
2020-10-29,9952,9952,9908,9918,25640
2020-10-30,9923,9933,9863,9933,47741
2020-11-02,9947,9957,9928,9938,30430
2020-11-03,9918,9957,9913,9933,53068
2020-11-04,9888,10047,9878,9957,81098
2020-11-05,9908,9933,9878,9893,49352
2020-11-06,9853,9878,9824,9824,59970
2020-11-09,9814,9819,9744,9759,233259
2020-11-10,9784,9809,9759,9769,43834
2020-11-11,9789,9789,9710,9725,105093
2020-11-12,9734,9779,9734,9779,82708
2020-11-13,9774,9794,9759,9769,51994
2020-11-16,9715,9734,9690,9725,340267
2020-11-17,9715,9720,9685,9690,116900
2020-11-18,9695,9715,9670,9685,54986
2020-11-19,9705,9789,9705,9784,56395
2020-11-20,9769,9784,9749,9774,40560
2020-11-23,9784,9784,9739,9739,29713
2020-11-24,9754,9769,9720,9744,48559
2020-11-25,9734,9734,9690,9720,78444
2020-11-26,9695,9710,9675,9675,41990
2020-11-27,9690,9695,9670,9680,128383
2020-11-30,9680,9705,9670,9705,57570
2020-12-01,9705,9720,9685,9705,41530
2020-12-02,9695,9700,9645,9650,64330
2020-12-03,9650,9660,9611,9611,285969
2020-12-04,9586,9591,9492,9497,318543
2020-12-07,9497,9512,9477,9487,145792
2020-12-08,9492,9521,9492,9516,114298
2020-12-09,9521,9521,9482,9512,66488
2020-12-10,9531,9536,9507,9536,73732
2020-12-11,9531,9586,9512,9556,103886
2020-12-14,9571,9576,9546,9571,101833
2020-12-15,9576,9606,9571,9576,200014
2020-12-16,9551,9591,9546,9591,136159
